domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
oulad,Hybrid-C0-R,0,42,20pct,1,0.6966292134831461,0.6218265743488296,0.6758645404049454,0.7557270008964183,0.7834867182597782,0.7401883830455259,0.38540031397174257,0.32,5963,0.4273016937782995
oulad,Hybrid-C0-R,0,42,35pct,1,0.7478230581678857,0.6733807266982622,0.7019349526554137,0.8084664717502019,0.8301550188179243,0.733018056749785,0.4419604471195185,0.4,5742,0.4050853361198189
oulad,Hybrid-C0-R,0,42,50pct,1,0.8097048705413724,0.7817502668089648,0.7359959809093193,0.859329885629702,0.8819175292795622,0.6953013763644993,0.49928808732795443,0.47,5523,0.38149556400506973
oulad,Hybrid-C0-R,0,42,75pct,1,0.8709115540932844,0.8589403973509934,0.7954615148727384,0.8980548608826775,0.9219935547034347,0.7407195888063963,0.5796687607081668,0.55,5167,0.3388813624927424
oulad,Hybrid-C0-R,0,42,100pct,1,0.9098507462686567,0.9332833583208395,0.8460754332313966,0.9257870366338824,0.9435027174427218,0.7737725295214419,0.6221255438160348,0.72,5025,0.3201990049751244
oulad,Hybrid-C0-R,0,1201,20pct,1,0.6966292134831461,0.6196954972465176,0.6789707187222715,0.7535400768565295,0.781254726240085,0.7507849293563579,0.3857927786499215,0.31,5963,0.4273016937782995
oulad,Hybrid-C0-R,0,1201,35pct,1,0.7481713688610241,0.6764234161988774,0.7,0.808500512106562,0.8302728825556132,0.7252794496990542,0.44282029234737746,0.41,5742,0.4050853361198189
oulad,Hybrid-C0-R,0,1201,50pct,1,0.7925040738728951,0.7036880033912675,0.7433945364979848,0.8580382546294697,0.8818186756757056,0.7878500237304225,0.4997626957759848,0.37,5523,0.38149556400506973
oulad,Hybrid-C0-R,0,1201,75pct,1,0.8732339849041997,0.8717774762550882,0.7968992248062016,0.8969197739737036,0.921745954469644,0.7338663620788121,0.5819531696173615,0.55,5167,0.3388813624927424
oulad,Hybrid-C0-R,0,1201,100pct,1,0.906865671641791,0.9649551752241239,0.8349788434414669,0.9224835237828021,0.940949747686826,0.7358607830950901,0.622747047855811,0.84,5025,0.3201990049751244
oulad,Hybrid-C0-R,0,2026,20pct,1,0.6828777461009559,0.5985598559855986,0.6784560448903247,0.7564348056870178,0.7833477754205636,0.782967032967033,0.391679748822606,0.27,5963,0.4273016937782995
oulad,Hybrid-C0-R,0,2026,35pct,1,0.7483455242075931,0.6804588283490373,0.6968743444514369,0.8086270244885243,0.8305023172526838,0.7141014617368874,0.44067067927773,0.42,5742,0.4050853361198189
oulad,Hybrid-C0-R,0,2026,50pct,1,0.8164041281912005,0.8153491055972303,0.7359375,0.8583843946000904,0.881522392737935,0.6706217370669197,0.49881347887992405,0.51,5523,0.38149556400506973
oulad,Hybrid-C0-R,0,2026,75pct,1,0.8726533772014708,0.863606121091151,0.7977873386601106,0.89799431354386,0.9221418473485208,0.741290691033695,0.5830953740719589,0.56,5167,0.3388813624927424
oulad,Hybrid-C0-R,0,2026,100pct,1,0.9058706467661691,0.9176470588235294,0.8406871000336814,0.9252640401500404,0.9436937535205221,0.7756370416407706,0.6239900559353636,0.7,5025,0.3201990049751244
oulad,Hybrid-C0-R,1,42,20pct,1,0.6802502536354413,0.5970508576587421,0.6772486772486772,0.7514477428517089,0.7796869542764184,0.7823343848580442,0.38170347003154576,0.31,5914,0.4288129861345959
oulad,Hybrid-C0-R,1,42,35pct,1,0.7519023181737745,0.6742788461538461,0.7059563758389261,0.8091446667811195,0.8337907550362846,0.7407570422535211,0.445862676056338,0.43,5651,0.40205273402937536
oulad,Hybrid-C0-R,1,42,50pct,1,0.8071047303515553,0.7688603531300161,0.7327893931667516,0.8534121271931556,0.8759837674409221,0.69995129079396,0.5002435460301997,0.48,5433,0.3778759433094055
oulad,Hybrid-C0-R,1,42,75pct,1,0.872506843957763,0.8715659340659341,0.7956112852664576,0.8947473629182552,0.9163660312715411,0.7318339100346021,0.580161476355248,0.6,5114,0.33906922174423154
oulad,Hybrid-C0-R,1,42,100pct,1,0.9022677102147301,0.911504424778761,0.8354173707333559,0.9189746872610647,0.9357247136471187,0.7710542732376794,0.6219588271990019,0.73,4983,0.3216937587798515
oulad,Hybrid-C0-R,1,1201,20pct,1,0.6739939127494082,0.5864127345082433,0.6815328708292039,0.7558456547899493,0.7822766023611679,0.8134858044164038,0.3856466876971609,0.27,5914,0.4288129861345959
oulad,Hybrid-C0-R,1,1201,35pct,1,0.7444700053087949,0.6570561456752656,0.7057864710676447,0.8107274358992655,0.8348826403969839,0.7623239436619719,0.4432218309859155,0.4,5651,0.40205273402937536
oulad,Hybrid-C0-R,1,1201,50pct,1,0.8065525492361495,0.7664893617021277,0.7327739638952454,0.8537443661862344,0.8763549229443418,0.7018996590355577,0.5036531904529956,0.46,5433,0.3778759433094055
oulad,Hybrid-C0-R,1,1201,75pct,1,0.8705514274540477,0.8743016759776536,0.7909033480732786,0.8944615839483043,0.9167340622291381,0.7220299884659747,0.5813148788927336,0.61,5114,0.33906922174423154
oulad,Hybrid-C0-R,1,1201,100pct,1,0.9060806742925949,0.9437060203283816,0.8376127689104789,0.9186277412124277,0.9353478315436663,0.7529631940112289,0.6219588271990019,0.81,4983,0.3216937587798515
oulad,Hybrid-C0-R,1,2026,20pct,1,0.6931011159959418,0.6155819172811798,0.6790450928381963,0.7532081475781629,0.7810845903069219,0.7570977917981072,0.38485804416403785,0.32,5914,0.4288129861345959
oulad,Hybrid-C0-R,1,2026,35pct,1,0.7400460095558308,0.6457350272232305,0.7077779988064452,0.8108197966889545,0.8360326207020161,0.7830105633802817,0.4449823943661972,0.39,5651,0.40205273402937536
oulad,Hybrid-C0-R,1,2026,50pct,1,0.7944045646972206,0.7140896614821592,0.7364944562396791,0.8547728227846202,0.8777566096086834,0.7603507062834876,0.5036531904529956,0.41,5433,0.3778759433094055
oulad,Hybrid-C0-R,1,2026,75pct,1,0.8734845522096206,0.9114307342922029,0.788216039279869,0.8957256667479618,0.9173209154876709,0.6943483275663207,0.5795847750865052,0.67,5114,0.33906922174423154
oulad,Hybrid-C0-R,1,2026,100pct,1,0.9060806742925949,0.916972814107274,0.8421052631578947,0.9213943208001698,0.9373403049755082,0.7785402370555209,0.6219588271990019,0.69,4983,0.3216937587798515
oulad,Hybrid-C0-R,2,42,20pct,1,0.6721753794266442,0.5867069486404833,0.6664378860672615,0.7348768272616364,0.7698967783657548,0.7712470214455918,0.37887212073073867,0.3,5930,0.4246205733558179
oulad,Hybrid-C0-R,2,42,35pct,1,0.7467233439603259,0.656298600311042,0.7024552642530171,0.7981302302131329,0.827737573218332,0.7555953446732319,0.44270367054610565,0.4,5646,0.39567835635848386
oulad,Hybrid-C0-R,2,42,50pct,1,0.8163716814159292,0.8333333333333334,0.7183257918552036,0.8451220243885516,0.8731281711839164,0.6312127236580517,0.5009940357852882,0.58,5424,0.37094395280235987
oulad,Hybrid-C0-R,2,42,75pct,1,0.8644266458292635,0.8224061107574793,0.7882855399633923,0.8868574169957353,0.9121287698196037,0.7568834212067955,0.5840656121851201,0.53,5119,0.3334635671029498
oulad,Hybrid-C0-R,2,42,100pct,1,0.9014452027298274,0.9127773527161438,0.8293361140076468,0.9134121853826964,0.93275279829153,0.7598726114649682,0.632484076433121,0.7,4982,0.3151344841429145
oulad,Hybrid-C0-R,2,1201,20pct,1,0.6890387858347387,0.6104918032786886,0.6688218390804598,0.7347073410098528,0.7699770910871968,0.7394757744241461,0.3780778395552025,0.32,5930,0.4246205733558179
oulad,Hybrid-C0-R,2,1201,35pct,1,0.7573503365214311,0.6857265692175408,0.6995614035087719,0.7968665474058383,0.8272586563196301,0.7139659803043867,0.44538943598925695,0.43,5646,0.39567835635848386
oulad,Hybrid-C0-R,2,1201,50pct,1,0.8075221238938053,0.7781609195402299,0.7217484008528785,0.8448383923593701,0.8732339987041409,0.672962226640159,0.5039761431411531,0.51,5424,0.37094395280235987
oulad,Hybrid-C0-R,2,1201,75pct,1,0.8669662043367845,0.8415446071904128,0.7877843564973512,0.8860372748899503,0.9111479625650123,0.7404803749267721,0.5846514352665495,0.56,5119,0.3334635671029498
oulad,Hybrid-C0-R,2,1201,100pct,1,0.9048574869530309,0.9370015948963317,0.8321529745042493,0.9117599832836331,0.9301745992040085,0.7484076433121019,0.6318471337579618,0.78,4982,0.3151344841429145
oulad,Hybrid-C0-R,2,2026,20pct,1,0.6448566610455312,0.5557963163596966,0.6608695652173913,0.726221321265244,0.7646932705854309,0.8149324861000794,0.37410643367752183,0.26,5930,0.4246205733558179
oulad,Hybrid-C0-R,2,2026,35pct,1,0.7635494155154091,0.7213195470211718,0.6869871043376319,0.797396123038362,0.826947271780781,0.6557743957027753,0.44270367054610565,0.47,5646,0.39567835635848386
oulad,Hybrid-C0-R,2,2026,50pct,1,0.8056784660766961,0.7456410256410256,0.7339727410398789,0.843844655109615,0.872352563983042,0.7226640159045725,0.5,0.46,5424,0.37094395280235987
oulad,Hybrid-C0-R,2,2026,75pct,1,0.8697011134987302,0.8682719546742209,0.7861494068611734,0.8856153125567277,0.9117529296304918,0.7182190978324546,0.5840656121851201,0.6,5119,0.3334635671029498
oulad,Hybrid-C0-R,2,2026,100pct,1,0.9022480931352871,0.9130434782608695,0.8309614717112114,0.9135207507259325,0.9333271107593283,0.7624203821656051,0.6318471337579618,0.7,4982,0.3151344841429145
