domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
uci,Hybrid-C0-R,0,42,S0,1,0.7587719298245614,0.47058823529411764,0.367816091954023,0.41696712487486143,0.697843665768194,0.3018867924528302,0.37735849056603776,0.61,228,0.2324561403508772
uci,Hybrid-C0-R,0,42,S1,1,0.8728070175438597,0.7608695652173914,0.7070707070707071,0.7567274517303959,0.9318598382749327,0.660377358490566,0.660377358490566,0.82,228,0.2324561403508772
uci,Hybrid-C0-R,0,42,S2,1,0.9078947368421053,0.82,0.7961165048543689,0.881180600584798,0.9620485175202156,0.7735849056603774,0.7358490566037735,0.76,228,0.2324561403508772
uci,Hybrid-C0-R,0,1201,S0,1,0.6842105263157895,0.32727272727272727,0.3333333333333333,0.36802709101343933,0.633423180592992,0.33962264150943394,0.32075471698113206,0.53,228,0.2324561403508772
uci,Hybrid-C0-R,0,1201,S1,1,0.8728070175438597,0.8,0.6881720430107527,0.7549864367420425,0.931212938005391,0.6037735849056604,0.6792452830188679,0.82,228,0.2324561403508772
uci,Hybrid-C0-R,0,1201,S2,1,0.9078947368421053,0.8076923076923077,0.8,0.8966900569658223,0.9654986522911052,0.7924528301886793,0.7169811320754716,0.77,228,0.2324561403508772
uci,Hybrid-C0-R,0,2026,S0,1,0.7543859649122807,0.4634146341463415,0.40425531914893614,0.44061385119577334,0.6906738544474395,0.3584905660377358,0.39622641509433965,0.55,228,0.2324561403508772
uci,Hybrid-C0-R,0,2026,S1,1,0.868421052631579,0.7169811320754716,0.7169811320754716,0.7763168399894269,0.9270619946091644,0.7169811320754716,0.660377358490566,0.69,228,0.2324561403508772
uci,Hybrid-C0-R,0,2026,S2,1,0.8903508771929824,0.8181818181818182,0.7422680412371134,0.86353876573799,0.9582749326145553,0.6792452830188679,0.6981132075471698,0.84,228,0.2324561403508772
uci,Hybrid-C0-R,1,42,S0,1,0.6008583690987125,0.3389830508474576,0.4624277456647399,0.5141711438024366,0.7289070480081716,0.7272727272727273,0.41818181818181815,0.39,233,0.23605150214592274
uci,Hybrid-C0-R,1,42,S1,1,0.871244635193133,0.8048780487804879,0.6875,0.8202791256500426,0.9392236976506638,0.6,0.6727272727272727,0.8,233,0.23605150214592274
uci,Hybrid-C0-R,1,42,S2,1,0.9098712446351931,0.8148148148148148,0.8073394495412844,0.9249810195154924,0.9716036772216547,0.8,0.7272727272727273,0.67,233,0.23605150214592274
uci,Hybrid-C0-R,1,1201,S0,1,0.6566523605150214,0.3563218390804598,0.43661971830985913,0.4667207281109681,0.6931562819203269,0.5636363636363636,0.43636363636363634,0.45,233,0.23605150214592274
uci,Hybrid-C0-R,1,1201,S1,1,0.8841201716738197,0.85,0.7157894736842105,0.8066956165333237,0.9353421859039837,0.6181818181818182,0.6545454545454545,0.77,233,0.23605150214592274
uci,Hybrid-C0-R,1,1201,S2,1,0.9012875536480687,0.8478260869565217,0.7722772277227723,0.9232103869088942,0.9679775280898876,0.7090909090909091,0.7272727272727273,0.75,233,0.23605150214592274
uci,Hybrid-C0-R,1,2026,S0,1,0.5407725321888412,0.296875,0.41530054644808745,0.5171558901294612,0.7051072522982635,0.6909090909090909,0.43636363636363634,0.42,233,0.23605150214592274
uci,Hybrid-C0-R,1,2026,S1,1,0.8669527896995708,0.7068965517241379,0.7256637168141593,0.8149396875975482,0.9398365679264555,0.7454545454545455,0.6727272727272727,0.61,233,0.23605150214592274
uci,Hybrid-C0-R,1,2026,S2,1,0.9055793991416309,0.7704918032786885,0.8103448275862069,0.9161821007979144,0.9673135852911133,0.8545454545454545,0.7272727272727273,0.57,233,0.23605150214592274
uci,Hybrid-C0-R,2,42,S0,1,0.7410714285714286,0.4444444444444444,0.4528301886792453,0.4886157945165694,0.7202593917710197,0.46153846153846156,0.40384615384615385,0.51,224,0.23214285714285715
uci,Hybrid-C0-R,2,42,S1,1,0.875,0.6764705882352942,0.7666666666666667,0.8573404742616353,0.9475626118067979,0.8846153846153846,0.6538461538461539,0.5,224,0.23214285714285715
uci,Hybrid-C0-R,2,42,S2,1,0.90625,0.7183098591549296,0.8292682926829268,0.9438223637801072,0.9808810375670841,0.9807692307692307,0.7692307692307693,0.36,224,0.23214285714285715
uci,Hybrid-C0-R,2,1201,S0,1,0.7232142857142857,0.4074074074074074,0.41509433962264153,0.452252421470276,0.7013640429338104,0.4230769230769231,0.36538461538461536,0.51,224,0.23214285714285715
uci,Hybrid-C0-R,2,1201,S1,1,0.84375,0.6049382716049383,0.7368421052631579,0.8683623693457005,0.948345259391771,0.9423076923076923,0.6923076923076923,0.31,224,0.23214285714285715
uci,Hybrid-C0-R,2,1201,S2,1,0.8973214285714286,0.704225352112676,0.8130081300813008,0.9437062980751006,0.9802101967799642,0.9615384615384616,0.7692307692307693,0.45,224,0.23214285714285715
uci,Hybrid-C0-R,2,2026,S0,1,0.65625,0.3563218390804598,0.4460431654676259,0.4385988666694408,0.6901833631484794,0.5961538461538461,0.4230769230769231,0.45,224,0.23214285714285715
uci,Hybrid-C0-R,2,2026,S1,1,0.8348214285714286,0.5949367088607594,0.7175572519083969,0.8436620485017121,0.9423076923076923,0.9038461538461539,0.6538461538461539,0.39,224,0.23214285714285715
uci,Hybrid-C0-R,2,2026,S2,1,0.9017857142857143,0.7419354838709677,0.8070175438596491,0.9252892922686244,0.9756261180679786,0.8846153846153846,0.7307692307692307,0.54,224,0.23214285714285715
