policy_id,outer_fold,seed,stage,dataset_size,batch_size,n_batches,final_batch_size,samples_consumed_per_epoch,samples_dropped_per_epoch,drop_last_train,utilization_rate
A0_historical_compatible,0,42,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
A0_historical_compatible,0,42,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
A0_historical_compatible,0,123,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
A0_historical_compatible,0,123,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
A0_historical_compatible,0,155,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
A0_historical_compatible,0,155,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
A0_historical_compatible,1,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,1,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,1,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,1,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,1,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,1,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,2,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,2,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,2,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,2,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,2,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,2,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,3,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,3,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,3,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,3,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,3,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,3,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,4,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,4,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,4,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,4,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
A0_historical_compatible,4,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
A0_historical_compatible,4,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,0,42,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
B1_drop_last_true,0,42,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
B1_drop_last_true,0,123,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
B1_drop_last_true,0,123,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
B1_drop_last_true,0,155,epoch_selection,214,32,6,22,192,22,True,0.897196261682243
B1_drop_last_true,0,155,full_partition_refit,252,32,7,28,224,28,True,0.8888888888888888
B1_drop_last_true,1,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,1,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,1,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,1,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,1,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,1,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,2,42,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,2,42,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,2,123,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,2,123,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
B1_drop_last_true,2,155,epoch_selection,215,32,6,23,192,23,True,0.8930232558139535
B1_drop_last_true,2,155,full_partition_refit,253,32,7,29,224,29,True,0.8853754940711462
