candidate_id,seed,outer_fold,class_collapse
A1,42,0,False
A1,42,1,False
A1,42,2,False
A1,42,3,False
A1,42,4,False
A1,123,0,False
A1,123,1,True
A1,123,2,False
A1,123,3,False
A1,123,4,False
A1,155,0,False
A1,155,1,True
A1,155,2,False
A1,155,3,False
A1,155,4,False
A2,42,0,False
A2,42,1,False
A2,42,2,False
A2,42,3,False
A2,42,4,False
A2,123,0,False
A2,123,1,False
A2,123,2,False
A2,123,3,False
A2,123,4,False
A2,155,0,False
A2,155,1,False
A2,155,2,False
A2,155,3,False
A2,155,4,False
M1,42,0,False
M1,42,1,False
M1,42,2,False
M1,42,3,False
M1,42,4,False
M1,123,0,False
M1,123,1,False
M1,123,2,False
M1,123,3,False
M1,123,4,False
M1,155,0,False
M1,155,1,False
M1,155,2,False
M1,155,3,False
M1,155,4,False
M2,42,0,False
M2,42,1,False
M2,42,2,False
M2,42,3,False
M2,42,4,False
M2,123,0,False
M2,123,1,False
M2,123,2,False
M2,123,3,False
M2,123,4,False
M2,155,0,False
M2,155,1,False
M2,155,2,False
M2,155,3,False
M2,155,4,False
N0,42,0,False
N0,42,1,False
N0,42,2,False
N0,42,3,False
N0,42,4,False
N0,123,0,False
N0,123,1,False
N0,123,2,False
N0,123,3,False
N0,123,4,False
N0,155,0,False
N0,155,1,False
N0,155,2,False
N0,155,3,False
N0,155,4,False
N1,42,0,False
N1,42,1,False
N1,42,2,False
N1,42,3,False
N1,42,4,False
N1,123,0,False
N1,123,1,False
N1,123,2,False
N1,123,3,False
N1,123,4,False
N1,155,0,False
N1,155,1,False
N1,155,2,False
N1,155,3,False
N1,155,4,False
N2,42,0,False
N2,42,1,False
N2,42,2,False
N2,42,3,False
N2,42,4,False
N2,123,0,False
N2,123,1,False
N2,123,2,False
N2,123,3,False
N2,123,4,False
N2,155,0,False
N2,155,1,False
N2,155,2,False
N2,155,3,False
N2,155,4,False
N3,42,0,False
N3,42,1,True
N3,42,2,False
N3,42,3,False
N3,42,4,False
N3,123,0,False
N3,123,1,False
N3,123,2,False
N3,123,3,False
N3,123,4,False
N3,155,0,False
N3,155,1,True
N3,155,2,False
N3,155,3,False
N3,155,4,False
R0,42,0,False
R0,42,1,False
R0,42,2,False
R0,42,3,False
R0,42,4,False
R0,123,0,False
R0,123,1,False
R0,123,2,False
R0,123,3,False
R0,123,4,False
R0,155,0,False
R0,155,1,False
R0,155,2,False
R0,155,3,False
R0,155,4,False
