candidate_id,seed,raw_g3,records,error_rate
A1,42,9,4,1.0
A1,42,10,11,0.0
A1,42,15,6,1.0
A2,42,9,4,1.0
A2,42,10,11,0.45454545454545453
A2,42,15,6,1.0
M1,42,9,4,0.75
M1,42,10,11,0.18181818181818182
M1,42,15,6,0.0
M2,42,9,4,0.75
M2,42,10,11,0.45454545454545453
M2,42,15,6,0.16666666666666666
N0,42,9,4,1.0
N0,42,10,11,0.0
N0,42,15,6,1.0
N1,42,9,4,0.5
N1,42,10,11,0.45454545454545453
N1,42,15,6,0.3333333333333333
N2,42,9,4,1.0
N2,42,10,11,0.0
N2,42,15,6,1.0
N3,42,9,4,0.0
N3,42,10,11,1.0
N3,42,15,6,0.0
R0,42,9,4,0.75
R0,42,10,11,0.2727272727272727
R0,42,15,6,0.0
