left,right,macro_f1_delta_left_minus_right,paired_outer_fold_delta_mean,paired_outer_fold_delta_sd,record_bootstrap_ci_low,record_bootstrap_ci_high,practical_tie,bootstrap_interpretation
N1,N0,0.5223975058757666,0.5223975058757666,0.0,0.3764757114193995,0.6697011183185915,False,descriptive_not_absolute_significance
N1,N3,0.40179251946432865,0.40179251946432865,0.0,0.2930072007615645,0.5158134046578318,False,descriptive_not_absolute_significance
N0,N2,0.025801879280140216,0.025801879280140216,0.0,-0.06528066703431479,0.115332913120161,True,descriptive_not_absolute_significance
N0,A1,0.116229034123771,0.116229034123771,0.0,0.02783882783882785,0.19780598107276876,False,descriptive_not_absolute_significance
N0,A2,-0.15442959442959436,-0.15442959442959436,0.0,-0.2510051160249889,-0.05004594699227938,False,descriptive_not_absolute_significance
N1,R0,-0.05131466833964815,-0.05131466833964815,0.0,-0.13134040101610292,0.015086247858185584,True,descriptive_not_absolute_significance
N1,M1,-0.06395248821616273,-0.06395248821616273,0.0,-0.12864902869373918,0.0018244131772307084,True,descriptive_not_absolute_significance
N1,M2,-0.00580596400747091,-0.00580596400747091,0.0,-0.06718806957937398,0.046530586177903885,True,descriptive_not_absolute_significance
M1,R0,0.012637819876514578,0.012637819876514578,0.0,0.0,0.04146512003003402,True,descriptive_not_absolute_significance
M1,M2,0.05814652420869182,0.05814652420869182,0.0,-0.010552826783311233,0.1371031490988579,True,descriptive_not_absolute_significance
M1,N0,0.5863499940919294,0.5863499940919294,0.0,0.47290766359244624,0.6940649433960481,False,descriptive_not_absolute_significance
M1,N1,0.06395248821616273,0.06395248821616273,0.0,-0.0002936114810725265,0.1431907860914079,True,descriptive_not_absolute_significance
M1,N2,0.6121518733720697,0.6121518733720697,0.0,0.4995346572989827,0.713786799982411,False,descriptive_not_absolute_significance
M1,N3,0.4657450076804914,0.4657450076804914,0.0,0.3790074885117661,0.5571968125532725,False,descriptive_not_absolute_significance
