record_id,source_row_number,dataset_version_id,source_record_identity,outer_fold,outer_role,inner_fold,split_seed,stratification_target
student-mat:dataset-version:1:source-row:0,0,1,student-mat:dataset-version:1:source-row:0,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:3,3,1,student-mat:dataset-version:1:source-row:3,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:5,5,1,student-mat:dataset-version:1:source-row:5,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:8,8,1,student-mat:dataset-version:1:source-row:8,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:10,10,1,student-mat:dataset-version:1:source-row:10,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:11,11,1,student-mat:dataset-version:1:source-row:11,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:14,14,1,student-mat:dataset-version:1:source-row:14,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:15,15,1,student-mat:dataset-version:1:source-row:15,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:16,16,1,student-mat:dataset-version:1:source-row:16,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:17,17,1,student-mat:dataset-version:1:source-row:17,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:18,18,1,student-mat:dataset-version:1:source-row:18,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:19,19,1,student-mat:dataset-version:1:source-row:19,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:20,20,1,student-mat:dataset-version:1:source-row:20,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:22,22,1,student-mat:dataset-version:1:source-row:22,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:24,24,1,student-mat:dataset-version:1:source-row:24,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:25,25,1,student-mat:dataset-version:1:source-row:25,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:29,29,1,student-mat:dataset-version:1:source-row:29,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:31,31,1,student-mat:dataset-version:1:source-row:31,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:32,32,1,student-mat:dataset-version:1:source-row:32,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:33,33,1,student-mat:dataset-version:1:source-row:33,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:34,34,1,student-mat:dataset-version:1:source-row:34,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:35,35,1,student-mat:dataset-version:1:source-row:35,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:37,37,1,student-mat:dataset-version:1:source-row:37,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:38,38,1,student-mat:dataset-version:1:source-row:38,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:39,39,1,student-mat:dataset-version:1:source-row:39,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:40,40,1,student-mat:dataset-version:1:source-row:40,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:41,41,1,student-mat:dataset-version:1:source-row:41,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:42,42,1,student-mat:dataset-version:1:source-row:42,0,train,,42,G3_3class
student-mat:dataset-version:1:source-row:43,43,1,student-mat:dataset-version:1:source-row:43,0,train,,42,G3_3class
