candidate_id,records,accuracy,balanced_accuracy,macro_f1,weighted_f1,class_collapse,probability_available,confusion_matrix,nll,brier,ece,macro_pr_auc
B-RF0,649,0.901386748844376,0.8554159513982736,0.8698054388209258,0.8993650161615951,False,True,"[[70, 30, 0], [14, 394, 10], [0, 10, 121]]",0.44245648245725727,0.1451034509278,0.021642798192321337,0.9315019450977667
B-S0,649,0.8952234206471494,0.8571284561160013,0.8658860129480788,0.8943800068468175,False,True,"[[74, 26, 0], [19, 389, 10], [0, 13, 118]]",0.27264694036192033,0.151509783802644,0.03075184715587471,0.9307859784977089
B-H0,649,0.8967642526964561,0.8462047554695205,0.8628101346794631,0.8943443594524834,False,True,"[[68, 32, 0], [14, 394, 10], [0, 11, 120]]",0.2803347694698643,0.1464581085429155,0.01599008675710257,0.932857534708725
B-H1,649,0.8751926040061633,0.8464226840522541,0.8469612236583831,0.8752262956191373,False,True,"[[78, 22, 0], [23, 378, 17], [0, 19, 112]]",0.30194796092746023,0.17506259199965257,0.05724424270709234,0.9273127080905406
B-L0,649,0.884437596302003,0.8068001022681618,0.8449248597840197,0.8806775075262164,False,True,"[[66, 34, 0], [11, 404, 3], [0, 27, 104]]",0.30689345149331987,0.1706947102140589,0.07831396805915064,0.9325799668807099
B-R0,649,0.8428351309707242,0.8313647929678464,0.8166352588434366,0.847285837776198,False,False,"[[89, 11, 0], [56, 361, 1], [0, 34, 97]]",,,,
B-L1,649,0.8459167950693375,0.7737346141203112,0.7957720877984019,0.8406859403105963,False,True,"[[56, 44, 0], [10, 382, 26], [0, 20, 111]]",0.4038628806130955,0.23929374264368283,0.079728703928655,0.8753716603471755
B-M0,649,0.6933744221879815,0.4182524319125364,0.40472304663224473,0.6019421032784793,True,True,"[[0, 100, 0], [0, 416, 2], [0, 97, 34]]",0.7339674065388311,0.43314484536381087,0.13098074493496373,0.7478608781179794
B-O0,649,0.2942989214175655,0.5333333333333333,0.36075441412520065,0.18433532759375457,True,True,"[[60, 0, 40], [8, 0, 410], [0, 0, 131]]",1.189585572577745,0.7203696414344635,0.1385211840800034,0.8098468895964915
B-C0,649,0.6440677966101694,0.3333333333333333,0.2611683848797251,0.5046304385811637,True,True,"[[0, 100, 0], [0, 418, 0], [0, 131, 0]]",0.8909956057143797,0.5214836908798055,0.06285556659492761,0.6920836671700265
