candidate_id,forecast_id,outer_fold,inner_fold,epoch,train_loss,validation_nll
C-M0,F1_EARLY,0,0,1,0.6936100016940724,0.591567761188589
C-M0,F1_EARLY,0,0,2,0.6305131153626875,0.5641059071945708
C-M0,F1_EARLY,0,0,3,0.6095011044632305,0.5514593148461127
C-M0,F1_EARLY,0,0,4,0.5959600101817738,0.5450330187154915
C-M0,F1_EARLY,0,0,5,0.5892657854340293,0.536652915772024
C-M0,F1_EARLY,0,0,6,0.5823066451332786,0.5354106958520204
C-M0,F1_EARLY,0,0,7,0.580888423052701,0.5350647809718017
C-M0,F1_EARLY,0,0,8,0.573499396443367,0.538150455006137
C-M0,F1_EARLY,0,0,9,0.5666867955164476,0.5310015787067921
C-M0,F1_EARLY,0,0,10,0.5641876757144928,0.535240415490064
C-M0,F1_EARLY,0,0,11,0.5631781220436096,0.5311863509805157
C-M0,F1_EARLY,0,0,12,0.5572403967380524,0.5248027519061782
C-M0,F1_EARLY,0,1,1,0.692992012609135,0.5766173275335262
C-M0,F1_EARLY,0,1,2,0.642175327647816,0.5518335236286329
C-M0,F1_EARLY,0,1,3,0.6182724752209403,0.5447324221868313
C-M0,F1_EARLY,0,1,4,0.603526543487202,0.5405366167966474
C-M0,F1_EARLY,0,1,5,0.5924944119019941,0.538287932777435
C-M0,F1_EARLY,0,1,6,0.5906668901443481,0.5351115670790784
C-M0,F1_EARLY,0,1,7,0.583969156850468,0.5352672067736978
C-M0,F1_EARLY,0,1,8,0.5768157568844882,0.5378177770420034
C-M0,F1_EARLY,0,1,9,0.572209279645573,0.5347113049792288
C-M0,F1_EARLY,0,1,10,0.5649998919530348,0.534275857151551
C-M0,F1_EARLY,0,1,11,0.5631925165653229,0.5336951454646955
C-M0,F1_EARLY,0,1,12,0.5605573979291049,0.5291487764551094
C-M0,F1_EARLY,0,refit,1,0.6730398278344761,
C-M0,F1_EARLY,0,refit,2,0.6180524053898725,
C-M0,F1_EARLY,0,refit,3,0.5998593013394963,
C-M0,F1_EARLY,0,refit,4,0.5921736108985814,
C-M0,F1_EARLY,0,refit,5,0.5848809338428758,
C-M0,F1_EARLY,0,refit,6,0.5807831253517758,
C-M0,F1_EARLY,0,refit,7,0.577903727916154,
C-M0,F1_EARLY,0,refit,8,0.5745187699794769,
C-M0,F1_EARLY,0,refit,9,0.5682421570474451,
C-M0,F1_EARLY,0,refit,10,0.5682855099439621,
C-M0,F1_EARLY,0,refit,11,0.5637118633497845,
C-M0,F1_EARLY,0,refit,12,0.561290714551102,
C-C0,F1_EARLY,0,0,1,0.7143374085426331,0.6242263575497923
C-C0,F1_EARLY,0,0,2,0.6813147501512007,0.612375145324976
C-C0,F1_EARLY,0,0,3,0.6665682196617126,0.6017810942494463
C-C0,F1_EARLY,0,0,4,0.6544164419174194,0.591262634779185
C-C0,F1_EARLY,0,0,5,0.6447622938589617,0.5854662743812109
C-C0,F1_EARLY,0,0,6,0.636095177043568,0.5786953667105919
C-C0,F1_EARLY,0,0,7,0.6325202584266663,0.575820316401597
C-C0,F1_EARLY,0,0,8,0.626268059015274,0.5709331789685045
C-C0,F1_EARLY,0,0,9,0.6241547438231382,0.5699778856900505
C-C0,F1_EARLY,0,0,10,0.6219243569807573,0.5656593591194614
C-C0,F1_EARLY,0,0,11,0.619348485361446,0.5640691313857246
C-C0,F1_EARLY,0,0,12,0.618494678627361,0.5662785560922742
C-C0,F1_EARLY,0,1,1,0.7204358659007333,0.6147026634491164
C-C0,F1_EARLY,0,1,2,0.6878943226554177,0.6009355342072039
C-C0,F1_EARLY,0,1,3,0.6708836149085652,0.5882164931351702
C-C0,F1_EARLY,0,1,4,0.6574400446631692,0.5808695397904363
C-C0,F1_EARLY,0,1,5,0.6479976556517861,0.5736745917999799
C-C0,F1_EARLY,0,1,6,0.6432315734299746,0.5740359569200645
C-C0,F1_EARLY,0,1,7,0.6366590288552371,0.5696725697645978
C-C0,F1_EARLY,0,1,8,0.630908261645924,0.5654270517909594
C-C0,F1_EARLY,0,1,9,0.629639828746969,0.5655836140232032
C-C0,F1_EARLY,0,1,10,0.6264902353286743,0.5651968711365774
C-C0,F1_EARLY,0,1,11,0.6244740052656694,0.5642761865319091
C-C0,F1_EARLY,0,1,12,0.6241931888190183,0.5636714234784507
C-C0,F1_EARLY,0,refit,1,0.7066379663619128,
C-C0,F1_EARLY,0,refit,2,0.6665547368201342,
C-C0,F1_EARLY,0,refit,3,0.6533899388530038,
C-C0,F1_EARLY,0,refit,4,0.6400348787957971,
C-C0,F1_EARLY,0,refit,5,0.6335080956870859,
C-C0,F1_EARLY,0,refit,6,0.6278384097597816,
C-C0,F1_EARLY,0,refit,7,0.6234854053367268,
C-C0,F1_EARLY,0,refit,8,0.621442736549811,
C-C0,F1_EARLY,0,refit,9,0.618683437732133,
C-C0,F1_EARLY,0,refit,10,0.6174012707038359,
C-C0,F1_EARLY,0,refit,11,0.6156757406213067,
C-L1,F1_EARLY,0,0,1,0.7210544618693265,0.6333108662347432
C-L1,F1_EARLY,0,0,2,0.6821314963427457,0.6156813122771889
C-L1,F1_EARLY,0,0,3,0.6642197641459379,0.6012477254733588
C-L1,F1_EARLY,0,0,4,0.6476644440130754,0.5898075260170501
C-L1,F1_EARLY,0,0,5,0.6340136175805872,0.574386206317179
C-L1,F1_EARLY,0,0,6,0.6213416186246005,0.568420393627625
C-L1,F1_EARLY,0,0,7,0.6133249266581102,0.5586361300383628
C-L1,F1_EARLY,0,0,8,0.6072574284943667,0.5612091603430707
C-L1,F1_EARLY,0,0,9,0.6039852852171118,0.5646666528595599
C-L1,F1_EARLY,0,0,10,0.5999515733935616,0.55340444816297
C-L1,F1_EARLY,0,0,11,0.597491280599074,0.5535752362017777
C-L1,F1_EARLY,0,0,12,0.5952606932683424,0.5553146330401523
C-L1,F1_EARLY,0,1,1,0.7469257847829298,0.6342493001130541
C-L1,F1_EARLY,0,1,2,0.7050680572336371,0.6180288119946171
C-L1,F1_EARLY,0,1,3,0.6897178752855821,0.6055083348486631
C-L1,F1_EARLY,0,1,4,0.6742616322907534,0.5887961726038526
C-L1,F1_EARLY,0,1,5,0.6563865975900129,0.5769027470133226
C-L1,F1_EARLY,0,1,6,0.642522316087376,0.5671362064922193
C-L1,F1_EARLY,0,1,7,0.6301785815845836,0.5580951597610131
C-L1,F1_EARLY,0,1,8,0.6254909878427332,0.558342997572098
C-L1,F1_EARLY,0,1,9,0.6211202659390189,0.5577562707884323
C-L1,F1_EARLY,0,1,10,0.6155007969249379,0.5532717955635085
C-L1,F1_EARLY,0,1,11,0.6125699254599485,0.5548703901826768
C-L1,F1_EARLY,0,1,12,0.6084470369599082,0.5510886520152265
C-L1,F1_EARLY,0,refit,1,0.7108873223716562,
C-L1,F1_EARLY,0,refit,2,0.6654487943107431,
C-L1,F1_EARLY,0,refit,3,0.6366105594418265,
C-L1,F1_EARLY,0,refit,4,0.6222433109175075,
C-L1,F1_EARLY,0,refit,5,0.6139665814963254,
C-L1,F1_EARLY,0,refit,6,0.6122868088158694,
C-L1,F1_EARLY,0,refit,7,0.6057937727733091,
C-L1,F1_EARLY,0,refit,8,0.6054942567240108,
C-L1,F1_EARLY,0,refit,9,0.599931925535202,
C-L1,F1_EARLY,0,refit,10,0.5993959714065898,
C-L1,F1_EARLY,0,refit,11,0.5982711288062009,
C-H1,F1_EARLY,0,0,1,0.7044625797054984,0.6201819690647359
C-H1,F1_EARLY,0,0,2,0.6643664024092935,0.5922108501986796
C-H1,F1_EARLY,0,0,3,0.6376757269555872,0.5782228330831594
C-H1,F1_EARLY,0,0,4,0.6240155913613059,0.5741668825921223
C-H1,F1_EARLY,0,0,5,0.6184630421074954,0.5610525415619112
C-H1,F1_EARLY,0,0,6,0.6105457029559396,0.5586313607578902
C-H1,F1_EARLY,0,0,7,0.6071828712116588,0.5576004807132962
C-H1,F1_EARLY,0,0,8,0.5980416373773054,0.5571049371594988
C-H1,F1_EARLY,0,0,9,0.6000243316997181,0.5595636757606887
C-H1,F1_EARLY,0,0,10,0.5951845672997561,0.5555523057845073
C-H1,F1_EARLY,0,0,11,0.5894631905989214,0.5583607693437024
C-H1,F1_EARLY,0,0,12,0.5903371707959608,0.5533167140638272
C-H1,F1_EARLY,0,1,1,0.7359981672330336,0.619786223225819
C-H1,F1_EARLY,0,1,2,0.6902838837016713,0.5924084679183481
C-H1,F1_EARLY,0,1,3,0.6606613939458673,0.5771711226243134
C-H1,F1_EARLY,0,1,4,0.6392273523590781,0.5671212390891628
C-H1,F1_EARLY,0,1,5,0.6316614665768363,0.565890375122915
C-H1,F1_EARLY,0,1,6,0.624016753651879,0.5641739986661506
C-H1,F1_EARLY,0,1,7,0.6227257333018563,0.5608174959893651
C-H1,F1_EARLY,0,1,8,0.6155048419128765,0.559154632212521
C-H1,F1_EARLY,0,1,9,0.6104902868921106,0.5553419091618242
C-H1,F1_EARLY,0,1,10,0.6113112650134347,0.5530003772852942
C-H1,F1_EARLY,0,1,11,0.6090507967905565,0.5507226047030901
C-H1,F1_EARLY,0,1,12,0.6057181846011769,0.5576657462559531
C-H1,F1_EARLY,0,refit,1,0.6962186816063795,
C-H1,F1_EARLY,0,refit,2,0.6467187770388343,
C-H1,F1_EARLY,0,refit,3,0.6299029358408668,
C-H1,F1_EARLY,0,refit,4,0.6217902898788452,
C-H1,F1_EARLY,0,refit,5,0.6173583661968057,
C-H1,F1_EARLY,0,refit,6,0.6090836999091235,
C-H1,F1_EARLY,0,refit,7,0.6109056675975973,
C-H1,F1_EARLY,0,refit,8,0.6020570647987452,
C-H1,F1_EARLY,0,refit,9,0.6005785424600948,
C-H1,F1_EARLY,0,refit,10,0.5997988513924859,
C-H1,F1_EARLY,0,refit,11,0.5967876843430779,
C-H2,F1_EARLY,0,0,1,0.729729950428009,0.6292443272576739
C-H2,F1_EARLY,0,0,2,0.6741392395713113,0.6009956775792922
C-H2,F1_EARLY,0,0,3,0.6402546709234064,0.5655469933620124
C-H2,F1_EARLY,0,0,4,0.622711103070866,0.5547802430722718
C-H2,F1_EARLY,0,0,5,0.6065287915143099,0.5497052641909473
