candidate_id,forecast_id,outer_fold,inner_fold,epoch,train_loss,validation_nll
C-C0,F1_EARLY,0,0,1,0.7143374085426331,0.6242263575497923
C-C0,F1_EARLY,0,0,2,0.6813147501512007,0.612375145324976
C-C0,F1_EARLY,0,0,3,0.6665682196617126,0.6017810942494463
C-C0,F1_EARLY,0,0,4,0.6544164419174194,0.591262634779185
C-C0,F1_EARLY,0,0,5,0.6447622938589617,0.5854662743812109
C-C0,F1_EARLY,0,0,6,0.636095177043568,0.5786953667105919
C-C0,F1_EARLY,0,0,7,0.6325202584266663,0.575820316401597
C-C0,F1_EARLY,0,0,8,0.626268059015274,0.5709331789685045
C-C0,F1_EARLY,0,0,9,0.6241547438231382,0.5699778856900505
C-C0,F1_EARLY,0,0,10,0.6219243569807573,0.5656593591194614
C-C0,F1_EARLY,0,0,11,0.619348485361446,0.5640691313857246
C-C0,F1_EARLY,0,0,12,0.618494678627361,0.5662785560922742
C-C0,F1_EARLY,0,1,1,0.7204358659007333,0.6147026634491164
C-C0,F1_EARLY,0,1,2,0.6878943226554177,0.6009355342072039
C-C0,F1_EARLY,0,1,3,0.6708836149085652,0.5882164931351702
C-C0,F1_EARLY,0,1,4,0.6574400446631692,0.5808695397904363
C-C0,F1_EARLY,0,1,5,0.6479976556517861,0.5736745917999799
C-C0,F1_EARLY,0,1,6,0.6432315734299746,0.5740359569200645
C-C0,F1_EARLY,0,1,7,0.6366590288552371,0.5696725697645978
C-C0,F1_EARLY,0,1,8,0.630908261645924,0.5654270517909594
C-C0,F1_EARLY,0,1,9,0.629639828746969,0.5655836140232032
C-C0,F1_EARLY,0,1,10,0.6264902353286743,0.5651968711365774
C-C0,F1_EARLY,0,1,11,0.6244740052656694,0.5642761865319091
C-C0,F1_EARLY,0,1,12,0.6241931888190183,0.5636714234784507
C-C0,F1_EARLY,0,refit,1,0.7066379663619128,
C-C0,F1_EARLY,0,refit,2,0.6665547368201342,
C-C0,F1_EARLY,0,refit,3,0.6533899388530038,
C-C0,F1_EARLY,0,refit,4,0.6400348787957971,
C-C0,F1_EARLY,0,refit,5,0.6335080956870859,
C-C0,F1_EARLY,0,refit,6,0.6278384097597816,
C-C0,F1_EARLY,0,refit,7,0.6234854053367268,
C-C0,F1_EARLY,0,refit,8,0.621442736549811,
C-C0,F1_EARLY,0,refit,9,0.618683437732133,
C-C0,F1_EARLY,0,refit,10,0.6174012707038359,
C-C0,F1_EARLY,0,refit,11,0.6156757406213067,
C-C0,F1_EARLY,1,0,1,0.7336003888737072,0.6146949555644792
C-C0,F1_EARLY,1,0,2,0.7019946331327612,0.6019656100805825
C-C0,F1_EARLY,1,0,3,0.6878309764645316,0.5946752375310654
C-C0,F1_EARLY,1,0,4,0.6778847250071439,0.5882871494043304
C-C0,F1_EARLY,1,0,5,0.6704233505509116,0.5775556341825512
C-C0,F1_EARLY,1,0,6,0.6622675955295563,0.5744071942601161
C-C0,F1_EARLY,1,0,7,0.6565582752227783,0.5646721701164731
C-C0,F1_EARLY,1,0,8,0.6554071361368353,0.5659607954563538
C-C0,F1_EARLY,1,0,9,0.6493974896994504,0.5606716557363616
C-C0,F1_EARLY,1,0,10,0.6479710963639346,0.5587667203783563
C-C0,F1_EARLY,1,0,11,0.6457413651726462,0.5583069913403554
C-C0,F1_EARLY,1,0,12,0.6413407298651609,0.5577480116482513
C-C0,F1_EARLY,1,1,1,0.7001102702184157,0.621516419488374
C-C0,F1_EARLY,1,1,2,0.6646437238563191,0.6014477488089537
C-C0,F1_EARLY,1,1,3,0.6505453098904003,0.5938553886435627
C-C0,F1_EARLY,1,1,4,0.6392086337913166,0.5840802348425795
C-C0,F1_EARLY,1,1,5,0.6296569027683951,0.5808985756608629
C-C0,F1_EARLY,1,1,6,0.624360515312715,0.5742342270402168
C-C0,F1_EARLY,1,1,7,0.6201573285189542,0.5714140367356099
C-C0,F1_EARLY,1,1,8,0.6161104711619291,0.573243254923402
C-C0,F1_EARLY,1,1,9,0.6139418130571191,0.5705455421416544
C-C0,F1_EARLY,1,1,10,0.6141666390679099,0.5693464462423445
C-C0,F1_EARLY,1,1,11,0.6100561672990973,0.5749245056180067
C-C0,F1_EARLY,1,1,12,0.6075734658674761,0.5650457655942238
C-C0,F1_EARLY,1,refit,1,0.7076781283725392,
C-C0,F1_EARLY,1,refit,2,0.6717594333670356,
C-C0,F1_EARLY,1,refit,3,0.6540604924613779,
C-C0,F1_EARLY,1,refit,4,0.6414152383804321,
C-C0,F1_EARLY,1,refit,5,0.6356119567697699,
C-C0,F1_EARLY,1,refit,6,0.6299840387972918,
C-C0,F1_EARLY,1,refit,7,0.6290209510109641,
C-C0,F1_EARLY,1,refit,8,0.6249056119810451,
C-C0,F1_EARLY,1,refit,9,0.6237781603227962,
C-C0,F1_EARLY,1,refit,10,0.6249239973046563,
C-C0,F1_EARLY,1,refit,11,0.6203429414467378,
C-C0,F1_EARLY,1,refit,12,0.6207410151308234,
C-C0,F1_EARLY,2,0,1,0.7325358851389452,0.6235180498948106
C-C0,F1_EARLY,2,0,2,0.6975378312847831,0.6119627543629793
C-C0,F1_EARLY,2,0,3,0.6869515370238911,0.5995810573775215
C-C0,F1_EARLY,2,0,4,0.6747694178061052,0.5919097544789237
C-C0,F1_EARLY,2,0,5,0.66467116095803,0.5843043327132887
C-C0,F1_EARLY,2,0,6,0.6570177511735396,0.5795552757506708
C-C0,F1_EARLY,2,0,7,0.6528823321515863,0.5768531233666235
C-C0,F1_EARLY,2,0,8,0.6471810747276653,0.5644958962803318
C-C0,F1_EARLY,2,0,9,0.6448025920174338,0.5652256506916131
C-C0,F1_EARLY,2,0,10,0.6412798057902943,0.570134531931555
C-C0,F1_EARLY,2,0,11,0.6396006833423268,0.5668612599743171
C-C0,F1_EARLY,2,1,1,0.7138674340464852,0.6190991610314519
C-C0,F1_EARLY,2,1,2,0.6790018379688263,0.5997535103347458
C-C0,F1_EARLY,2,1,3,0.6631922369653528,0.5919955301455553
C-C0,F1_EARLY,2,1,4,0.6503758999434385,0.5844667296916339
C-C0,F1_EARLY,2,1,5,0.6439281620762565,0.5784135749489632
C-C0,F1_EARLY,2,1,6,0.6347727640108629,0.57596278232083
C-C0,F1_EARLY,2,1,7,0.6315954761071638,0.5741443957632093
C-C0,F1_EARLY,2,1,8,0.6265066401524977,0.5720947518679308
C-C0,F1_EARLY,2,1,9,0.6270497089082544,0.5732594369097792
C-C0,F1_EARLY,2,1,10,0.6242137280377474,0.5685102167544855
C-C0,F1_EARLY,2,1,11,0.6229645799506794,0.5656813925117753
C-C0,F1_EARLY,2,1,12,0.6217491789297624,0.5690181407882287
C-C0,F1_EARLY,2,refit,1,0.7024344300681894,
C-C0,F1_EARLY,2,refit,2,0.6769075664606962,
C-C0,F1_EARLY,2,refit,3,0.6584091498093172,
C-C0,F1_EARLY,2,refit,4,0.6460817916826769,
C-C0,F1_EARLY,2,refit,5,0.6368564909154718,
C-C0,F1_EARLY,2,refit,6,0.6411342282186855,
C-C0,F1_EARLY,2,refit,7,0.6337929462844675,
C-C0,F1_EARLY,2,refit,8,0.6316149735992606,
C-C0,F1_EARLY,2,refit,9,0.6296389075842771,
C-C0,F2_MIDDLE,0,0,1,0.7414824707167489,0.5567334202817785
C-C0,F2_MIDDLE,0,0,2,0.6828017859231859,0.5352543817091728
C-C0,F2_MIDDLE,0,0,3,0.632743069103786,0.5089365058176929
C-C0,F2_MIDDLE,0,0,4,0.6042263905207316,0.4890163933592875
C-C0,F2_MIDDLE,0,0,5,0.6082358360290527,0.4690688653404217
C-C0,F2_MIDDLE,0,0,6,0.5583731276648385,0.4596243712790457
C-C0,F2_MIDDLE,0,0,7,0.5370098735604968,0.4459933978968221
C-C0,F2_MIDDLE,0,0,8,0.5165662417809168,0.4305661377491392
C-C0,F2_MIDDLE,0,0,9,0.5168871453830174,0.4343670480694029
C-C0,F2_MIDDLE,0,0,10,0.5286559263865153,0.4306346452213761
C-C0,F2_MIDDLE,0,0,11,0.5014326395023436,0.4241073928586442
C-C0,F2_MIDDLE,0,0,12,0.5250037511189779,0.4207772977229584
C-C0,F2_MIDDLE,0,1,1,0.7062703853561765,0.553177466052616
C-C0,F2_MIDDLE,0,1,2,0.662039115315392,0.5164843531981633
C-C0,F2_MIDDLE,0,1,3,0.6105371827170962,0.4870516774584041
C-C0,F2_MIDDLE,0,1,4,0.5790857388859704,0.4645695846537721
C-C0,F2_MIDDLE,0,1,5,0.5405154824256897,0.4460677089546585
C-C0,F2_MIDDLE,0,1,6,0.5444433476243701,0.4439887868857833
C-C0,F2_MIDDLE,0,1,7,0.5322309817586627,0.4268884608268969
C-C0,F2_MIDDLE,0,1,8,0.5141339486553556,0.4288189368656783
C-C0,F2_MIDDLE,0,1,9,0.5155446827411652,0.4248255705995983
C-C0,F2_MIDDLE,0,1,10,0.5139506331511906,0.4194873851932728
C-C0,F2_MIDDLE,0,1,11,0.5172181909992581,0.4246739253117043
C-C0,F2_MIDDLE,0,1,12,0.5108351224944705,0.4151835356828709
C-C0,F2_MIDDLE,0,refit,1,0.6988723074517599,
C-C0,F2_MIDDLE,0,refit,2,0.6138213945598137,
C-C0,F2_MIDDLE,0,refit,3,0.5620129937078895,
C-C0,F2_MIDDLE,0,refit,4,0.5348910311373268,
C-C0,F2_MIDDLE,0,refit,5,0.5187255754703428,
C-C0,F2_MIDDLE,0,refit,6,0.5183618584784065,
C-C0,F2_MIDDLE,0,refit,7,0.5069036352925185,
C-C0,F2_MIDDLE,0,refit,8,0.5081745437005671,
C-C0,F2_MIDDLE,0,refit,9,0.5091565069628925,
C-C0,F2_MIDDLE,0,refit,10,0.4987769148698667,
C-C0,F2_MIDDLE,0,refit,11,0.4989162072902772,
C-C0,F2_MIDDLE,0,refit,12,0.4953329526796574,
C-C0,F2_MIDDLE,1,0,1,0.745441856838408,0.5475701369687691
C-C0,F2_MIDDLE,1,0,2,0.6710221228145418,0.5223692202898919
C-C0,F2_MIDDLE,1,0,3,0.6379163549059913,0.4973070206467776
C-C0,F2_MIDDLE,1,0,4,0.6031114033290318,0.4731486938004202
C-C0,F2_MIDDLE,1,0,5,0.5864975083441961,0.4641128197650437
C-C0,F2_MIDDLE,1,0,6,0.5571752148015159,0.4393788748340085
C-C0,F2_MIDDLE,1,0,7,0.5433808848971412,0.4333717456279846
C-C0,F2_MIDDLE,1,0,8,0.5303357300304231,0.4244804457913254
C-C0,F2_MIDDLE,1,0,9,0.528420341866357,0.4275366771979083
C-C0,F2_MIDDLE,1,0,10,0.5277888434273856,0.420512653907095
C-C0,F2_MIDDLE,1,0,11,0.5143525784923917,0.4168858772634373
C-C0,F2_MIDDLE,1,0,12,0.5181407800742558,0.4185810425003256
C-C0,F2_MIDDLE,1,1,1,0.6833868056535721,0.5578570836128701
C-C0,F2_MIDDLE,1,1,2,0.6192623853683472,0.5214056519936163
C-C0,F2_MIDDLE,1,1,3,0.5871485948562623,0.4878339352262709
C-C0,F2_MIDDLE,1,1,4,0.556850403547287,0.4600883978006867
C-C0,F2_MIDDLE,1,1,5,0.5320153653621673,0.4474400360188478
C-C0,F2_MIDDLE,1,1,6,0.516170111298561,0.4318592926029174
C-C0,F2_MIDDLE,1,1,7,0.506949982047081,0.4288014467253599
C-C0,F2_MIDDLE,1,1,8,0.4997183799743652,0.4195762077964244
C-C0,F2_MIDDLE,1,1,9,0.4972627520561218,0.4153378473064717
C-C0,F2_MIDDLE,1,1,10,0.4923533588647842,0.4269364455129771
C-C0,F2_MIDDLE,1,1,11,0.4913377702236176,0.4212879561566441
C-C0,F2_MIDDLE,1,1,12,0.4873187184333801,0.4137013587589351
C-C0,F2_MIDDLE,1,refit,1,0.6872749488528181,
C-C0,F2_MIDDLE,1,refit,2,0.6064399684347758,
C-C0,F2_MIDDLE,1,refit,3,0.5571360500847421,
