comparison,seed,metric,group_key,resamples,mean_delta,lower_95,upper_95,probability_delta_gt_zero
V2-H3C_minus_V2-H2T,42,macro_f1,id_student,2000,0.0034045493526788633,-0.00033223630560410276,0.007280596105194452,0.963
V2-H3C_minus_V2-H2T,2026,macro_f1,id_student,2000,-0.0018212738209507882,-0.005625445260288092,0.00193705347134462,0.185
V2-H3C_minus_V2-H2T,3407,macro_f1,id_student,2000,0.003231491789148397,-0.0008114299680332642,0.007194814464852942,0.9405
V2-H3C_minus_V2-A0,42,macro_f1,id_student,2000,0.0008737025026747686,-0.0028727755549298626,0.0044611257220625415,0.673
V2-H3C_minus_V2-A0,2026,macro_f1,id_student,2000,-0.004723578383544711,-0.008329995293706104,-0.0012061796199755663,0.004
V2-H3C_minus_V2-A0,3407,macro_f1,id_student,2000,0.0009412680993865556,-0.0027297184505992835,0.004621591215028154,0.692
V2-H2T_minus_V2-H2F,42,macro_f1,id_student,2000,0.009546831970827185,0.005070832665014122,0.013955836125915794,1.0
V2-H2T_minus_V2-H2F,2026,macro_f1,id_student,2000,0.0118040663966292,0.00727672263363448,0.01634172362149196,1.0
V2-H2T_minus_V2-H2F,3407,macro_f1,id_student,2000,0.007558997237296626,0.0029227029713458585,0.012253165129575524,0.999
V2-H3C_minus_V2-MLF,42,macro_f1,id_student,2000,0.002162948145043538,-0.001959442634759151,0.0061500806033238774,0.8475
V2-H3C_minus_V2-MLF,42,operational_at_risk_recall,id_student,2000,0.07750609741785874,0.07013479940051653,0.08481524127810579,1.0
V2-H3C_minus_V2-MLF,2026,macro_f1,id_student,2000,-0.0009637206952598388,-0.005423664784724907,0.003331689736722738,0.3305
V2-H3C_minus_V2-MLF,2026,operational_at_risk_recall,id_student,2000,0.08674643301589859,0.07903383476076524,0.09469579945674479,1.0
V2-H3C_minus_V2-MLF,3407,macro_f1,id_student,2000,-0.00011894955234982396,-0.0044636648713316405,0.0041289669323720125,0.4805
V2-H3C_minus_V2-MLF,3407,operational_at_risk_recall,id_student,2000,0.08920212050914131,0.08143903039063803,0.09684407326968426,1.0
V2-A0_minus_V2-MLF,42,macro_f1,id_student,2000,0.0012892456423687693,-0.0027506112735283914,0.005166138932937503,0.739
V2-A0_minus_V2-MLF,42,operational_at_risk_recall,id_student,2000,0.06501022096577914,0.05821579949225784,0.07182148419758114,1.0
V2-A0_minus_V2-MLF,2026,macro_f1,id_student,2000,0.003759857688284872,-0.0001074926484427252,0.007737329281749211,0.972
V2-A0_minus_V2-MLF,2026,operational_at_risk_recall,id_student,2000,0.07956089109460306,0.07225686537285692,0.08728456552122393,1.0
V2-A0_minus_V2-MLF,3407,macro_f1,id_student,2000,-0.0010602176517363797,-0.005231720272863963,0.0031793350830599224,0.314
V2-A0_minus_V2-MLF,3407,operational_at_risk_recall,id_student,2000,0.07155268692213072,0.06429450792661398,0.07929936946684313,1.0
