comparison,seed,macro_f1_delta,at_risk_recall_delta,operational_recall_delta,pr_auc_delta
V2-H2T_minus_V2-H2F,42,0.009559767030468125,-0.06456358287021902,0.036286368094148425,0.0036122612511458874
V2-H2T_minus_V2-H2F,2026,0.011705379121773274,-0.05639097744360899,0.03497875122589078,0.0032968476977994765
V2-H2T_minus_V2-H2F,3407,0.007495692395671494,-0.06178489702517165,0.02991173586139262,0.001950950084542491
V2-H3C_minus_V2-H2T,42,0.0034054223941949457,0.01928734880679961,-0.006211180124223614,0.0005416734426646475
V2-H3C_minus_V2-H2T,2026,-0.0018064477661851042,0.006374632232755806,0.004086302713305012,-0.0008956091161864688
V2-H3C_minus_V2-H2T,3407,0.0032474866173011208,0.0281137626675384,0.011768551814318351,0.0013895057627888452
V2-H3C_minus_V2-A0,42,0.0008916657496902403,0.011278195488721776,0.01258581235697942,-0.00048530243262934203
V2-H3C_minus_V2-A0,2026,-0.004733802348057536,-0.009480222294867557,0.007191892775416764,-0.002937119707434488
V2-H3C_minus_V2-A0,3407,0.0008837510739743148,0.0194508009153318,0.017652827721477582,-0.0006094088908591422
V2-H2T_minus_V2-T0,42,0.0011024866287300261,0.008336057535142216,0.019123896698267417,0.0010649816070805729
V2-H2T_minus_V2-T0,2026,0.0038775055859384677,-0.0014710689767897245,0.007028440666884572,0.0026216292553706833
V2-H2T_minus_V2-T0,3407,-0.001951592203399355,-0.010787839163125201,-0.003432494279176135,4.5240080850605935e-05
V2-H3C_minus_V2-MLF,42,0.0021280551863569475,0.0022883295194507935,0.07763975155279501,0.0023344697288530947
V2-H3C_minus_V2-MLF,2026,-0.0009382028827179534,-0.002451781627982985,0.086629617522066,0.0005817736166555676
V2-H3C_minus_V2-MLF,3407,-9.395522533350853e-05,0.013893429225236953,0.08924485125858117,0.001520990882373896
