candidate_id,checkpoint_reproduction_max_abs_difference,checkpoint_sha256,completed,device,epochs_ran,outer_fold,parameter_count,preprocessor_sha256,records,runtime_seconds,seed,selected_epoch,state_dict_sha256
V2-H2T,0.0,024a0941bc8dddeb150423e8a5fcef3b2a3ca3878201bc0a9c5f5fa717f3b655,True,cuda,10,0,156769,fa444893e68f2c6e9bee53d97b2c59b154a0c5d32f0f47a63abcbd289b8dba61,5120,20.69759530000738,42,10,899f42340e0f90106035f0546dc3cbf8fa020c81e801112cccb87f24cd7198d3
V2-H2T,0.0,d98af04e06f5ba6574b8a8e950379dc17837cb29c157bac76ab360607a2a9f6d,True,cuda,10,0,156769,fa444893e68f2c6e9bee53d97b2c59b154a0c5d32f0f47a63abcbd289b8dba61,5120,21.680090499998187,2026,10,1e8e62cecce8b0f23d83dd54e1601494198036e6f60f68995009990cef06ac78
V2-H2T,0.0,a771723569e86870cf5851543b4ee5b9104d715944f801b952de20da712b8e81,True,cuda,10,0,156769,fa444893e68f2c6e9bee53d97b2c59b154a0c5d32f0f47a63abcbd289b8dba61,5120,20.671678399987286,3407,10,c8f0dcc1ff9e7854414abf3ac14140d55668ae4c53eb0aa98bfee45a03a4e0d3
V2-H2T,0.0,06e2d0a2c6c12df966bcc40f102adf60d90aca465e1396df3a0ed003d509450b,True,cuda,35,1,90313,d786c4e8061a336e68342f305e234f07938b13b3018a68c526d334ce0042e570,5109,41.15472389999195,42,35,8c191408f599d6515ec81b936d21974a045c3f6b633f4ee1b139d9c3f6acab68
V2-H2T,0.0,b2e654386fc83f403a39d507d68158b114c3a410726268025bcd5cd07d6e4509,True,cuda,35,1,90313,d786c4e8061a336e68342f305e234f07938b13b3018a68c526d334ce0042e570,5109,39.58223800000269,2026,35,2ecb7f6543f5bb0a92505094555442f4712e5b7fd9ba94ec9c2a0fa70487d135
V2-H2T,0.0,2c122f886dbd69c6e9c12d52e39023b42fd600f671311882d9432d08d2167c20,True,cuda,35,1,90313,d786c4e8061a336e68342f305e234f07938b13b3018a68c526d334ce0042e570,5109,41.05611590000626,3407,35,6c8539df25d5f4f7e25621639f1a500016cf10fef7d2a8988860648dce8a6adf
V2-H2T,0.0,bbbe35e4ef7cc77a30c1d46bc40202e2db53f829495dd1217b5c008a901b22f1,True,cuda,11,2,48225,fff55afdc060fb5231470d293af78b363af07c8a3d6d7b908af71df763a0e304,5149,21.51202419999754,42,11,b98ec6e79c0a054acd4d8f011e6207da624144c8f5c27e1b31e98d4e7e966607
V2-H2T,0.0,a311e3b48043cf1c7d21c82ead2ceb0f92a3e2d6bd9d2c9581f1b15ea5bbf214,True,cuda,11,2,48225,fff55afdc060fb5231470d293af78b363af07c8a3d6d7b908af71df763a0e304,5149,21.89428300000145,2026,11,996e8aee5eb884bc9a308ac31851be057adaf03aee6a7cf64e3dd915e6ba9f9e
V2-H2T,0.0,baf45223d541594048efe7adae0c5e7239744f4c949e1f50698e5b25608043ec,True,cuda,11,2,48225,fff55afdc060fb5231470d293af78b363af07c8a3d6d7b908af71df763a0e304,5149,21.75326510000741,3407,11,17e088496816b7342c24bf4f42446c0e522009bf98785391df5136be1ff5b64a
V2-A0,0.0,b3d0790c941e0efb96bfb2cac2da33cfa4da9db69fb99f4fff57dd07a6a64363,True,cuda,10,0,32129,0c6066bea51651682b3c312ddfb5c9030407ebe8dccec19bcc40978d3756b827,5120,9.79675710000447,42,10,c2a18dc0c589c00fd3285986e9f12dc1c9d7d328ca124cb8930d075b1bbf306d
V2-A0,0.0,0639c0e4256a66c4f73d8a33689680d231f820363269fbab668d39248565e621,True,cuda,10,0,32129,0c6066bea51651682b3c312ddfb5c9030407ebe8dccec19bcc40978d3756b827,5120,9.695001000000047,2026,10,c4e7cdd2741653f62ba33c845ebb8d315ecb9c664a731ec00c2baf912ed1783e
V2-A0,0.0,78e531560ed27a0dde06fbf8b1b2086f40223af17cd4687f472aff988ac0c598,True,cuda,10,0,32129,0c6066bea51651682b3c312ddfb5c9030407ebe8dccec19bcc40978d3756b827,5120,10.183031000007759,3407,10,f41d1c45bbf4a0d62a80c60122f1f53ae5c72e52732b9f76950b8309e02811ba
V2-A0,0.0,df0af5449c2d3ed8c4528b078fad42e94969e9adb23b9eea378b01ae30e36804,True,cuda,15,1,17409,6bcdc52c7bf0091c0663135a76942ac0f15d7f89ccfac5a4ef6f1574d9ee2719,5109,9.913194600012503,42,15,c178c580564d7e37c28d0f05ed31ad867108c82ae699c1204b8b91cb20fa9643
V2-A0,0.0,08513b754e4be86edb89cfbc5a029886457c7c9ebe8c737b0050bb1e13b27fd9,True,cuda,15,1,17409,6bcdc52c7bf0091c0663135a76942ac0f15d7f89ccfac5a4ef6f1574d9ee2719,5109,10.635155199997826,2026,15,17e9d0a87f8a71e732dde2e0108e0ffeb6b6ce4d38ed33523efb877ac7ed88b4
V2-A0,0.0,a54f66ff97dd1d672487ceb61061c86ac3507a41c84e2cf03f4baf56c7c1e82e,True,cuda,15,1,17409,6bcdc52c7bf0091c0663135a76942ac0f15d7f89ccfac5a4ef6f1574d9ee2719,5109,9.910032999992836,3407,15,8c3e0e82c6fdac55695cd6e4def1cbc8749d9e49c1c6d62d4406484bb42d1964
V2-A0,0.0,d7964d95687096dafc7baca8b464e7f9b0f1915c5191e79b755fe38fefaff2ac,True,cuda,15,2,32129,c923f3f691a73cef48d0774ffcdd4bbae11b6f98a5efd21a3f52021d05b1f463,5149,14.603352200007066,42,15,c299b91b23264078db955bfb278f451737a151e78246d6bb3496c64f2061c76d
V2-A0,0.0,d729de65f9d6b7c2762eb69fea6cff627979b83f55e8a0c973e7d26382662d80,True,cuda,15,2,32129,c923f3f691a73cef48d0774ffcdd4bbae11b6f98a5efd21a3f52021d05b1f463,5149,13.964161900003091,2026,15,ae4399a55fc2cf75dc839a8f4a791db2daa6c821760127989d942cc04366a564
V2-A0,0.0,a28b947d14c799050e66fe08f056e3fcd1f8606022d589a16d61861cca789501,True,cuda,15,2,32129,c923f3f691a73cef48d0774ffcdd4bbae11b6f98a5efd21a3f52021d05b1f463,5149,13.847087900008773,3407,15,b79ebcba579102014a273a4f5876150cab55e824e58ef372d64e82e97ea7f7a1
V2-T0,0.0,10ade0d5b8005556d24a8e0762b9f9b83d63d7bb8f7909e3da0dca83360a3705,True,cuda,10,0,151265,861713fa4a84df2b60a33b03fe3f5911c84b4d84a91856c383ebdf076fe7fc46,5120,19.42782339999394,42,10,123e1305bc2dc93b22d907bb12a87ee587fac7691fb2180457706c778a916197
V2-T0,0.0,27433294fd0a2a8605e5ad0616cdd824c938d3136d2c4fd56fbd29a779cff9dd,True,cuda,10,0,151265,861713fa4a84df2b60a33b03fe3f5911c84b4d84a91856c383ebdf076fe7fc46,5120,19.349714199997834,2026,10,9e7d0000f54106708342f5e4678ce8911237a145ae13faf9b55045858465106c
V2-T0,0.0,f3ceb6b8212c309a3c60e7d8f6361f7e7ffa158dadfe48dcdbca8986dd2a6de2,True,cuda,10,0,151265,861713fa4a84df2b60a33b03fe3f5911c84b4d84a91856c383ebdf076fe7fc46,5120,19.924557099991944,3407,10,ac1eb21bb0be40983ef42c13578f680e6a6cd7a4a4b86a01131344d86df11597
V2-T0,0.0,c4727f16644876bf83e871bf7889cf6fd594b3980d0fe1c042b18114fff58189,True,cuda,35,1,85801,bfd0e7d902627dd5f767c31caaba391cd0aff58c190a5e164b921025636bf0d3,5109,37.553063200000906,42,35,f6793ecbd1c14635c7fd03cbc982c521325f1bfeb027874fee81d40345c94f93
V2-T0,0.0,fc0f298d23dc21084a29ac4d690dad5c4763bf04ecfecee18781abb0d63a2205,True,cuda,35,1,85801,bfd0e7d902627dd5f767c31caaba391cd0aff58c190a5e164b921025636bf0d3,5109,36.846641099997214,2026,35,795f446c87cb9dd0ac9b3e8b4bebee854f6d7ab2a55d176c42e65dfd85eb5fd4
V2-T0,0.0,5dee9b7864f7bdc55cd0f07f6e1db5451c9e1f6fc92ce39dbf026521d866d69f,True,cuda,35,1,85801,bfd0e7d902627dd5f767c31caaba391cd0aff58c190a5e164b921025636bf0d3,5109,37.253726499999175,3407,35,aa41d06bbddd051e77826ca7175b89392c246cb478e590741758fd33c1de840f
V2-T0,0.0,7f63a390b972bfea2217f3b6ac96bc15a7a25b0a7806171e0a7d2f52be1e223e,True,cuda,11,2,44705,5b05c1251cf22d3ef97e183b77a925fdb94112be80f7fe6cec3840a4afa85969,5149,21.557151700006216,42,11,e0ff3868d302f2fc195a8297a181550baa19c3a71c9b1062cdc45b50348f33cd
V2-T0,0.0,ea9aa200e966cf0fd3847f88f2ad6d05fe61651c1b6d158c5b56e1fb81b70674,True,cuda,11,2,44705,5b05c1251cf22d3ef97e183b77a925fdb94112be80f7fe6cec3840a4afa85969,5149,20.502400699988357,2026,11,5d278d177733c0def32edebdaced6d60a931bac0e62a6814e0a462075c55bf3f
V2-T0,0.0,6d058521627e4c614c24d725072a6d1c242eb21b36d5429dc4a70b56e760d9dc,True,cuda,11,2,44705,5b05c1251cf22d3ef97e183b77a925fdb94112be80f7fe6cec3840a4afa85969,5149,20.21656470000744,3407,11,d1db0c4574390c0a1697afd9cc39dbb743871e841405f807f53b09f269ce41be
