left_candidate,right_candidate,prediction_contract,metric,mean_delta,median_delta,lower_95,upper_95,probability_delta_gt_zero,probability_delta_gte_superiority_margin,students,records,resamples,operational_pair_feasibility_rate,left_operational_feasibility_rate,right_operational_feasibility_rate
V3-D0-ENS,V3-A0F-ENS,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.0024854464530944826,0.002480924129486084,-0.0011916235089302063,0.006095632165670395,0.912,0.0836,14687,15378,5000,,,
V3-D0-ENS,V3-A0F-ENS,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.0008672890410651863,0.0008715972982368259,-0.00046306671451203644,0.0022058772339572743,0.8982,0.0,14687,15378,5000,,,
V3-D0-ENS,V3-A0F-ENS,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.004091709339618683,0.00414431095123291,-0.0016445145010948181,0.00982827246189117,0.909,0.3796,14687,15378,5000,,,
V3-D0-ENS,V3-A0F-ENS,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,-0.0027341559052467346,-0.0022747069597244263,-0.041310683637857434,0.036882534623146036,0.4512,0.3354,14687,15378,5000,,,
V3-D0-ENS,V3-A0F-ENS,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,-0.0027686777204235236,-0.002715885639190674,-0.007766906917095184,0.0021133154630660978,0.12226684515841142,0.000892458723784025,14687,15378,5000,0.8964,0.9394,0.9108
V3-D0-ENS,V3-P0-ENS,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.001973751211166382,0.001980528235435486,-0.0011627890169620513,0.005206369608640669,0.8824,0.0334,14687,15378,5000,,,
V3-D0-ENS,V3-P0-ENS,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.00038855009613112193,0.0003950666873747122,-0.0009846355131121697,0.0017864350332597169,0.7122,0.0,14687,15378,5000,,,
V3-D0-ENS,V3-P0-ENS,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,-0.01845035524368286,-0.01842901110649109,-0.023416343331336974,-0.013493598997592927,0.0,0.0,14687,15378,5000,,,
V3-D0-ENS,V3-P0-ENS,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,-0.00914432110786438,-0.00844765454530716,-0.03914216309785843,0.017527131736278498,0.2824,0.1632,14687,15378,5000,,,
V3-D0-ENS,V3-P0-ENS,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,-0.005968291679143031,-0.005975484848022461,-0.010531651973724365,-0.0012983560562133804,0.006006006006006006,0.0,14687,15378,5000,0.5994,0.9386,0.5996
V3-D0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.0038046767234802244,0.0038072317838668823,0.00018403530120849612,0.007353599369525909,0.981,0.2574,14687,15378,5000,,,
V3-D0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.0009309127943851386,0.0009055708191815226,-0.0007151359958949249,0.002684553156440128,0.858,0.0,14687,15378,5000,,,
V3-D0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.015011414885520935,0.014938831329345703,0.009089410305023193,0.020742414891719813,1.0,0.9996,14687,15378,5000,,,
V3-D0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,-0.004336783841252327,-0.0039103031158447266,-0.052520669996738434,0.04545365758240219,0.438,0.3576,14687,15378,5000,,,
V3-D0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.00252261900436313,0.00255507230758667,-0.0027825236320495605,0.00784572958946228,0.8229993563612958,0.1720660802402918,14687,15378,5000,0.9322,0.937,0.975
V3-D0-ENS,V3-A1-ENS,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.0047731451153755185,0.004777625203132629,0.0014969877898693086,0.00796064436435699,0.9988,0.4462,14687,15378,5000,,,
V3-D0-ENS,V3-A1-ENS,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.002527042297052969,0.0025267403913890596,0.0010791201044457633,0.004001800700049709,1.0,0.0004,14687,15378,5000,,,
V3-D0-ENS,V3-A1-ENS,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.00015762263536453247,0.00016266107559204102,-0.004786568880081177,0.005198244750499724,0.5074,0.03,14687,15378,5000,,,
V3-D0-ENS,V3-A1-ENS,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,0.024845010855793954,0.0241062194108963,-0.011369786411523818,0.06337722502648829,0.907,0.858,14687,15378,5000,,,
V3-D0-ENS,V3-A1-ENS,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,-0.0019856107447286902,-0.0019756555557250977,-0.0070755302906036375,0.003082773089408874,0.2109646079111728,0.0034698126301179735,14687,15378,5000,0.8646,0.9408,0.8744
V3-D0-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.00518342781662941,0.005180433392524719,0.0014933332800865172,0.008959469199180602,0.9954,0.541,14687,15378,5000,,,
V3-D0-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.0034101626375606445,0.003415540584671528,0.0013028555349232668,0.005578834318711881,0.9996,0.0752,14687,15378,5000,,,
V3-D0-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.008195746672153472,0.008167535066604614,0.0021277457475662232,0.014318403601646422,0.9962,0.8484,14687,15378,5000,,,
V3-D0-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,0.015768899121880533,0.014756053686141968,-0.03709082528948784,0.07276092320680615,0.7138,0.6434,14687,15378,5000,,,
V3-D0-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.00034897807625554155,0.0003268718719482422,-0.005634284019470214,0.006308430433273311,0.5352877307274702,0.05884907709011943,14687,15378,5000,0.921,0.9376,0.9532
V3-D0-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.005416785329580307,0.0054571181535720825,0.0015117287635803224,0.009345286339521407,0.9976,0.583,14687,15378,5000,,,
V3-D0-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.005236192753168862,0.005217637509830453,0.0030218680095638606,0.00759425762013668,1.0,0.5754,14687,15378,5000,,,
V3-D0-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.0011402679800987243,0.0011435747146606445,-0.005107225477695465,0.00741935521364212,0.6236,0.1134,14687,15378,5000,,,
V3-D0-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,-0.0010161533564329148,-0.0008667409420013428,-0.053367506712675095,0.05402717962861061,0.4848,0.3986,14687,15378,5000,,,
V3-D0-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.07582218843781022,0.07583862543106079,0.06885988414287567,0.0831524521112442,1.0,1.0,14687,15378,5000,0.939,0.939,1.0
V3-A0F-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.002924748992919922,0.0029215365648269653,-0.0010492742061614991,0.0069285243749618525,0.922,0.156,14687,15378,5000,,,
V3-A0F-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.004404675812952936,0.004392642586663831,0.002118453452081048,0.006700449726959653,0.9998,0.3102,14687,15378,5000,,,
V3-A0F-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,-0.002957570767402649,-0.0029729902744293213,-0.009341844916343689,0.003398625552654266,0.17,0.008,14687,15378,5000,,,
V3-A0F-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,0.0015890436053276062,0.001124739646911621,-0.05011787861585617,0.055295127257704656,0.5196,0.4328,14687,15378,5000,,,
V3-A0F-ENS,V3-MLF,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.07863041508229072,0.07860296964645386,0.07157941907644272,0.08580913692712783,1.0,1.0,14687,15378,5000,0.9144,0.9144,1.0
V3-A1-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.0004091998875141144,0.0004158616065979004,-0.003428319841623306,0.004125224798917756,0.5804,0.0084,14687,15378,5000,,,
V3-A1-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.0008783203094921461,0.0008769629604314377,-0.0011139884652981602,0.002928105377136415,0.8032,0.0,14687,15378,5000,,,
V3-A1-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.008033463823795318,0.008032143115997314,0.001796180009841919,0.014197807013988489,0.9928,0.835,14687,15378,5000,,,
V3-A1-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,-0.008682321751117706,-0.00862586498260498,-0.06234692633152008,0.0472411725670099,0.366,0.3038,14687,15378,5000,,,
V3-A1-ENS,V3-MLD,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.002337896122325712,0.0023217201232910156,-0.0037635087966918944,0.008482563495635987,0.7713421725982786,0.1895789718539195,14687,15378,5000,0.8598,0.8662,0.9508
V3-P0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,macro_f1,0.0018321756601333617,0.0018129795789718628,-0.001438625156879425,0.005062604695558541,0.8644,0.0278,14687,15378,5000,,,
V3-P0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,pr_auc,0.000533456126583988,0.000541417995588489,-0.0006265988930122896,0.0016871210500673639,0.8084,0.0,14687,15378,5000,,,
V3-P0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,at_risk_recall,0.03351780916452408,0.03345757722854614,0.028263886272907258,0.038953019678592674,1.0,1.0,14687,15378,5000,,,
V3-P0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,worst_module_macro_f1,0.00466705048084259,0.003981351852416992,-0.039685798808932304,0.05439270660281178,0.5882,0.4734,14687,15378,5000,,,
V3-P0-ENS,V3-H3CF-ENS,fair_probability_ensemble_or_registered_deterministic,operational_recall_at_precision_gte_0.75,0.008438821848086121,0.008425116539001465,0.0037483155727386476,0.012959355115890503,0.9996627318718381,0.9234401349072513,14687,15378,5000,0.593,0.593,0.9762
