schema_name,table_name,constraint_name,constraint_type,definition,validated
public,cutoff_feature_snapshots,cutoff_feature_snapshots_channel_order_hash_check,c,CHECK (channel_order_hash ~ '^[0-9a-f]{64}$'::text),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_feature_contract_hash_check,c,CHECK (feature_contract_hash ~ '^[0-9a-f]{64}$'::text),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_parquet_sha256_check,c,CHECK (parquet_sha256 ~ '^[0-9a-f]{64}$'::text),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_pkey,p,PRIMARY KEY (cutoff_feature_snapshot_id),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_prediction_cohort_id_fkey,f,FOREIGN KEY (prediction_cohort_id) REFERENCES prediction_cohorts(prediction_cohort_id),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_row_count_check,c,CHECK (row_count >= 0),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_sequence_length_check,c,CHECK (sequence_length > 0),True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_status_check,c,"CHECK (status = ANY (ARRAY['materialized'::text, 'validated'::text, 'deprecated'::text]))",True
public,cutoff_feature_snapshots,cutoff_feature_snapshots_target_hash_check,c,CHECK (target_hash ~ '^[0-9a-f]{64}$'::text),True
public,ml_evidence_bundles,ml_evidence_bundles_artifact_manifest_sha256_check,c,CHECK (artifact_manifest_sha256 ~ '^[0-9a-f]{64}$'::text),True
public,ml_evidence_bundles,ml_evidence_bundles_benchmark_status_check,c,"CHECK (benchmark_status = ANY (ARRAY['development_only'::text, 'reused_observed'::text, 'not_executed'::text]))",True
public,ml_evidence_bundles,ml_evidence_bundles_candidate_registry_check,c,CHECK (jsonb_typeof(candidate_registry) = 'object'::text),True
public,ml_evidence_bundles,ml_evidence_bundles_check,c,CHECK (completed_at >= created_at),True
public,ml_evidence_bundles,ml_evidence_bundles_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id) ON DELETE RESTRICT,True
public,ml_evidence_bundles,ml_evidence_bundles_environment_check,c,CHECK (jsonb_typeof(environment) = 'object'::text),True
public,ml_evidence_bundles,ml_evidence_bundles_future_benchmark_status_check,c,"CHECK (future_benchmark_status = ANY (ARRAY['NOT_EXECUTED'::text, 'REUSED_OBSERVED'::text]))",True
