schema_name,table_name,row_count,total_bytes
public,cutoff_feature_snapshots,0,16384
public,ml_evidence_bundles,3,81920
public,ml_experiment_runs,25,262144
public,ml_predictions,124051,91561984
public,ml_recommendations,1106,2490368
public,ml_run_metrics,838,450560
public,ml_run_record_splits,129739,43581440
public,ml_schema_migrations,3,32768
public,paper_evaluation_metrics,1,32768
public,paper_learning_recommendations,96,262144
public,paper_predictions,96,114688
public,paper_runs,1,32768
public,prediction_cohorts,0,24576
public,snapshot_record_index,0,16384
public,source_dataset_files,0,24576
public,source_dataset_versions,2,81920
public,source_record_targets,15773,4227072
public,source_records,15773,10682368
public,split_manifest_registry,0,24576
public,student_grades,1524,1253376
public,students,1524,1187840
public,study_extension_runs,0,16384
