schema_name,table_name,row_count,total_bytes
public,ml_experiment_runs,17,245760
public,ml_predictions,1027,393216
public,ml_recommendations,1106,2490368
public,ml_run_metrics,78,114688
public,ml_run_record_splits,6715,1761280
public,paper_evaluation_metrics,1,32768
public,paper_learning_recommendations,96,262144
public,paper_predictions,96,114688
public,paper_runs,1,32768
public,source_dataset_versions,1,81920
public,source_record_targets,395,147456
public,source_records,395,425984
public,student_grades,1524,1253376
public,students,1524,1187840
