outer_fold,augmentation,seed,macro_f1,threshold,changed_values
0,none,42,0.8263697963414534,0.5050000000000001,0
0,none,2026,0.8264584217387496,0.44000000000000006,0
0,none,3407,0.8269628479038797,0.43000000000000005,0
0,event_thinning,42,0.8264420751062773,0.48000000000000004,594271
0,event_thinning,2026,0.8267720742534842,0.49000000000000005,643051
0,event_thinning,3407,0.8239758161187931,0.45000000000000007,567320
0,short_span_masking,42,0.8263571947960533,0.4600000000000001,130851
0,short_span_masking,2026,0.8262601784900007,0.49500000000000005,129799
0,short_span_masking,3407,0.825173292355825,0.49500000000000005,130609
0,channel_dropout,42,0.8246279319656218,0.4600000000000001,284718
0,channel_dropout,2026,0.8259163350610965,0.48500000000000004,283192
0,channel_dropout,3407,0.8247125809417446,0.4750000000000001,283828
1,none,42,0.8276538440432688,0.48000000000000004,0
1,none,2026,0.8274517382059281,0.4,0
1,none,3407,0.8265972720140128,0.44500000000000006,0
1,event_thinning,42,0.8279702731375245,0.43000000000000005,595425
1,event_thinning,2026,0.8278897050435345,0.41000000000000003,643836
1,event_thinning,3407,0.8269744321121018,0.4600000000000001,567989
1,short_span_masking,42,0.8263497596662761,0.5,130281
1,short_span_masking,2026,0.8290431185332616,0.43500000000000005,129316
1,short_span_masking,3407,0.8278304238521278,0.43000000000000005,130103
1,channel_dropout,42,0.8283632997181836,0.45500000000000007,284670
1,channel_dropout,2026,0.825758489300664,0.4750000000000001,285028
1,channel_dropout,3407,0.8264434677298044,0.43500000000000005,282984
2,none,42,0.8258245382239171,0.4650000000000001,0
2,none,2026,0.8268970419007649,0.44500000000000006,0
2,none,3407,0.824607432861303,0.45500000000000007,0
2,event_thinning,42,0.8261322233586239,0.49000000000000005,592429
2,event_thinning,2026,0.8265485674160936,0.44500000000000006,640555
2,event_thinning,3407,0.8243968375624157,0.45500000000000007,565368
2,short_span_masking,42,0.8226870917286653,0.45500000000000007,129984
2,short_span_masking,2026,0.8263076198653962,0.39,129336
2,short_span_masking,3407,0.8231669021824461,0.4600000000000001,129996
2,channel_dropout,42,0.8232880632163857,0.4650000000000001,281688
2,channel_dropout,2026,0.8255455827031196,0.43500000000000005,283320
2,channel_dropout,3407,0.8230201346370587,0.43500000000000005,283152
