candidate,seed,records,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_pr_auc,nll
decision_tree,42,395,0.8936708860759494,0.8956807604495961,0.9018875313283208,0.8942076710764252,0.928643301776344,0.7794884030648683
random_forest,42,395,0.8810126582278481,0.8870002048940405,0.8893401474325119,0.8814381965877466,0.9592020400547788,0.2829819490427365
cnn_bilstm_v5,7319,395,0.8810126582278481,0.8968003600280997,0.8859665144596652,0.8806667822669211,0.94331511695562,0.30761492791557493
cnn_bilstm_v5,3407,395,0.8784810126582279,0.8958922403699802,0.8829773308551787,0.8779808005417992,0.9358216425799751,0.33665666126321614
cnn_bilstm_v5,2026,395,0.8784810126582279,0.8950642489169885,0.8829313732624992,0.8780497798789357,0.9438956665843029,0.3169491838987398
cnn_bilstm_v5,42,395,0.8784810126582279,0.8930621414354292,0.8818410574932315,0.8780308563203447,0.9451802724318847,0.3144198657473551
cnn_bilstm_v5_ensemble,-1,395,0.8759493670886076,0.8933281378058776,0.8799168720699821,0.8754390736754009,0.9447425948408409,0.31220846420804904
cnn_bilstm_v5,1201,395,0.8759493670886076,0.8888420559653437,0.8795902625692923,0.8756636457503816,0.9464377192641322,0.31747869325288397
hist_gradient_boosting,42,395,0.8734177215189873,0.8784799057487414,0.8794580140485313,0.8734836801008778,0.9187340110594815,0.5050997028712522
logistic_regression,42,395,0.8582278481012658,0.8680632390820747,0.8640761974095307,0.858143529029605,0.9485442586237101,0.3003234299547571
svm,42,395,0.8430379746835444,0.8526786236974594,0.8526786236974594,0.8430379746835444,0.9321761008974009,0.3539373951882408
