outer_fold,inner_fold,strategy,macro_f1,before,after
0,0,none,0.8504108372196314,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
0,1,none,0.791839850119696,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 69, ""1"": 102, ""2"": 40}"
0,2,none,0.876555381710021,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
0,0,class_weight,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
0,1,class_weight,0.8433852444015945,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 69, ""1"": 102, ""2"": 40}"
0,2,class_weight,0.8816738816738816,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
0,0,random_oversampling,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,1,random_oversampling,0.8433855033855034,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,2,random_oversampling,0.8932659251769465,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,0,smote,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,1,smote,0.8351601117558564,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,2,smote,0.9007720317753005,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
0,0,adasyn,0.8628900174793893,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 108, ""1"": 102, ""2"": 106}"
0,1,adasyn,0.8514265461633883,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 106, ""1"": 102, ""2"": 106}"
0,2,adasyn,0.8739316239316239,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 107, ""1"": 102, ""2"": 96}"
1,0,none,0.8965013179966451,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
1,1,none,0.8829454198992787,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 69, ""1"": 102, ""2"": 40}"
1,2,none,0.8545380545380544,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
1,0,class_weight,0.8667126754083276,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
1,1,class_weight,0.8579345262865861,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 69, ""1"": 102, ""2"": 40}"
1,2,class_weight,0.8261904761904763,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
1,0,random_oversampling,0.8630506442912796,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
1,1,random_oversampling,0.8781746031746032,"{""0"": 69, ""1"": 102, ""2"": 40}","{""0"": 102, ""1"": 102, ""2"": 102}"
1,2,random_oversampling,0.8444723125574191,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
1,0,smote,0.8584274113685879,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
