study,outer_fold,trial,state,value,parameters
student-mat_cnn_bilstm_outer_0,0,0,COMPLETE,0.8997253769966983,"{""batch_size"": 64, ""cnn_channels"": 16, ""context_hidden"": 24, ""dropout"": 0.2, ""fusion"": ""gated"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.0008, ""lstm_hidden"": 16, ""multitask_alpha"": 0.0, ""weight_decay"": 1e-05}"
student-mat_cnn_bilstm_outer_0,0,1,COMPLETE,0.8072966380775711,"{""batch_size"": 128, ""cnn_channels"": 32, ""context_hidden"": 16, ""dropout"": 0.2838242242571891, ""fusion"": ""gated"", ""fusion_hidden"": 32, ""kernel_size"": 2, ""learning_rate"": 0.0001067094412627264, ""lstm_hidden"": 32, ""multitask_alpha"": 0.05, ""weight_decay"": 4.223361259865031e-06}"
student-mat_cnn_bilstm_outer_0,0,2,COMPLETE,0.8793735350766702,"{""batch_size"": 128, ""cnn_channels"": 24, ""context_hidden"": 32, ""dropout"": 0.4837571195372994, ""fusion"": ""concatenation"", ""fusion_hidden"": 32, ""kernel_size"": 1, ""learning_rate"": 0.0013395224375526346, ""lstm_hidden"": 8, ""multitask_alpha"": 0.05, ""weight_decay"": 0.0012326070284584389}"
student-mat_cnn_bilstm_outer_0,0,3,COMPLETE,0.8992787410011424,"{""batch_size"": 32, ""cnn_channels"": 24, ""context_hidden"": 24, ""dropout"": 0.1604348539846502, ""fusion"": ""concatenation"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.0007205870188400697, ""lstm_hidden"": 16, ""multitask_alpha"": 0.0, ""weight_decay"": 0.006466783210057461}"
student-mat_cnn_bilstm_outer_0,0,4,PRUNED,0.8403874687714519,"{""batch_size"": 64, ""cnn_channels"": 24, ""context_hidden"": 24, ""dropout"": 0.4111325443011698, ""fusion"": ""gated"", ""fusion_hidden"": 48, ""kernel_size"": 1, ""learning_rate"": 0.00015404767921426153, ""lstm_hidden"": 8, ""multitask_alpha"": 0.1, ""weight_decay"": 1.3388527091408557e-07}"
student-mat_cnn_bilstm_outer_0,0,5,PRUNED,0.7711445577741953,"{""batch_size"": 128, ""cnn_channels"": 24, ""context_hidden"": 32, ""dropout"": 0.4888053648823149, ""fusion"": ""gated"", ""fusion_hidden"": 48, ""kernel_size"": 2, ""learning_rate"": 0.0003147445548034202, ""lstm_hidden"": 24, ""multitask_alpha"": 0.2, ""weight_decay"": 5.702301560628625e-07}"
student-mat_logistic_regression_outer_0,0,0,COMPLETE,0.7913769453100862,"{""C"": 0.2714777738144622}"
student-mat_logistic_regression_outer_0,0,1,COMPLETE,0.8266869972092833,"{""C"": 8.113865757844065}"
student-mat_logistic_regression_outer_0,0,2,COMPLETE,0.6992989207535979,"{""C"": 0.02567257209728723}"
student-mat_logistic_regression_outer_0,0,3,COMPLETE,0.8297497361463245,"{""C"": 20.27307713644657}"
student-mat_logistic_regression_outer_0,0,4,COMPLETE,0.8294895470097626,"{""C"": 3.753792019449332}"
student-mat_decision_tree_outer_0,0,0,COMPLETE,0.8704472384604683,"{""max_depth"": null, ""min_samples_leaf"": 9}"
student-mat_decision_tree_outer_0,0,1,COMPLETE,0.8481560618447234,"{""max_depth"": 4, ""min_samples_leaf"": 5}"
student-mat_decision_tree_outer_0,0,2,COMPLETE,0.8700677479443657,"{""max_depth"": 7, ""min_samples_leaf"": 7}"
student-mat_decision_tree_outer_0,0,3,COMPLETE,0.8827123203973085,"{""max_depth"": 7, ""min_samples_leaf"": 10}"
student-mat_decision_tree_outer_0,0,4,COMPLETE,0.8704472384604683,"{""max_depth"": 7, ""min_samples_leaf"": 8}"
student-mat_random_forest_outer_0,0,0,COMPLETE,0.8791388933152325,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""n_estimators"": 300}"
student-mat_random_forest_outer_0,0,1,COMPLETE,0.887881421665604,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""n_estimators"": 200}"
student-mat_random_forest_outer_0,0,2,COMPLETE,0.9123425310396939,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 7, ""n_estimators"": 300}"
student-mat_random_forest_outer_0,0,3,COMPLETE,0.8823365591150867,"{""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""n_estimators"": 300}"
student-mat_random_forest_outer_0,0,4,COMPLETE,0.8850657518698548,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 7, ""n_estimators"": 500}"
student-mat_svm_outer_0,0,0,COMPLETE,0.217485981817192,"{""C"": 0.2714777738144622, ""gamma"": 1.0}"
student-mat_svm_outer_0,0,1,COMPLETE,0.7921513001609236,"{""C"": 5.656629817468252, ""gamma"": 0.01}"
student-mat_svm_outer_0,0,2,COMPLETE,0.5222647519324739,"{""C"": 0.1743026740835003, ""gamma"": 0.1}"
student-mat_svm_outer_0,0,3,COMPLETE,0.7738142783043805,"{""C"": 13.871239409304073, ""gamma"": ""auto""}"
student-mat_svm_outer_0,0,4,COMPLETE,0.5688888098577002,"{""C"": 0.6148196264261375, ""gamma"": 0.01}"
student-mat_hist_gradient_boosting_outer_0,0,0,COMPLETE,0.8563237952264662,"{""l2_regularization"": 0.00032496510433470275, ""learning_rate"": 0.045652394915201115, ""max_iter"": 300, ""max_leaf_nodes"": 25}"
student-mat_hist_gradient_boosting_outer_0,0,1,COMPLETE,0.860063997600191,"{""l2_regularization"": 0.00023323204672411448, ""learning_rate"": 0.09753700935575836, ""max_iter"": 100, ""max_leaf_nodes"": 31}"
student-mat_hist_gradient_boosting_outer_0,0,2,COMPLETE,0.8602151264386363,"{""l2_regularization"": 0.00830362114750338, ""learning_rate"": 0.04086542389078109, ""max_iter"": 200, ""max_leaf_nodes"": 16}"
student-mat_hist_gradient_boosting_outer_0,0,3,COMPLETE,0.8550477506563617,"{""l2_regularization"": 0.03963208641494263, ""learning_rate"": 0.12205590987061925, ""max_iter"": 300, ""max_leaf_nodes"": 16}"
student-mat_hist_gradient_boosting_outer_0,0,4,COMPLETE,0.8629813800987568,"{""l2_regularization"": 0.04204704057658656, ""learning_rate"": 0.056003726541867874, ""max_iter"": 100, ""max_leaf_nodes"": 24}"
student-mat_cnn_bilstm_outer_1,1,0,COMPLETE,0.8733434981761786,"{""batch_size"": 64, ""cnn_channels"": 16, ""context_hidden"": 24, ""dropout"": 0.2, ""fusion"": ""gated"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.0008, ""lstm_hidden"": 16, ""multitask_alpha"": 0.0, ""weight_decay"": 1e-05}"
student-mat_cnn_bilstm_outer_1,1,1,COMPLETE,0.8599320542517598,"{""batch_size"": 64, ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.24631519006515645, ""fusion"": ""concatenation"", ""fusion_hidden"": 48, ""kernel_size"": 1, ""learning_rate"": 0.00023747166200578806, ""lstm_hidden"": 16, ""multitask_alpha"": 0.05, ""weight_decay"": 6.767221794777622e-07}"
student-mat_cnn_bilstm_outer_1,1,2,COMPLETE,0.902219138258717,"{""batch_size"": 64, ""cnn_channels"": 24, ""context_hidden"": 16, ""dropout"": 0.3537938584618416, ""fusion"": ""concatenation"", ""fusion_hidden"": 16, ""kernel_size"": 2, ""learning_rate"": 0.002287550069747853, ""lstm_hidden"": 16, ""multitask_alpha"": 0.1, ""weight_decay"": 0.0013171470523400308}"
student-mat_cnn_bilstm_outer_1,1,3,COMPLETE,0.8875030325545789,"{""batch_size"": 32, ""cnn_channels"": 24, ""context_hidden"": 16, ""dropout"": 0.41857384094885747, ""fusion"": ""gated"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.002000311526902476, ""lstm_hidden"": 8, ""multitask_alpha"": 0.2, ""weight_decay"": 2.088969122040407e-06}"
student-mat_cnn_bilstm_outer_1,1,4,PRUNED,0.6999692032454609,"{""batch_size"": 128, ""cnn_channels"": 8, ""context_hidden"": 48, ""dropout"": 0.21873980939323634, ""fusion"": ""gated"", ""fusion_hidden"": 16, ""kernel_size"": 1, ""learning_rate"": 0.000435441095544427, ""lstm_hidden"": 32, ""multitask_alpha"": 0.2, ""weight_decay"": 0.0005980066370812865}"
student-mat_cnn_bilstm_outer_1,1,5,PRUNED,0.74399863815659,"{""batch_size"": 64, ""cnn_channels"": 32, ""context_hidden"": 24, ""dropout"": 0.45085977479083633, ""fusion"": ""gated"", ""fusion_hidden"": 16, ""kernel_size"": 2, ""learning_rate"": 0.0004282180416513348, ""lstm_hidden"": 24, ""multitask_alpha"": 0.1, ""weight_decay"": 3.1248368804753036e-05}"
student-mat_logistic_regression_outer_1,1,0,COMPLETE,0.5391597397612271,"{""C"": 0.010978220580433606}"
student-mat_logistic_regression_outer_1,1,1,COMPLETE,0.8431108179049231,"{""C"": 67.38264842995957}"
student-mat_logistic_regression_outer_1,1,2,COMPLETE,0.7732370970563243,"{""C"": 0.0730943989438539}"
student-mat_logistic_regression_outer_1,1,3,COMPLETE,0.847282620248603,"{""C"": 13.791110745159036}"
student-mat_logistic_regression_outer_1,1,4,COMPLETE,0.8506312997877589,"{""C"": 12.340929798700358}"
student-mat_decision_tree_outer_1,1,0,COMPLETE,0.905146806736946,"{""max_depth"": 3, ""min_samples_leaf"": 1}"
student-mat_decision_tree_outer_1,1,1,COMPLETE,0.8301715346123301,"{""max_depth"": 5, ""min_samples_leaf"": 3}"
student-mat_decision_tree_outer_1,1,2,COMPLETE,0.8642353113727287,"{""max_depth"": null, ""min_samples_leaf"": 6}"
student-mat_decision_tree_outer_1,1,3,COMPLETE,0.8939952812033206,"{""max_depth"": 5, ""min_samples_leaf"": 10}"
student-mat_decision_tree_outer_1,1,4,COMPLETE,0.8939952812033206,"{""max_depth"": 7, ""min_samples_leaf"": 8}"
student-mat_random_forest_outer_1,1,0,COMPLETE,0.905146806736946,"{""max_depth"": 4, ""max_features"": 0.7, ""min_samples_leaf"": 7, ""n_estimators"": 300}"
student-mat_random_forest_outer_1,1,1,COMPLETE,0.8843264756168909,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}"
student-mat_random_forest_outer_1,1,2,COMPLETE,0.905146806736946,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 6, ""n_estimators"": 500}"
student-mat_random_forest_outer_1,1,3,COMPLETE,0.905146806736946,"{""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 6, ""n_estimators"": 500}"
student-mat_random_forest_outer_1,1,4,COMPLETE,0.905146806736946,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
student-mat_svm_outer_1,1,0,COMPLETE,0.217485981817192,"{""C"": 0.010978220580433606, ""gamma"": ""scale""}"
student-mat_svm_outer_1,1,1,COMPLETE,0.217485981817192,"{""C"": 0.014385847334762447, ""gamma"": 0.1}"
student-mat_svm_outer_1,1,2,COMPLETE,0.217485981817192,"{""C"": 0.1133322551840404, ""gamma"": 1.0}"
student-mat_svm_outer_1,1,3,COMPLETE,0.7760094299319084,"{""C"": 2.963430140881188, ""gamma"": ""scale""}"
student-mat_svm_outer_1,1,4,COMPLETE,0.8113277421289536,"{""C"": 6.729491395417579, ""gamma"": 0.01}"
student-mat_hist_gradient_boosting_outer_1,1,0,COMPLETE,0.8780753178807883,"{""l2_regularization"": 0.0012018634390802872, ""learning_rate"": 0.02047212779005395, ""max_iter"": 100, ""max_leaf_nodes"": 30}"
student-mat_hist_gradient_boosting_outer_1,1,1,COMPLETE,0.8727371034648247,"{""l2_regularization"": 0.0004264800403779386, ""learning_rate"": 0.02190351716644988, ""max_iter"": 200, ""max_leaf_nodes"": 27}"
student-mat_hist_gradient_boosting_outer_1,1,2,COMPLETE,0.8528127513037944,"{""l2_regularization"": 0.03269658126361185, ""learning_rate"": 0.03669597053181458, ""max_iter"": 300, ""max_leaf_nodes"": 12}"
student-mat_hist_gradient_boosting_outer_1,1,3,COMPLETE,0.8514015796067046,"{""l2_regularization"": 0.015180283754934338, ""learning_rate"": 0.08298100093928201, ""max_iter"": 100, ""max_leaf_nodes"": 31}"
student-mat_hist_gradient_boosting_outer_1,1,4,COMPLETE,0.8481166982730429,"{""l2_regularization"": 0.1467691239968504, ""learning_rate"": 0.1018651329166761, ""max_iter"": 100, ""max_leaf_nodes"": 15}"
student-mat_cnn_bilstm_outer_2,2,0,COMPLETE,0.8981690240045833,"{""batch_size"": 64, ""cnn_channels"": 16, ""context_hidden"": 24, ""dropout"": 0.2, ""fusion"": ""gated"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.0008, ""lstm_hidden"": 16, ""multitask_alpha"": 0.0, ""weight_decay"": 1e-05}"
student-mat_cnn_bilstm_outer_2,2,1,COMPLETE,0.9039419569622401,"{""batch_size"": 32, ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.29994711012840086, ""fusion"": ""gated"", ""fusion_hidden"": 48, ""kernel_size"": 2, ""learning_rate"": 0.0006149608729947195, ""lstm_hidden"": 24, ""multitask_alpha"": 0.05, ""weight_decay"": 0.00014227961831159516}"
student-mat_cnn_bilstm_outer_2,2,2,COMPLETE,0.8939290421807655,"{""batch_size"": 64, ""cnn_channels"": 8, ""context_hidden"": 24, ""dropout"": 0.13321196007640795, ""fusion"": ""gated"", ""fusion_hidden"": 24, ""kernel_size"": 1, ""learning_rate"": 0.0017012834800053495, ""lstm_hidden"": 32, ""multitask_alpha"": 0.1, ""weight_decay"": 0.0006484752876507209}"
student-mat_cnn_bilstm_outer_2,2,3,PRUNED,0.8633016930889272,"{""batch_size"": 128, ""cnn_channels"": 32, ""context_hidden"": 24, ""dropout"": 0.35169158351505486, ""fusion"": ""concatenation"", ""fusion_hidden"": 48, ""kernel_size"": 1, ""learning_rate"": 0.0005373173234670096, ""lstm_hidden"": 8, ""multitask_alpha"": 0.05, ""weight_decay"": 1.3087650978432505e-06}"
student-mat_cnn_bilstm_outer_2,2,4,COMPLETE,0.9111314619113225,"{""batch_size"": 64, ""cnn_channels"": 24, ""context_hidden"": 16, ""dropout"": 0.46879687039010387, ""fusion"": ""gated"", ""fusion_hidden"": 16, ""kernel_size"": 2, ""learning_rate"": 0.0022443298757044467, ""lstm_hidden"": 24, ""multitask_alpha"": 0.0, ""weight_decay"": 4.505313126481072e-05}"
student-mat_cnn_bilstm_outer_2,2,5,PRUNED,0.9013601678595959,"{""batch_size"": 32, ""cnn_channels"": 8, ""context_hidden"": 48, ""dropout"": 0.3699869321083509, ""fusion"": ""concatenation"", ""fusion_hidden"": 32, ""kernel_size"": 2, ""learning_rate"": 0.001150348574436546, ""lstm_hidden"": 16, ""multitask_alpha"": 0.0, ""weight_decay"": 6.632858945734754e-06}"
student-mat_logistic_regression_outer_2,2,0,COMPLETE,0.8698820939626583,"{""C"": 1.9137058029517005}"
student-mat_logistic_regression_outer_2,2,1,COMPLETE,0.8749810855649356,"{""C"": 7.780574439101991}"
student-mat_logistic_regression_outer_2,2,2,COMPLETE,0.8437742902660448,"{""C"": 0.3173525572404288}"
student-mat_logistic_regression_outer_2,2,3,COMPLETE,0.6733866747579343,"{""C"": 0.020085009223133346}"
student-mat_logistic_regression_outer_2,2,4,COMPLETE,0.8350540024151135,"{""C"": 0.1329540639911184}"
student-mat_decision_tree_outer_2,2,0,COMPLETE,0.8909655696659885,"{""max_depth"": 3, ""min_samples_leaf"": 7}"
student-mat_decision_tree_outer_2,2,1,COMPLETE,0.863035912506063,"{""max_depth"": 5, ""min_samples_leaf"": 1}"
student-mat_decision_tree_outer_2,2,2,COMPLETE,0.8897452939420213,"{""max_depth"": 7, ""min_samples_leaf"": 7}"
