candidate,seed,records,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_pr_auc,nll
random_forest,42,649,0.8967642526964561,0.8403441810633453,0.8605087126041724,0.8933220660149884,0.9250499858678677,0.32574936608517696
cnn_bilstm_v5,42,649,0.8751926040061633,0.906384211743794,0.8575527065988823,0.8785593499624522,0.90743228792571,0.3731208050004235
decision_tree,42,649,0.8859784283513097,0.8431585034758999,0.8520526142081387,0.884245998649731,0.8984207514231773,0.4405103775168259
cnn_bilstm_v5_ensemble,-1,649,0.8674884437596302,0.8981140046507664,0.8491516177055304,0.8708262193430921,0.9119710830259268,0.38228570110251353
cnn_bilstm_v5,3407,649,0.8674884437596302,0.8989028087220131,0.8488248378881688,0.8711960909549387,0.9104691572268457,0.3842714908325683
cnn_bilstm_v5,2026,649,0.8674884437596302,0.8938310383870851,0.8485336051759907,0.8704774111542225,0.9096684200190399,0.3759199433836808
cnn_bilstm_v5,1201,649,0.8674884437596302,0.8930422343158382,0.8479413287080471,0.8711516847348478,0.911389031782667,0.4043805790282813
hist_gradient_boosting,42,649,0.8782742681047766,0.8382129856215834,0.8441463432676777,0.8772986985495661,0.9173867894573386,0.3710225868459888
cnn_bilstm_v5,7319,649,0.8613251155624037,0.8966712930835069,0.8431260690759544,0.8651280720959337,0.9076096705782067,0.3955608963783658
logistic_regression,42,649,0.8705701078582434,0.8316898596247732,0.8353226817042606,0.8694923943139821,0.9220085537635209,0.3094059464850277
svm,42,649,0.8613251155624037,0.8002490960224989,0.8193401801686685,0.8584955458908455,0.897494197964404,0.3385962407764615
