outer_fold,inner_fold,strategy,macro_f1,before,after
0,0,none,0.8763602752684445,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
0,1,none,0.3264208909370199,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
0,2,none,0.8709992317078683,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
0,0,class_weight,0.8629362565611639,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
0,1,class_weight,0.8701311444734253,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
0,2,class_weight,0.8652796495956873,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
0,0,random_oversampling,0.8535040431266846,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
0,1,random_oversampling,0.8696581196581197,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
0,2,random_oversampling,0.8598649375900561,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
0,0,smote,0.8741876093160269,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
0,1,smote,0.8801054952991397,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
0,2,smote,0.8675692397277723,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
0,0,adasyn,0.8687234518220435,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 220, ""1"": 222, ""2"": 217}"
0,1,adasyn,0.8599442125343296,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 229, ""1"": 223, ""2"": 223}"
0,2,adasyn,0.8557214568528352,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 218, ""1"": 223, ""2"": 222}"
1,0,none,0.8606004123245503,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
1,1,none,0.9016273849607183,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
1,2,none,0.8524069252113992,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
1,0,class_weight,0.8470139679442005,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
1,1,class_weight,0.892271662763466,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
1,2,class_weight,0.8835512145919641,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
1,0,random_oversampling,0.8654039871623679,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
1,1,random_oversampling,0.904917741534307,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
1,2,random_oversampling,0.866788248516977,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
1,0,smote,0.8527286756453423,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
1,1,smote,0.904917741534307,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
1,2,smote,0.8772114798015967,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
1,0,adasyn,0.8626262626262626,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 226, ""1"": 222, ""2"": 223}"
1,1,adasyn,0.8878512705452937,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 218}"
1,2,adasyn,0.8688107869142353,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 231, ""1"": 223, ""2"": 228}"
2,0,none,0.8519981966543689,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
2,1,none,0.28529362274945314,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
2,2,none,0.8661445279866332,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
2,0,class_weight,0.848083943329487,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 54, ""1"": 222, ""2"": 70}"
2,1,class_weight,0.5959567488470557,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
2,2,class_weight,0.8862514029180696,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
2,0,random_oversampling,0.8322213985668396,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
2,1,random_oversampling,0.8962077138547727,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
2,2,random_oversampling,0.8857965806130491,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
2,0,smote,0.8377045417281521,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 222, ""1"": 222, ""2"": 222}"
2,1,smote,0.8943722943722944,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
2,2,smote,0.8821948358418871,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
2,0,adasyn,0.8355055292259084,"{""0"": 54, ""1"": 222, ""2"": 70}","{""0"": 221, ""1"": 222, ""2"": 220}"
2,1,adasyn,0.8824424734399509,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 227}"
2,2,adasyn,0.8708508360102134,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 219, ""1"": 223, ""2"": 223}"
3,0,none,0.35185185185185186,"{""0"": 54, ""1"": 223, ""2"": 69}","{""0"": 54, ""1"": 223, ""2"": 69}"
3,1,none,0.8799266431463416,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
3,2,none,0.8857702774847976,"{""0"": 53, ""1"": 224, ""2"": 69}","{""0"": 53, ""1"": 224, ""2"": 69}"
3,0,class_weight,0.8894924752564739,"{""0"": 54, ""1"": 223, ""2"": 69}","{""0"": 54, ""1"": 223, ""2"": 69}"
3,1,class_weight,0.8674324895923773,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
3,2,class_weight,0.890871285447827,"{""0"": 53, ""1"": 224, ""2"": 69}","{""0"": 53, ""1"": 224, ""2"": 69}"
3,0,random_oversampling,0.8911816578483246,"{""0"": 54, ""1"": 223, ""2"": 69}","{""0"": 223, ""1"": 223, ""2"": 223}"
3,1,random_oversampling,0.8583412163707219,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
3,2,random_oversampling,0.8854903145816762,"{""0"": 53, ""1"": 224, ""2"": 69}","{""0"": 224, ""1"": 224, ""2"": 224}"
3,0,smote,0.8959659422528925,"{""0"": 54, ""1"": 223, ""2"": 69}","{""0"": 223, ""1"": 223, ""2"": 223}"
3,1,smote,0.8674324895923773,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
3,2,smote,0.8837187404195682,"{""0"": 53, ""1"": 224, ""2"": 69}","{""0"": 224, ""1"": 224, ""2"": 224}"
3,0,adasyn,0.8915973345829319,"{""0"": 54, ""1"": 223, ""2"": 69}","{""0"": 224, ""1"": 223, ""2"": 222}"
3,1,adasyn,0.861199294532628,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 225, ""1"": 223, ""2"": 218}"
3,2,adasyn,0.8569994819994821,"{""0"": 53, ""1"": 224, ""2"": 69}","{""0"": 223, ""1"": 224, ""2"": 217}"
4,0,none,0.9043209876543209,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
4,1,none,0.8834808146587498,"{""0"": 54, ""1"": 223, ""2"": 70}","{""0"": 54, ""1"": 223, ""2"": 70}"
4,2,none,0.8737295211770464,"{""0"": 53, ""1"": 224, ""2"": 70}","{""0"": 53, ""1"": 224, ""2"": 70}"
4,0,class_weight,0.8998062448766673,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 53, ""1"": 223, ""2"": 70}"
4,1,class_weight,0.9002164502164502,"{""0"": 54, ""1"": 223, ""2"": 70}","{""0"": 54, ""1"": 223, ""2"": 70}"
4,2,class_weight,0.7334443334443335,"{""0"": 53, ""1"": 224, ""2"": 70}","{""0"": 53, ""1"": 224, ""2"": 70}"
4,0,random_oversampling,0.8882692079022916,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
4,1,random_oversampling,0.9001812797488834,"{""0"": 54, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
4,2,random_oversampling,0.8817810655671435,"{""0"": 53, ""1"": 224, ""2"": 70}","{""0"": 224, ""1"": 224, ""2"": 224}"
4,0,smote,0.893824248777079,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
4,1,smote,0.9002164502164502,"{""0"": 54, ""1"": 223, ""2"": 70}","{""0"": 223, ""1"": 223, ""2"": 223}"
4,2,smote,0.8875220319067202,"{""0"": 53, ""1"": 224, ""2"": 70}","{""0"": 224, ""1"": 224, ""2"": 224}"
4,0,adasyn,0.8822029822029821,"{""0"": 53, ""1"": 223, ""2"": 70}","{""0"": 219, ""1"": 223, ""2"": 219}"
4,1,adasyn,0.906375593715747,"{""0"": 54, ""1"": 223, ""2"": 70}","{""0"": 227, ""1"": 223, ""2"": 227}"
4,2,adasyn,0.8664995822890561,"{""0"": 53, ""1"": 224, ""2"": 70}","{""0"": 219, ""1"": 224, ""2"": 230}"
