candidate,phase,seeds,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,at_risk_precision_mean,at_risk_precision_sd,at_risk_recall_mean,at_risk_recall_sd,at_risk_f1_mean,at_risk_f1_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,brier_mean,brier_sd,ece_mean,ece_sd,recall_at_10_percent_mean,recall_at_10_percent_sd,parameter_count,runtime_seconds_total,selected_epoch_mean
A4_serial_current_full,A,3,0.8282140839413623,0.0008708313837225051,0.8219849914315965,0.0015782769945368537,0.8404981381428679,0.015170516751408096,0.7375609756097562,0.015036474920304674,0.7853856431757023,0.002213651229664227,0.8893644995664337,0.0006681780635199191,0.9032968285025493,0.0008864123982301993,0.11748742506699028,0.0006814624137035555,0.02723850774774675,0.0030149841063595814,0.24902439024390244,0.000199145507543348,99443,2793.5398971000395,10.666666666666666
E_parallel_concat,E,3,0.8276963493933294,0.001093909122869992,0.8224372156517928,0.0007303587680057028,0.8305979795830667,0.005767694236744483,0.746260162601626,0.004082887651866579,0.7861443421599619,0.0008902187353581461,0.8873911437972367,0.000465521087206558,0.9007691297195531,0.0018496438043041153,0.1185185275775807,0.000233232545499718,0.02514425146902445,0.0018435145461866476,0.2491869918699187,0.00022995342477611326,108947,2523.9663830999634,7.888888888888889
D_serial_with_cnn_skip,D,3,0.8268987894395008,0.0013280864571711467,0.8212704605285741,0.0013020390708529596,0.8327776414442045,0.002448072100080707,0.7417073170731707,0.0022442558929824837,0.7846051716491669,0.0016543979849133253,0.889000410317098,0.001316454228421375,0.9030687096169435,0.001122786180229349,0.11800158879833218,0.001639949614328343,0.023950942314322567,0.012370500886537095,0.24926829268292683,0.0,108947,2364.350734000036,8.666666666666666
A2_bilstm_current_temporal,A,3,0.8248465210207865,0.0006830979215850142,0.819620019698086,0.0018009584069773547,0.827516936218494,0.010727291497626712,0.7425203252032521,0.01304415742636697,0.7825363631928551,0.0025225548138378805,0.8855127156830364,0.0027025314449972185,0.8992346725919355,0.003118069512003044,0.11898704781318081,0.0015110053313907336,0.023648415532496584,0.0060141549874463095,0.24788617886178863,0.0008979968306656318,80689,253.32312939999974,6.333333333333333
A0_aggregate_static_only,A,3,0.824695509792889,0.0014844947033658162,0.8184634700845222,0.0006941441106706409,0.8359102992079576,0.009602520944908486,0.7328455284552845,0.006605909940088421,0.780910882291454,0.0007598855056964127,0.8859997262747973,0.0008131600214082399,0.9015857553265366,0.000963099860748483,0.11848557759179419,0.0006640281788049204,0.019005406883641413,0.0028940354394471008,0.24910569105691058,0.0006083995750851943,22849,161.7275470000459,11.555555555555555
A3_serial_current_temporal,A,3,0.8244563550850647,0.0009277011211078179,0.818314981899413,0.0007532842920383456,0.8346283386770484,0.004632033737096555,0.7334146341463414,0.0035846191357802636,0.780734883038355,0.0009585187042881088,0.8847302228399837,0.0018961546293352217,0.897988907284331,0.002765724442777254,0.12015524421494729,0.0012702844881208246,0.02957745712836853,0.00520368012141425,0.2488617886178862,0.00041455443199941376,88945,2677.3773383000516,11.11111111111111
B2_cnn_matched_temporal,B,3,0.8224864584759448,0.001589680485397757,0.8165550133741025,0.0024978168949973626,0.831836485852325,0.018075243259523133,0.7322764227642277,0.01919697962450558,0.7784448262808956,0.0036258223271771793,0.8836960959497991,0.0010913319920881407,0.899139931664013,0.0007412743708015644,0.12019916141805354,0.0007906978948700862,0.023128104220939947,0.007180338302252209,0.2486178861788618,0.0003041997875425971,76561,227.10263150004903,6.444444444444445
C1_cnn_d1_temporal,C,3,0.821892554847275,0.002230911417725805,0.8153055843809494,0.0017906272530595088,0.8360228203919977,0.008823875525213376,0.7254471544715447,0.005322564976693634,0.7767639376202279,0.0022396021421833296,0.8837167238364003,0.0010242693311250108,0.897952574085663,0.0013695524463409297,0.12046239073276288,0.0004808362806477763,0.026673073351931934,0.004482246845004191,0.24910569105691058,0.00041455443199941376,22897,232.71337189999758,7.444444444444445
C3_cnn_multidilation_temporal,C,3,0.8214557932587786,0.0012607982798159341,0.8165059529939244,0.0015479639444645795,0.8230879278090844,0.025289238816436337,0.7400813008130082,0.024508116259214778,0.7785907862643416,0.00256774600512551,0.8818238065927146,0.002474920387056978,0.8971408663989205,0.001631912436624319,0.12059425688813034,0.0013422993502364194,0.015867863271480823,0.007218905652354322,0.2488617886178862,0.0009411249514463606,29905,1288.1702104000142,7.0
A1_cnn_small_temporal,A,3,0.8207804148794434,0.002151225526731585,0.8143991687724608,0.0025993288390429043,0.8327797718055215,0.0017529787534715493,0.7258536585365855,0.00742201173400144,0.7756197545916916,0.0034574875998847807,0.8844824877432287,0.001783176313693903,0.8978665929968815,0.0016689124508437352,0.11969855796622952,0.0010949761257580517,0.015101137692755779,0.000934364648140571,0.24943089430894308,0.00022995342477611326,22897,1942.5703763000201,7.333333333333333
C2_cnn_d2_temporal,C,3,0.8207804148794434,0.002151225526731585,0.8143991687724608,0.0025993288390429043,0.8327797718055215,0.0017529787534715493,0.7258536585365855,0.00742201173400144,0.7756197545916916,0.0034574875998847807,0.8844824877432287,0.001783176313693903,0.8978665929968815,0.0016689124508437352,0.11969855796622952,0.0010949761257580517,0.015101137692755779,0.000934364648140571,0.24943089430894308,0.00022995342477611326,22897,1942.5703763000201,7.333333333333333
