student_index,rank,item_id,intervention_name,score,explanation
0,1,study_group,Facilitated Study Group,0.8758,"Risk Match (30%): 1.00, Performance Need (20%): 0.50, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
0,2,counselor_meeting,Academic Counselor Consultation,0.8105,"Risk Match (30%): 1.00, Performance Need (20%): 0.50, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.85"
0,3,stress_management,Stress & Lifestyle Management Workshop,0.7955,"Risk Match (30%): 1.00, Performance Need (20%): 0.50, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
0,4,time_planning,Time Management Workshop,0.7955,"Risk Match (30%): 1.00, Performance Need (20%): 0.50, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
0,5,peer_tutoring,Peer-Led Study Tutoring,0.588,"Risk Match (30%): 0.02, Performance Need (20%): 0.50, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
1,1,remedial_class,Remedial Topic Bootcamps,0.7871,"Risk Match (30%): 0.86, Performance Need (20%): 0.17, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
1,2,extra_exercises,Targeted Practice Exercises,0.7071,"Risk Match (30%): 0.86, Performance Need (20%): 0.17, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
1,3,peer_tutoring,Peer-Led Study Tutoring,0.6971,"Risk Match (30%): 0.86, Performance Need (20%): 0.17, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
1,4,time_planning,Time Management Workshop,0.6799,"Risk Match (30%): 1.00, Performance Need (20%): 0.30, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
1,5,stress_management,Stress & Lifestyle Management Workshop,0.6799,"Risk Match (30%): 1.00, Performance Need (20%): 0.30, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
2,1,extra_exercises,Targeted Practice Exercises,0.6031,"Risk Match (30%): 0.02, Performance Need (20%): 0.54, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
2,2,peer_tutoring,Peer-Led Study Tutoring,0.5931,"Risk Match (30%): 0.02, Performance Need (20%): 0.54, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
2,3,study_group,Facilitated Study Group,0.5825,"Risk Match (30%): 0.00, Performance Need (20%): 0.54, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.75"
2,4,remedial_class,Remedial Topic Bootcamps,0.5331,"Risk Match (30%): 0.02, Performance Need (20%): 0.54, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.95"
2,5,attendance_monitoring,Daily Attendance Monitoring,0.5195,"Risk Match (30%): 0.00, Performance Need (20%): 0.52, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
3,1,time_planning,Time Management Workshop,0.9249,"Risk Match (30%): 1.00, Performance Need (20%): 0.78, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
3,2,stress_management,Stress & Lifestyle Management Workshop,0.9249,"Risk Match (30%): 1.00, Performance Need (20%): 0.78, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.70"
3,3,peer_tutoring,Peer-Led Study Tutoring,0.8968,"Risk Match (30%): 1.00, Performance Need (20%): 0.96, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
3,4,extra_exercises,Targeted Practice Exercises,0.8068,"Risk Match (30%): 1.00, Performance Need (20%): 0.96, Difficulty Fit (15%): 0.50, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.90"
3,5,remedial_class,Remedial Topic Bootcamps,0.7368,"Risk Match (30%): 1.00, Performance Need (20%): 0.96, Difficulty Fit (15%): 0.00, Time Fit (15%): 1.00, Prereq Fit (10%): 0.00, Expected Effect (10%): 0.95"
4,1,extra_exercises,Targeted Practice Exercises,0.9186,"Risk Match (30%): 0.99, Performance Need (20%): 0.66, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.90"
4,2,peer_tutoring,Peer-Led Study Tutoring,0.9086,"Risk Match (30%): 0.99, Performance Need (20%): 0.66, Difficulty Fit (15%): 1.00, Time Fit (15%): 1.00, Prereq Fit (10%): 1.00, Expected Effect (10%): 0.80"
