risk_code,item_id
R3_ATTENDANCE_RISK,attendance_monitoring
R3_ATTENDANCE_RISK,absence_recovery_pack
R6_HIGH_FAILURE_PROBABILITY,absence_recovery_pack
R5_INSUFFICIENT_STUDY_TIME,time_planning
R3_ATTENDANCE_RISK,counselor_meeting
R4_LOW_ENGAGEMENT,lms_onboarding
R4_LOW_ENGAGEMENT,resource_checklist
R6_HIGH_FAILURE_PROBABILITY,parent_sync
R6_HIGH_FAILURE_PROBABILITY,parent_progress_contract
R1_LOW_PRIOR_PERFORMANCE,peer_tutoring
R1_LOW_PRIOR_PERFORMANCE,extra_exercises
R2_DECLINING_TREND,extra_exercises
R4_LOW_ENGAGEMENT,study_group
R5_INSUFFICIENT_STUDY_TIME,study_group
R4_LOW_ENGAGEMENT,discussion_prompting
R4_LOW_ENGAGEMENT,interactive_quiz
R2_DECLINING_TREND,academic_coaching
R1_LOW_PRIOR_PERFORMANCE,remedial_class
R6_HIGH_FAILURE_PROBABILITY,remedial_class
