dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,status,target_macro_f1,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,early,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.6507936507936508,0.6679169187336157,0.6507936507936508,0.6470370370370371,0.6190476190476191,0.65,5.718946511932876,-0.31433388008018914,0.40134763717651367,12.130047685793045,-4.912874346190031
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683,1.0,1.0,2.715329790838651,0.7037087661745947,0.7423104047775269,12.18865001197123,-4.970144559815735
student-mat,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9523809523809523,0.953030303030303,0.9523809523809522,0.9523539421440725,1.0,1.0,2.81788505629243,0.6809048660470203,0.642510175704956,12.165457374043006,-4.947446120445495
student-mat,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,fail,0.95,0.9365079365079365,0.937950937950938,0.9365079365079364,0.9368680729996668,0.9523809523809523,0.975609756097561,2.7781745748339803,0.6898350646983781,0.6395633816719055,12.165463846421478,-4.947452448877102
student-mat,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,fail,0.95,0.6666666666666666,0.4445564516129032,0.6666666666666666,0.5333817126269956,1.0,0.7924528301886793,4.138476063357637,0.31173683251321327,0.5725966691970825,12.08738900159415,-4.871358942796966
student-mat,midterm,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.6507936507936508,0.6679169187336157,0.6507936507936508,0.6470370370370371,0.6190476190476191,0.65,5.718946511932876,-0.31433388008018914,0.40134763717651367,12.130047685793045,-4.912874346190031
student-mat,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683,1.0,1.0,2.715329790838651,0.7037087661745947,0.7423104047775269,12.18865001197123,-4.970144559815735
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9523809523809523,0.953030303030303,0.9523809523809522,0.9523539421440725,1.0,1.0,2.81788505629243,0.6809048660470203,0.642510175704956,12.165457374043006,-4.947446120445495
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,fail,0.95,0.9365079365079365,0.937950937950938,0.9365079365079364,0.9368680729996668,0.9523809523809523,0.975609756097561,2.7781745748339803,0.6898350646983781,0.6395633816719055,12.165463846421478,-4.947452448877102
student-mat,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,fail,0.95,0.746031746031746,0.8558558558558559,0.746031746031746,0.7504702194357368,0.5714285714285714,0.7272727272727273,3.8031941462783245,0.41873974849644635,0.7035309672355652,12.649948051832565,-5.430594395835753
student-mat,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,fail,0.95,0.7619047619047619,0.7728571428571428,0.7619047619047619,0.734894238200189,1.0,0.9130434782608695,3.308838572431828,0.5600282485875707,0.5941885113716125,12.076314795854934,-4.860605445637495
student-mat,late,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.7619047619047619,0.7638888888888888,0.7619047619047619,0.76011396011396,0.7142857142857143,0.7692307692307693,3.971625551812447,0.36611536358665964,0.430879682302475,12.17688029544948,-4.958620234627323
student-mat,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.6740967915903213,0.7126389648259523,0.751284122467041,12.191441968736541,-4.972879939783867
student-mat,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.6740967915903213,0.7126389648259523,0.658279299736023,12.186182047232572,-4.967727128097084
student-mat,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.6740967915903213,0.7126389648259523,0.6542829275131226,12.187111975763937,-4.968637958322002
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,fail,0.95,0.8412698412698413,0.8553127917833799,0.8412698412698413,0.8431586211906578,0.7619047619047619,0.8421052631578947,3.272055807340273,0.5697557864042283,0.7837246656417847,12.35057724778902,-5.129825991793262
student-por,early,context_mlp_only,default,0.15,0.0001,True,fail,0.95,0.746031746031746,0.7456709956709956,0.746031746031746,0.7455635685924965,0.8095238095238095,0.7906976744186046,4.367538989568018,-0.43011428031734056,0.45919153094291687,12.748581622642854,-11.184869989076006
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,pass,0.95,0.9841269841269841,0.9848484848484849,0.9841269841269842,0.9841179807146908,1.0,1.0,2.7087453898994616,0.4499102757839063,0.8252248167991638,12.754447502037458,-11.19608557735869
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,pass,0.95,0.9523809523809523,0.9538239538239539,0.9523809523809522,0.9527410888726827,0.9523809523809523,0.975609756097561,2.7645717829090897,0.4270022667170381,0.7382093071937561,12.748834679375111,-11.18535372822076
