dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,early,context_mlp_only,default,0.15,0.0001,True,argmax,,0.4059967246957825,0.5284810126582279,0.49937584643467,0.421589904348525,0.4059967246957825,0.4230769230769231,0.4656084656084656,5.085892003213835,-0.2397386613497856,0.5339126275687278
student-mat,early,context_mlp_only,default,0.15,0.0001,True,low_threshold_tuned,0.05,0.7077777777777778,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.453017399310857,-1.662319342122378,0.5339126275687278
student-mat,early,context_mlp_only,default,0.15,0.0001,True,low_f1_tuned,0.35,0.5271582800292242,0.5,0.4837072291783222,0.42650452995280586,0.4093088358084333,0.6153846153846154,0.5267489711934157,5.485668900976365,-0.4422981942731854,0.5339126275687278
student-mat,early,context_mlp_only,default,0.15,0.0001,True,low_recall_priority,0.05,0.8990476190476191,0.3291139240506329,0.10970464135021096,0.3333333333333333,0.16507936507936508,1.0,0.49523809523809526,7.453017399310857,-1.662319342122378,0.5339126275687278
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,argmax,,0.4438098398231265,0.4873417721518987,0.4572866984631691,0.43944561185940495,0.4438098398231265,0.38461538461538464,0.43478260869565216,5.377299331566528,-0.38587577102533466,0.6235234689297555
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_threshold_tuned,0.05,0.7203087751127975,0.3639240506329114,0.4553825451749327,0.37193410038237623,0.25445364317942126,0.9711538461538461,0.5139949109414759,7.136552371196855,-1.4410281713734148,0.6235234689297555
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_f1_tuned,0.175,0.5186630332049527,0.4240506329113924,0.4280833266024227,0.4249514852963128,0.39060795578330043,0.75,0.5182724252491694,6.3657633507675015,-0.9422129981036051,0.6235234689297555
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_recall_priority,0.05,0.8797220591113721,0.3639240506329114,0.4553825451749327,0.37193410038237623,0.25445364317942126,0.9711538461538461,0.5139949109414759,7.136552371196855,-1.4410281713734148,0.6235234689297555
student-mat,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,argmax,,0.4700142354888657,0.5158227848101266,0.4882877127459171,0.46459000769345593,0.4700142354888657,0.40384615384615385,0.4666666666666667,5.245326430937221,-0.3186845519425445,0.5856239877735512
student-mat,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_threshold_tuned,0.075,0.7137992096178305,0.3575949367088608,0.41716360083552323,0.360439847508813,0.23585488462237295,0.9711538461538461,0.5113924050632911,7.169732442088703,-1.463779148489484,0.5856239877735512
