dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,early,none,logistic_regression,1,0.65,0.5642701525054467,0.40335837758445375,0.4035693080224609,0.125,0.20408163265306123,3.771604433129222,-0.03810511082784962,0.680126885725983
student-por,early,none,random_forest,1,0.6076923076923076,0.46322767079169697,0.3940769404587052,0.39761275620711595,0.175,0.2413793103448276,3.9831375340784576,-0.1578162990847316,0.6435897435897435
student-por,early,none,xgboost,1,0.65,0.5490956072351422,0.35000000000000003,0.29370681605975724,0.05,0.09523809523809523,3.650737544029236,0.027364138084032374,0.6522581384732173
student-por,early,none,mlp,1,0.6461538461538462,0.5482625482625483,0.33962264150943394,0.27369153190749435,0.0,0.0,3.6862530486201757,0.008347882505125637,0.47477151101404474
student-por,early,none,logistic_regression,2,0.6447876447876448,0.4682539682539683,0.4391447873483802,0.42345903878792895,0.4,0.47058823529411764,3.6539501024714816,0.02118990919234831,0.6742448271573416
student-por,early,none,random_forest,2,0.5366795366795367,0.39712760357921656,0.3819015814524797,0.3841175097383129,0.325,0.36619718309859156,4.156099857217825,-0.2663249403559085,0.6913770913770914
student-por,early,none,xgboost,2,0.6332046332046332,0.3825136612021858,0.3653692614770459,0.33320855948593175,0.15,0.23076923076923078,3.7404963228578025,-0.025726739897116158,0.6546901325231353
student-por,early,none,mlp,2,0.6216216216216216,0.38065843621399176,0.35304391217564873,0.3203252032520325,0.125,0.2,3.7870435489572656,-0.051414136004922506,0.48729790328044303
student-por,early,class_weight,logistic_regression,1,0.47307692307692306,0.4827043476237025,0.5456210221067299,0.475438596491228,0.625,0.5263157894736842,4.6980969960842,-0.6107680694236373,0.6050007550294293
student-por,early,class_weight,random_forest,1,0.6538461538461539,0.5482654600301659,0.40331036041125295,0.4011501857600896,0.1,0.16326530612244897,3.8295410450058656,-0.07024328446305006,0.6564102564102564
student-por,early,class_weight,xgboost,1,0.5,0.5203052025632671,0.596188754566339,0.49973446007948613,0.6,0.5052631578947369,4.670591298424974,-0.5919623258991096,0.45855569747778085
student-por,early,class_weight,mlp,1,0.29615384615384616,0.280791129757267,0.3597710239897563,0.21064343100742508,0.0,0.0,5.942513065905833,-1.5770885697082337,0.43801937423207016
