dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,none,logistic_regression,1,0.7461538461538462,0.7520276347914162,0.5667231574586675,0.5994876583111877,0.2,0.3137254901960784,3.1941954566658275,0.25541886366132804,0.7067861273750865
student-por,midterm,none,random_forest,1,0.8076923076923077,0.8099508599508599,0.7072148156517155,0.7341329966329967,0.425,0.5666666666666667,2.7735009811261455,0.4386345216558877,0.7230769230769231
student-por,midterm,none,xgboost,1,0.7884615384615384,0.7668621700879766,0.7058213761156932,0.7177515446170454,0.425,0.5483870967741935,2.9014253791488813,0.3856556546371621,0.723049140893496
student-por,midterm,none,mlp,1,0.6230769230769231,0.4544039984911354,0.35933322035174936,0.33476307189542487,0.125,0.20833333333333334,3.868760485259806,-0.09227687948805641,0.5138836527166158
student-por,midterm,none,logistic_regression,2,0.7181467181467182,0.74536971692935,0.536377245508982,0.5712002756778877,0.425,0.5151515151515151,3.2928200820366866,0.20510600419011338,0.6923470524487186
student-por,midterm,none,random_forest,2,0.7683397683397684,0.7475376475376475,0.6417818209734377,0.6795998660639544,0.425,0.5,3.077192221670913,0.3058034274997785,0.7437580437580439
student-por,midterm,none,xgboost,2,0.7760617760617761,0.7934866491742553,0.6115960386918471,0.6617392758918834,0.325,0.4406779661016949,3.027065809183443,0.3282356714837307,0.7424562635569039
student-por,midterm,none,mlp,2,0.640926640926641,0.3259548611111111,0.3357515737755259,0.2721684934450892,0.0,0.0,3.709140332708107,-0.008601809158578666,0.5328565187614569
student-por,midterm,class_weight,logistic_regression,1,0.6923076923076923,0.6596409181314842,0.7575236319813204,0.6807730610547512,0.775,0.6666666666666666,3.3975387018795282,0.15760092905986645,0.6416045031448205
student-por,midterm,class_weight,random_forest,1,0.7807692307692308,0.83712715855573,0.6443829322487101,0.6761077306531852,0.3,0.46153846153846156,2.941251695870576,0.3686743489172527,0.7176923076923077
student-por,midterm,class_weight,xgboost,1,0.7961538461538461,0.7455923330669781,0.8388091741046209,0.7776285431664415,0.9,0.7346938775510204,2.835726741744725,0.4131625630760236,0.6609528368482223
student-por,midterm,class_weight,mlp,1,0.3076923076923077,0.3893622163811596,0.5156055812902497,0.323174733388023,0.625,0.4716981132075472,5.545788422827654,-1.2444795237893471,0.42124250423047843
student-por,midterm,class_weight,logistic_regression,2,0.6447876447876448,0.6140446521287642,0.726508521418701,0.6323058531087729,0.75,0.5357142857142857,3.809153778682676,-0.06372710273428428,0.6071577937271889
student-por,midterm,class_weight,random_forest,2,0.7953667953667953,0.7969387755102041,0.6747658529095655,0.7182911542122312,0.5,0.5882352941176471,2.8665626571176612,0.3975845645571473,0.7585585585585586
student-por,midterm,class_weight,xgboost,2,0.806949806949807,0.7541752869999935,0.8166781820973438,0.7787532755685622,0.775,0.6666666666666666,2.8432335173138408,0.40735002092871,0.6315312456900549
student-por,midterm,class_weight,mlp,2,0.44787644787644787,0.47836607836607836,0.5817058191309689,0.45175965600368784,0.65,0.4444444444444444,4.930109994308905,-0.7819127311037795,0.5085476164554431
student-por,midterm,smotenc,logistic_regression,1,0.6961538461538461,0.6519343229869546,0.7294665386208715,0.6766180118050693,0.775,0.6739130434782609,3.3696895542924565,0.1713543832792972,0.7107143587319358
student-por,midterm,smotenc,random_forest,1,0.8038461538461539,0.7748366013071896,0.7475360599555606,0.7556231641576039,0.575,0.6571428571428571,2.768469446629866,0.4406694715148851,0.7135897435897436
