Feature,Importance
reason,0.020102365766322294
Fjob,0.008578218973583684
studytime,0.0
failures,0.0
Medu,0.0
Fedu,0.0
absence_study_ratio,0.0
Dalc,0.0
Walc,0.0
grade_growth,0.0
grade_avg,0.0
failure_risk,0.0
famrel,0.0
goout,0.0
higher,0.0
activities,0.0
schoolsup,0.0
social_risk,0.0
Mjob,0.0
famsize,0.0
school,0.0
address,0.0
internet,0.0
famsup,0.0
traveltime,-0.007632972697730778
freetime,-0.007632972697730778
absences,-0.007632972697730778
alcohol_risk,-0.007632972697730778
sex,-0.007632972697730778
guardian,-0.007632972697730778
