Feature,Importance
reason,0.005702138130004419
failures,0.0
goout,0.0
guardian,0.0
Medu,0.0
schoolsup,0.0
Mjob,-0.00021433851943009063
address,-0.003830713806369457
alcohol_risk,-0.0041619212530511485
freetime,-0.00730791716668211
famrel,-0.00730791716668211
absences,-0.00730791716668211
Walc,-0.00730791716668211
grade_growth,-0.011351164957443594
Dalc,-0.011351164957443594
studytime,-0.011351164957443594
Fedu,-0.011351164957443594
failure_risk,-0.011351164957443594
social_risk,-0.011351164957443594
higher,-0.014804067088051598
grade_avg,-0.014804067088051598
traveltime,-0.01876625789669273
school,-0.01876625789669273
internet,-0.019790360610304036
absence_study_ratio,-0.02232731037078861
