Feature,Importance
StudentAbsenceDays,0.21048409900833565
ParentschoolSatisfaction,0.08119399825904305
GradeID,0.04363274222890923
VisITedResources,0.020797908830695655
Topic,0.020158567604801836
gender,0.020158567604801836
Discussion,0.01092980198243343
Relation,0.009116038520201375
ParentAnsweringSurvey,0.00896653033265049
Semester,0.0007963898818081905
parent_support_signal,0.0
engagement_score,-0.008942714013375541
absence_risk,-0.009896443897555396
raisedhands,-0.01015927022422547
AnnouncementsView,-0.010634996229826998
PlaceofBirth,-0.010810322777536019
NationalITy,-0.029519249550978843
