dataset,scenario,model,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,recall_low,f1_low,brier,nll
student-mat,late,LogisticRegression_balanced,0,0.875,0.8883768561187916,0.8868168868168868,0.8883768561187916,0.8851709401709401,0.7619047619047619,0.8205128205128205,0.16314516378640675,0.2811768605781467
student-mat,late,LogisticRegression_balanced,1,0.8253968253968254,0.8515873015873016,0.8191269841269841,0.8515873015873016,0.8301994301994302,0.9047619047619048,0.8444444444444444,0.23572635462713645,0.3628921781304804
student-mat,late,LogisticRegression_balanced,2,0.8095238095238095,0.8462970721035238,0.8076716627441264,0.8462970721035238,0.8148148148148149,0.9523809523809523,0.8333333333333334,0.2302238308512338,0.3652856333666808
student-mat,late,LogisticRegression_balanced,3,0.873015873015873,0.8944281524926686,0.8564102564102564,0.8944281524926686,0.8678398895790199,1.0,0.9130434782608695,0.18507052499310933,0.30920163655750216
student-mat,late,LogisticRegression_balanced,4,0.8571428571428571,0.8913978494623657,0.8470862470862471,0.8913978494623657,0.8627123363965469,0.9,0.8571428571428571,0.20870225358850417,0.341902094721868
student-mat,late,RandomForest_balanced,0,0.921875,0.9087301587301587,0.9537037037037037,0.9087301587301587,0.9255439051880187,0.8095238095238095,0.8947368421052632,0.1493257987246708,0.3012768389308399
student-mat,late,RandomForest_balanced,1,0.8571428571428571,0.8738095238095238,0.8657407407407406,0.8738095238095238,0.8677387914230019,0.9047619047619048,0.8444444444444444,0.1726584021654386,0.246633230626581
student-mat,late,RandomForest_balanced,2,0.8412698412698413,0.8873527905785971,0.8478054420083406,0.8873527905785971,0.8549382716049383,0.9523809523809523,0.8333333333333334,0.2523786920790303,0.8023539569185739
student-mat,late,RandomForest_balanced,3,0.8571428571428571,0.8590047944886655,0.8873626373626374,0.8590047944886655,0.866173818968626,0.9523809523809523,0.851063829787234,0.23413645126075766,0.3441600910689399
student-mat,late,RandomForest_balanced,4,0.8888888888888888,0.9129032258064517,0.8809523809523809,0.9129032258064517,0.8941605452560393,0.9,0.8780487804878049,0.1830053153549822,0.35467477763795113
student-mat,late,ExtraTrees_balanced,0,0.90625,0.8979774705581157,0.9338624338624338,0.8979774705581157,0.9124691733387387,0.8095238095238095,0.8717948717948718,0.16753867833898844,1.412199668608626
student-mat,late,ExtraTrees_balanced,1,0.8888888888888888,0.896031746031746,0.8922849181469871,0.896031746031746,0.8939145097008715,0.9047619047619048,0.8837209302325582,0.1697621762741006,0.24043353426495698
student-mat,late,ExtraTrees_balanced,2,0.8412698412698413,0.8873527905785971,0.8478054420083406,0.8873527905785971,0.8549382716049383,0.9523809523809523,0.8333333333333334,0.26867669937016997,1.9630579503113181
student-mat,late,ExtraTrees_balanced,3,0.8412698412698413,0.828701764185635,0.8770999115826702,0.828701764185635,0.842167475426154,0.9523809523809523,0.851063829787234,0.25904027642768673,0.6347244299978675
student-mat,late,ExtraTrees_balanced,4,0.8888888888888888,0.9129032258064517,0.8809523809523809,0.9129032258064517,0.8941605452560393,0.9,0.8780487804878049,0.18157524424164506,1.0559630299579446
student-mat,late,HistGradientBoosting,0,0.90625,0.8979774705581157,0.9338624338624338,0.8979774705581157,0.9124691733387387,0.8095238095238095,0.8717948717948718,0.17603026764281915,0.3825858220531875
student-mat,late,HistGradientBoosting,1,0.8888888888888888,0.8793650793650793,0.9115347018572825,0.8793650793650793,0.8926859136542705,0.9047619047619048,0.8837209302325582,0.1686485121111811,0.24401950737476877
student-mat,late,HistGradientBoosting,2,0.873015873015873,0.8893078247916958,0.8783389450056117,0.8893078247916958,0.8802416973331516,0.9523809523809523,0.8695652173913043,0.2123818320923931,0.43606535477063396
student-mat,late,HistGradientBoosting,3,0.8412698412698413,0.828701764185635,0.8770999115826702,0.828701764185635,0.842167475426154,0.9523809523809523,0.851063829787234,0.2078720858141035,0.39874074747754784
student-mat,late,HistGradientBoosting,4,0.9206349206349206,0.9344086021505377,0.9188034188034188,0.9344086021505377,0.9260109289617486,0.9,0.9,0.16490386628769393,0.2659834764853949
student-por,late,LogisticRegression_balanced,0,0.8846153846153846,0.9085820895522388,0.835367231638418,0.9085820895522388,0.8651943869335174,0.875,0.7777777777777778,0.20286608151018978,0.32483907417941144
student-por,late,LogisticRegression_balanced,1,0.8942307692307693,0.9076196398957593,0.8568868407578085,0.9076196398957593,0.8767671325810861,0.9375,0.8108108108108109,0.17832542035339366,0.3598657179499053
student-por,late,LogisticRegression_balanced,2,0.875,0.9194651741293532,0.8238844488844489,0.9194651741293532,0.8591332161921844,0.9375,0.7894736842105263,0.23028921110782583,0.39054036696805594
student-por,late,LogisticRegression_balanced,3,0.9038461538461539,0.9393508647239989,0.8610169491525425,0.9393508647239989,0.8930296756383712,1.0,0.8888888888888888,0.18044012841825374,0.31533673531908063
student-por,late,LogisticRegression_balanced,4,0.8349514563106796,0.8352272727272728,0.7800847457627119,0.8352272727272728,0.8028148148148148,0.6875,0.6111111111111112,0.26229210142484544,0.43388454990469694
student-por,late,RandomForest_balanced,0,0.8173076923076923,0.8420398009950248,0.7634368530020703,0.8420398009950248,0.791318849643346,0.75,0.6153846153846154,0.2186247358437297,0.34808333249525264
student-por,late,RandomForest_balanced,1,0.9038461538461539,0.8858386638237384,0.8835064443862558,0.8858386638237384,0.8829675153643547,0.875,0.8235294117647058,0.1784751574052203,0.7657506463907203
student-por,late,RandomForest_balanced,2,0.8076923076923077,0.884639303482587,0.7681751745791155,0.884639303482587,0.7959566316132713,0.9375,0.6666666666666666,0.24229831031657548,0.375938303215595
student-por,late,RandomForest_balanced,3,0.8942307692307693,0.9185175313906656,0.852046783625731,0.9185175313906656,0.8800313004352717,0.9375,0.8571428571428571,0.17509526716287332,0.5604466571832666
student-por,late,RandomForest_balanced,4,0.8252427184466019,0.8143939393939394,0.7671052631578948,0.8143939393939394,0.7873015873015872,0.625,0.5714285714285714,0.26144050225741505,1.119111604626182
student-por,late,ExtraTrees_balanced,0,0.8173076923076923,0.8420398009950248,0.7634368530020703,0.8420398009950248,0.791318849643346,0.75,0.6153846153846154,0.2412220575824757,1.071369020709235
student-por,late,ExtraTrees_balanced,1,0.9038461538461539,0.8858386638237384,0.8835064443862558,0.8858386638237384,0.8829675153643547,0.875,0.8235294117647058,0.185661881422633,0.9992692927559534
student-por,late,ExtraTrees_balanced,2,0.7980769230769231,0.8687662876095711,0.759080459770115,0.8687662876095711,0.7855815681902638,0.9375,0.6666666666666666,0.2632465675005755,1.0991559881055784
student-por,late,ExtraTrees_balanced,3,0.8942307692307693,0.9185175313906656,0.852046783625731,0.9185175313906656,0.8800313004352717,0.9375,0.8571428571428571,0.1870012846158093,0.997311742191789
student-por,late,ExtraTrees_balanced,4,0.8252427184466019,0.8143939393939394,0.7671052631578948,0.8143939393939394,0.7873015873015872,0.625,0.5714285714285714,0.2636057307324553,1.3573011664384462
student-por,late,HistGradientBoosting,0,0.9038461538461539,0.8709577114427861,0.8747102994345045,0.8709577114427861,0.8710839740690487,0.6875,0.7333333333333333,0.1448567123722766,0.28436422308090914
student-por,late,HistGradientBoosting,1,0.8846153846153846,0.8283137882018479,0.8734688834762964,0.8283137882018479,0.8487922705314009,0.6875,0.7333333333333333,0.17623148089956747,0.5026457822819831
student-por,late,HistGradientBoosting,2,0.9038461538461539,0.880878346363421,0.880878346363421,0.880878346363421,0.880878346363421,0.8125,0.8125,0.15433704763751785,0.2411808493395693
