dataset,scenario,model,feature_policy,features,n_train_pool,n_locked_test,cv_macro_f1,cv_recall_low,cv_f1_low,oof_low_threshold,oof_tuned_macro_f1,oof_tuned_recall_low,oof_tuned_f1_low
student-mat,late,LogisticRegression_balanced,G1_G2,"G1,G2",316,79,0.8532430532430532,0.9038461538461539,0.8545454545454545,0.48999999999999994,0.8559748938617245,0.9230769230769231,0.8609865470852018
student-mat,late,RandomForest_balanced,G1_G2,"G1,G2",316,79,0.8821297588420877,0.9038461538461539,0.8584474885844748,0.43999999999999995,0.8821297588420877,0.9038461538461539,0.8584474885844748
student-mat,late,ExtraTrees_balanced,G1_G2,"G1,G2",316,79,0.8806500788765766,0.9038461538461539,0.8623853211009175,0.49999999999999994,0.8806500788765766,0.9038461538461539,0.8623853211009175
student-mat,late,HistGradientBoosting,G1_G2,"G1,G2",316,79,0.8918968215821841,0.9038461538461539,0.8744186046511628,0.48999999999999994,0.8918968215821841,0.9038461538461539,0.8744186046511628
student-por,late,LogisticRegression_balanced,G1_G2,"G1,G2",519,130,0.8594840562992396,0.8875,0.7759562841530054,0.49999999999999994,0.8594840562992396,0.8875,0.7759562841530054
student-por,late,RandomForest_balanced,G1_G2,"G1,G2",519,130,0.8264375782941822,0.825,0.7021276595744681,0.4799999999999999,0.8264375782941822,0.825,0.7021276595744681
student-por,late,ExtraTrees_balanced,G1_G2,"G1,G2",519,130,0.8243306119714057,0.825,0.7021276595744681,0.4799999999999999,0.8243306119714057,0.825,0.7021276595744681
student-por,late,HistGradientBoosting,G1_G2,"G1,G2",519,130,0.8560304557193833,0.6875,0.7284768211920529,0.24999999999999994,0.8559351193814063,0.7875,0.7368421052631579
student-por,midterm,LogisticRegression_balanced,G1_only,G1,519,130,0.7678954557436238,0.9,0.6889952153110048,0.3499999999999999,0.7678954557436238,0.9,0.6889952153110048
student-por,midterm,RandomForest_balanced,G1_only,G1,519,130,0.7678954557436238,0.9,0.6889952153110048,0.30999999999999994,0.7678954557436238,0.9,0.6889952153110048
student-por,midterm,ExtraTrees_balanced,G1_only,G1,519,130,0.7678954557436238,0.9,0.6889952153110048,0.30999999999999994,0.7678954557436238,0.9,0.6889952153110048
student-por,midterm,HistGradientBoosting,G1_only,G1,519,130,0.7750793460138573,0.7125,0.7261146496815286,0.31999999999999995,0.7750793460138573,0.7125,0.7261146496815286
xAPI,default,LogisticRegression_balanced,all_non_target,"gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays",384,96,0.7397936339611842,0.8514851485148515,0.8309178743961353,0.3999999999999999,0.7435121610993995,0.9108910891089109,0.8440366972477065
xAPI,default,RandomForest_balanced,all_non_target,"gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays",384,96,0.7859595409921663,0.8712871287128713,0.8543689320388349,0.42999999999999994,0.7936177439346764,0.9108910891089109,0.8720379146919431
xAPI,default,ExtraTrees_balanced,all_non_target,"gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays",384,96,0.7661673118492311,0.8415841584158416,0.8292682926829268,0.29,0.7671525743385524,0.9504950495049505,0.8458149779735683
xAPI,default,HistGradientBoosting,all_non_target,"gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays",384,96,0.7286000817801356,0.7623762376237624,0.7817258883248731,0.15999999999999998,0.7385640570472333,0.8712871287128713,0.8110599078341014
