dataset,scenario,model_type,model,prediction_mode,macro_f1,recall_low,f1_low,interpretation
student-mat,late,deep_final,sequence_cnn_bilstm_only,low_f1_tuned,0.9365,0.9615,0.8929,final deep artifact
student-mat,late,baseline_rerun,HistGradientBoosting,argmax,0.9239453357100417,0.8461538461538461,0.8627450980392157,rerun baseline selected by CV Macro F1
student-mat,late,baseline_rerun,HistGradientBoosting,low_f1_tuned,0.9239453357100417,0.8461538461538461,0.8627450980392157,rerun baseline selected by CV Macro F1
student-por,late,deep_final,sequence_cnn_bilstm_only,low_f1_tuned,0.8783,0.9,0.8182,final deep artifact
student-por,late,baseline_rerun,LogisticRegression_balanced,argmax,0.8670117259988164,0.9,0.8181818181818182,rerun baseline selected by CV Macro F1
student-por,late,baseline_rerun,LogisticRegression_balanced,low_f1_tuned,0.8670117259988164,0.9,0.8181818181818182,rerun baseline selected by CV Macro F1
student-por,midterm,deep_final,sequence_cnn_bilstm_only,argmax,0.8228,0.65,0.7429,final deep artifact
student-por,midterm,baseline_rerun,HistGradientBoosting,argmax,0.7417642466822795,0.65,0.7428571428571429,rerun baseline selected by CV Macro F1
student-por,midterm,baseline_rerun,HistGradientBoosting,low_f1_tuned,0.7417642466822795,0.65,0.7428571428571429,rerun baseline selected by CV Macro F1
xAPI,default,deep_final,gated_fusion_v28,low_f1_tuned,0.7541,0.8846,0.8214,final deep artifact
xAPI,default,baseline_rerun,RandomForest_balanced,argmax,0.8177383592017738,0.8846153846153846,0.8363636363636363,rerun baseline selected by CV Macro F1
xAPI,default,baseline_rerun,RandomForest_balanced,low_f1_tuned,0.817822966507177,0.9230769230769231,0.8421052631578947,rerun baseline selected by CV Macro F1
