dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,early,none,cnn_bilstm_v27,1,0.2607338017174083,0.6423076923076924,0.21410256410256412,0.3333333333333333,0.2607338017174083,0.0,0.0,3.334551059622685,-0.01267630491572258,0.3839700222015381,11.931786722541114,-11.966025407730386
student-por,early,none,cnn_bilstm_v27,2,0.11316513583691819,0.16602316602316602,0.23433195592286502,0.3012974051896207,0.11316513583691819,0.85,0.24113475177304963,7.977647343851265,-5.950828226452449,0.343883216381073,12.072453690208683,-14.917614551575548
student-por,early,class_weight,cnn_bilstm_v27,1,0.25010893246187366,0.35,0.2799506694855532,0.3319022332693104,0.25010893246187366,0.0,0.0,5.35113215914309,-1.6078779280863214,0.343678742647171,11.921582576082573,-11.943857621749027
student-por,early,class_weight,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3664461672306061,12.054304595831493,-14.869791110723899
student-por,early,smotenc,cnn_bilstm_v27,1,0.25269334200204857,0.25384615384615383,0.396011183905764,0.44943226754039095,0.25269334200204857,0.525,0.37168141592920356,5.867773788309262,-2.1357586584592005,0.34296372532844543,11.358599744937543,-10.75020643960196
student-por,early,smotenc,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.40013355016708374,11.571381511099103,-13.623701476265742
student-por,early,random_oversampling,cnn_bilstm_v27,1,0.23710038054748897,0.25,0.43121693121693117,0.4077787820585244,0.23710038054748897,0.25,0.29411764705882354,5.943564716435882,-2.2172876830075,0.34310150146484375,11.358517427116277,-10.750036128487858
student-por,early,random_oversampling,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3877676725387573,11.584105709944017,-13.655880381040484
student-por,early,focal_loss,cnn_bilstm_v27,1,0.11288604898828541,0.20384615384615384,0.06794871794871794,0.3333333333333333,0.11288604898828541,0.0,0.0,6.104538034559586,-2.3939193076196594,0.3446263372898102,11.916792834946486,-11.93345878879484
student-por,early,focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.37217268347740173,12.045972888611477,-14.847860893630434
student-por,early,smotenc_focal_loss,cnn_bilstm_v27,1,0.08888888888888889,0.15384615384615385,0.05128205128205129,0.3333333333333333,0.08888888888888889,1.0,0.26666666666666666,8.083458894081648,-4.951005791841304,0.38377201557159424,11.371437909069556,-10.776783012889325
student-por,early,smotenc_focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.4594826102256775,11.530041943478015,-13.519399735063528
