original_class,original_conf,sample_idx,desired_classes,new_class,new_conf,changed_features,num_changes,Recommendation
1,0.9134116,0,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.8062848,1,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.96772546,2,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.93565965,3,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.81178916,4,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.6389423,5,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.98725665,6,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8883102,7,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.8781548,8,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.7956568,9,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.93427527,10,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.9045138,11,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
1,0.50769687,12,[2],2.0,0.5244494080543518,{'Walc': 0.25},1.0,"Sinh viên đang được dự đoán thuộc nhóm Medium với độ tin cậy 51%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'Walc': 0.25}. Sau thay đổi này, dự đoán sẽ chuyển sang High với xác suất 52%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
0,0.79943997,13,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
0,0.9920521,14,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.9196519,15,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
2,0.6556455,16,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
