model_family,track,outer_fold,training_seed,accuracy,macro_f1,weighted_f1,balanced_accuracy,quadratic_weighted_kappa,ordinal_mae,brier_score,pr_auc_macro,ece_top_label_equal_width_10,mae_raw,rmse_raw,r2_raw
M0,late_stage,0,42,0.40625,0.2876602564102564,0.3252328725961538,0.3768561187916026,0.4053789731051345,0.59375,0.6338581229635589,0.485767735650805,0.1978477644734084,,,
M1,late_stage,0,42,0.515625,0.4451219512195122,0.3558498475609756,0.6666666666666666,0.6747540983606557,0.484375,0.6716712932812214,0.8533942690828903,0.1113988710567354,,,
M2,late_stage,0,42,0.515625,0.445021645021645,0.357711038961039,0.6666666666666666,0.6766623207301173,0.484375,0.6841170257294109,0.8126034434446948,0.0679490976035595,2.3992738792701966,3.5262144257448527,0.4250086392448046
M3,late_stage,0,42,0.40625,0.2876602564102564,0.3252328725961538,0.3768561187916026,0.4053789731051345,0.59375,0.6444616141342505,0.4825789163385247,0.2116055814549327,2.9171819702090063,4.069786328600627,0.234073490845569
B0,late_stage,0,0,0.796875,0.8264658520412995,0.7954630221653879,0.843189964157706,0.8164165931156222,0.203125,0.40625,0.7794711225154773,0.203125,1.1760405130460223,2.00904318540398,0.8133523921008938
M4,late_stage,0,42,0.515625,0.4543778801843318,0.3508496543778802,0.6666666666666666,0.66281441196465,0.484375,0.5752322639326288,0.9491698962235364,0.2016957076266408,,,
M0,early_warning,0,42,0.125,0.1067323481116584,0.1448583743842364,0.1030465949820788,-0.2943575798776343,1.203125,0.6869474672600445,0.4249094959677817,0.2507624323479831,,,
M1,early_warning,0,42,0.1875,0.1052631578947368,0.0592105263157894,0.3333333333333333,0.0,1.140625,0.7397172646457358,0.7035593681762576,0.3883206155151129,,,
M2,early_warning,0,42,0.1875,0.1052631578947368,0.0592105263157894,0.3333333333333333,0.0,1.140625,0.7482468772611018,0.7035593681762576,0.425630762707442,4.048803436397369,5.468212233833403,-0.3827211576529616
M3,early_warning,0,42,0.125,0.1067323481116584,0.1448583743842364,0.1030465949820788,-0.2943575798776343,1.203125,0.695398431053642,0.4122797042377792,0.2554200552403927,2.5981577891227663,3.902274086515232,0.2958269111542988
B0,early_warning,0,0,0.71875,0.7555469222135889,0.7180640540015539,0.7621607782898105,0.7411235955056179,0.28125,0.5625,0.6931464219770672,0.28125,2.065713328764254,3.2046895619178093,0.5250850779993083
