model_family,track,outer_fold,training_seed,mae_raw,rmse_raw,r2_raw
M0,late_stage,0,42,,,
M1,late_stage,0,42,,,
M2,late_stage,0,42,2.3992738792701966,3.5262144257448527,0.4250086392448046
M3,late_stage,0,42,2.9171819702090063,4.069786328600627,0.234073490845569
B0,late_stage,0,0,1.1760405130460223,2.00904318540398,0.8133523921008938
M4,late_stage,0,42,,,
M0,early_warning,0,42,,,
M1,early_warning,0,42,,,
M2,early_warning,0,42,4.048803436397369,5.468212233833403,-0.3827211576529616
M3,early_warning,0,42,2.5981577891227663,3.902274086515232,0.2958269111542988
B0,early_warning,0,0,2.065713328764254,3.2046895619178093,0.5250850779993083
