dataset,stage,record_count,intervention_denominator,full_recommendation_rate,partial_recommendation_rate,abstention_rate,evaluation_only_rate,actionable_coverage,mean_actions_per_plan,median_actions_per_plan,mean_workload_per_plan,median_workload_per_plan,evidence_support_rate,explanation_lineage_completeness,unique_actions_used,top_action_share,default_action_rate,plans_with_identical_action_set_rate,action_set_diversity,action_frequency,safety_violations,constraint_violations
oulad,EARLY_20,20,20,0.3,0.5,0.2,0.0,0.8,2.45,3.0,134.25,140.0,1.0,1.0,6,0.30612244897959184,0.9375,0.5625,0.3125,"{""ADVISOR_ESCALATION"": 3, ""ASSESSMENT_COMPLETION"": 4, ""DIAGNOSTIC_CHECK"": 3, ""PROGRESS_MONITORING"": 15, ""STUDY_SCHEDULE"": 10, ""VLE_ENGAGEMENT"": 14}",0,0
oulad,EARLY_35,20,20,0.2,0.55,0.25,0.0,0.75,2.55,3.0,165.75,140.0,1.0,1.0,8,0.23529411764705882,0.6,0.4666666666666667,0.4666666666666667,"{""ADVISOR_ESCALATION"": 2, ""ASSESSMENT_COMPLETION"": 7, ""DIAGNOSTIC_CHECK"": 3, ""INSTRUCTOR_CONTACT"": 3, ""PROGRESS_MONITORING"": 9, ""RETRIEVAL_PRACTICE"": 6, ""STUDY_SCHEDULE"": 9, ""VLE_ENGAGEMENT"": 12}",0,0
oulad,FINAL_EVALUATION,20,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,{},0,0
oulad,INTER_STAGE_25,10,10,0.6,0.4,0.0,0.0,1.0,2.8,3.0,146,140.0,1.0,1.0,4,0.35714285714285715,1.0,0.6,0.3,"{""ASSESSMENT_COMPLETION"": 1, ""PROGRESS_MONITORING"": 10, ""STUDY_SCHEDULE"": 7, ""VLE_ENGAGEMENT"": 10}",0,0
oulad,INTER_STAGE_36,10,10,0.6,0.3,0.1,0.0,0.9,2.6,3.0,131.5,140.0,1.0,1.0,7,0.3076923076923077,0.8888888888888888,0.6666666666666666,0.3333333333333333,"{""ADVISOR_ESCALATION"": 1, ""ASSESSMENT_COMPLETION"": 1, ""DIAGNOSTIC_CHECK"": 1, ""INSTRUCTOR_CONTACT"": 1, ""PROGRESS_MONITORING"": 8, ""STUDY_SCHEDULE"": 6, ""VLE_ENGAGEMENT"": 8}",0,0
oulad,INTER_STAGE_63,10,10,0.8,0.2,0.0,0.0,1.0,2.6,2.5,136.5,125.0,1.0,1.0,7,0.34615384615384615,0.9,0.5,0.3,"{""ADVISOR_ESCALATION"": 1, ""ASSESSMENT_COMPLETION"": 1, ""DIAGNOSTIC_CHECK"": 1, ""INSTRUCTOR_CONTACT"": 1, ""PROGRESS_MONITORING"": 9, ""STUDY_SCHEDULE"": 4, ""VLE_ENGAGEMENT"": 9}",0,0
oulad,INTER_STAGE_76,10,10,0.9,0.1,0.0,0.0,1.0,2.9,3.0,145.5,140.0,1.0,1.0,7,0.3103448275862069,0.9,0.7,0.3,"{""ADVISOR_ESCALATION"": 1, ""ASSESSMENT_COMPLETION"": 1, ""DIAGNOSTIC_CHECK"": 1, ""INSTRUCTOR_CONTACT"": 1, ""PROGRESS_MONITORING"": 9, ""STUDY_SCHEDULE"": 7, ""VLE_ENGAGEMENT"": 9}",0,0
oulad,LATE_75,20,20,0.6,0.35,0.05,0.0,0.95,2.85,3.0,155.25,140.0,1.0,1.0,8,0.2807017543859649,0.7894736842105263,0.5789473684210527,0.2631578947368421,"{""ADVISOR_ESCALATION"": 2, ""ASSESSMENT_COMPLETION"": 4, ""DIAGNOSTIC_CHECK"": 4, ""INSTRUCTOR_CONTACT"": 4, ""PROGRESS_MONITORING"": 15, ""RETRIEVAL_PRACTICE"": 1, ""STUDY_SCHEDULE"": 11, ""VLE_ENGAGEMENT"": 16}",0,0
oulad,MIDDLE_50,20,20,0.55,0.35,0.1,0.0,0.9,2.7,3.0,165.75,140.0,1.0,1.0,8,0.2777777777777778,0.6666666666666666,0.3888888888888889,0.3888888888888889,"{""ADVISOR_ESCALATION"": 3, ""ASSESSMENT_COMPLETION"": 6, ""DIAGNOSTIC_CHECK"": 4, ""INSTRUCTOR_CONTACT"": 4, ""PROGRESS_MONITORING"": 12, ""RETRIEVAL_PRACTICE"": 3, ""STUDY_SCHEDULE"": 7, ""VLE_ENGAGEMENT"": 15}",0,0
student_mat,S0,20,20,0.6,0.3,0.1,0.0,0.9,1.7,2.0,45,50.0,1.0,1.0,4,0.5294117647058824,1.0,0.3888888888888889,0.3333333333333333,"{""ADVISOR_SUPPORT"": 3, ""ATTENDANCE_IMPROVEMENT"": 4, ""PROGRESS_MONITORING"": 18, ""STUDY_SCHEDULE"": 9}",0,0
student_mat,S1,20,20,0.7,0.3,0.0,0.0,1.0,2.55,2.0,119,57.5,1.0,1.0,8,0.27450980392156865,0.7,0.3,0.5,"{""ADVISOR_SUPPORT"": 4, ""ASSESSMENT_PREPARATION"": 7, ""ATTENDANCE_IMPROVEMENT"": 5, ""INSTRUCTOR_CONTACT"": 5, ""PRACTICE_EXERCISES"": 7, ""PROGRESS_MONITORING"": 14, ""STUDY_SCHEDULE"": 6, ""TARGETED_REVISION"": 3}",0,0
student_mat,S2,20,20,0.5,0.45,0.05,0.0,0.95,2.85,3.0,162,140.0,1.0,1.0,9,0.21052631578947367,0.631578947368421,0.15789473684210525,0.6842105263157895,"{""ADVISOR_SUPPORT"": 3, ""ASSESSMENT_PREPARATION"": 7, ""ATTENDANCE_IMPROVEMENT"": 4, ""INSTRUCTOR_CONTACT"": 4, ""LEARNING_CONSOLIDATION"": 4, ""PRACTICE_EXERCISES"": 6, ""PROGRESS_MONITORING"": 12, ""STUDY_SCHEDULE"": 6, ""TARGETED_REVISION"": 11}",0,0
student_por,S0,20,20,0.7,0.2,0.1,0.0,0.9,1.7,2.0,43.5,50.0,1.0,1.0,3,0.5294117647058824,1.0,0.6666666666666666,0.16666666666666666,"{""ATTENDANCE_IMPROVEMENT"": 2, ""PROGRESS_MONITORING"": 18, ""STUDY_SCHEDULE"": 14}",0,0
