dataset_id,action_id,stages,trigger_features,requires_human_contact,priority_cap,policy_version,validation_status
oulad,VLE_ENGAGEMENT,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,activity_level|recent_activity_trend|inactivity_streak,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,ASSESSMENT_COMPLETION,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,assessments_due|assessment_progress,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,TARGETED_PRACTICE,EARLY_35|MIDDLE_50|LATE_75,knowledge_gap,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,DIAGNOSTIC_CHECK,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,assessment_progress|grade_trend,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,RETRIEVAL_PRACTICE,EARLY_35|MIDDLE_50|LATE_75,assessment_progress|grade_trend,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,STUDY_SCHEDULE,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,inactivity_streak|recent_activity_trend,false,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,INSTRUCTOR_CONTACT,EARLY_35|MIDDLE_50|LATE_75,assessment_progress|grade_trend,true,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,ADVISOR_ESCALATION,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,inactivity_streak|assessment_progress|grade_trend,true,NONE,recommend_hybrid_oulad_policy_v1,PASS
oulad,PROGRESS_MONITORING,EARLY_20|EARLY_35|MIDDLE_50|LATE_75,activity_level|assessment_progress,false,LOW,recommend_hybrid_oulad_policy_v1,PASS
oulad,LEARNING_CONSOLIDATION,MIDDLE_50|LATE_75,assessment_progress|activity_level,false,LOW,recommend_hybrid_oulad_policy_v1,PASS
