dataset_id,action_id,stages,trigger_features,requires_human_contact,priority_cap,policy_version,validation_status
student_mat,STUDY_SCHEDULE,S0|S1|S2,study_time,false,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,ATTENDANCE_IMPROVEMENT,S0|S1|S2,absences,false,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,TARGETED_REVISION,S1|S2,G1|G2|grade_decline,false,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,PRACTICE_EXERCISES,S1|S2,G1|G2,false,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,ASSESSMENT_PREPARATION,S1|S2,G1|G2|next_assessment_available,false,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,INSTRUCTOR_CONTACT,S1|S2,G1|G2|grade_decline,true,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,ADVISOR_SUPPORT,S0|S1|S2,previous_failures|absences|G1|G2,true,NONE,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,PROGRESS_MONITORING,S0|S1|S2,absences|study_time|G1|G2,false,LOW,recommend_hybrid_uci_mat_policy_v1,PASS
student_mat,LEARNING_CONSOLIDATION,S2,grade_improvement,false,LOW,recommend_hybrid_uci_mat_policy_v1,PASS
student_por,STUDY_SCHEDULE,S0|S1|S2,study_time,false,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,ATTENDANCE_IMPROVEMENT,S0|S1|S2,absences,false,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,TARGETED_REVISION,S1|S2,G1|G2|grade_decline,false,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,PRACTICE_EXERCISES,S1|S2,G1|G2,false,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,ASSESSMENT_PREPARATION,S1|S2,G1|G2|next_assessment_available,false,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,INSTRUCTOR_CONTACT,S1|S2,G1|G2|grade_decline,true,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,ADVISOR_SUPPORT,S0|S1|S2,previous_failures|absences|G1|G2,true,NONE,recommend_hybrid_uci_por_policy_v1,PASS
student_por,PROGRESS_MONITORING,S0|S1|S2,absences|study_time|G1|G2,false,LOW,recommend_hybrid_uci_por_policy_v1,PASS
student_por,LEARNING_CONSOLIDATION,S2,grade_improvement,false,LOW,recommend_hybrid_uci_por_policy_v1,PASS
