case_id,dataset,student_id,record_id,stage,outer_fold,risk_probability,risk_band,prediction_source_version,prediction_seed_count,risk_band_source,recommendation_eligible,module,presentation,enrollment_identity,inactive_streak,active_days_ratio,recent_activity,activity_trend,assessment_completion,missing_assessments,course_progress,quiz_activity,vle_available,source_feature_version
06f57e97c344127b986892acda010896,oulad,631117,000095ce8af9578334f5d8af,20pct,0,0.04911900435884794,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,EEE,2014B,000095ce8af9578334f5d8af,0.0,0.7083333,4.9972124,-0.03485426,1.0,0.0,0.2,11.0,True,phase7.oulad.cutoff_safe.v1
c5bea8cdfbbc39dcf1c7d5be91f4cf88,oulad,469633,00043270d7e748c4982e36ad,20pct,1,0.331689049800237,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,DDD,2014J,00043270d7e748c4982e36ad,1.0,0.46153846,0.0,-0.36428094,1.0,0.0,0.2,0.0,True,phase7.oulad.cutoff_safe.v1
85e6d867541524ad3536c0ef5434bb7e,oulad,2686712,000689a22247edd75d6d52c8,20pct,1,0.18429145216941833,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,EEE,2014J,000689a22247edd75d6d52c8,0.0,0.7735849,3.8918202,-0.13638571,1.0,0.0,0.2,93.0,True,phase7.oulad.cutoff_safe.v1
52e68609b48116f8a9c1eb1bce475bf6,oulad,411126,000ed287ccc2e321c4591d8a,20pct,1,0.9306794007619222,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2013J,000ed287ccc2e321c4591d8a,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,True,phase7.oulad.cutoff_safe.v1
34bb32a2b4a553ca5c0567ae57323e49,oulad,626539,001123222a5f354695e7fa15,20pct,1,0.8778872092564901,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014J,001123222a5f354695e7fa15,0.0,0.094339624,0.6931472,0.3056394,0.5,1.0,0.2,0.0,True,phase7.oulad.cutoff_safe.v1
0831aef8b3f56d3d348105b5d92ccbfa,oulad,2652268,001146a0386f7d2da053a6a6,20pct,2,0.9637899994850159,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014B,001146a0386f7d2da053a6a6,6.0,0.020833334,0.0,-0.40544888,0.0,1.0,0.2,2.0,True,phase7.oulad.cutoff_safe.v1
59b240cfb82bb3f1436cc3bdeb7c4150,oulad,440375,0012af24933f688cc81a5b7c,20pct,0,0.3987856904665629,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,DDD,2013B,0012af24933f688cc81a5b7c,0.0,0.5833333,4.248495,-0.012996299,1.0,0.0,0.2,0.0,True,phase7.oulad.cutoff_safe.v1
998b1bd313e9eb8b5e97d1e532eda0f7,oulad,611635,001338d7a960c9dfd6e24405,20pct,1,0.7745926976203918,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014B,001338d7a960c9dfd6e24405,0.0,0.39583334,2.6390574,-0.34328628,1.0,0.0,0.2,84.0,True,phase7.oulad.cutoff_safe.v1
0e8d5ba8e8c0a2bfe5e7807437e94d99,oulad,623603,001786403a7d3b7a93b1c305,20pct,2,0.5535543859004974,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2014B,001786403a7d3b7a93b1c305,1.0,0.23913044,0.0,-0.011746024,1.0,0.0,0.2,18.0,True,phase7.oulad.cutoff_safe.v1
8fc3a2aa5b0f828466efc3706ab4298e,oulad,615266,002041af0e2a26c481a305a4,20pct,0,0.041419061521689095,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014J,002041af0e2a26c481a305a4,0.0,0.8679245,4.189655,-0.05276256,1.0,0.0,0.2,563.0,True,phase7.oulad.cutoff_safe.v1
20425448b0fe6b8aa43543b202ea8bf6,oulad,265466,0026556cf4f036f67e49cbb8,20pct,0,0.25447067618370056,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2014J,0026556cf4f036f67e49cbb8,0.0,0.54285717,2.3025851,-0.21739137,1.0,0.0,0.2,33.0,True,phase7.oulad.cutoff_safe.v1
