case_id,dataset,student_id,record_id,stage,outer_fold,risk_probability,risk_band,prediction_source_version,prediction_seed_count,risk_band_source,recommendation_eligible,module,presentation,enrollment_identity,inactive_streak,active_days_ratio,recent_activity,activity_trend,assessment_completion,missing_assessments,course_progress,quiz_activity,vle_available,source_feature_version,sampling_risk_band,_27,panel
c85bb3d0d76d350184ed46f68b3d2d63,oulad,622007,26c81cf7c15af81946a091dc,20pct,0,0.38327556848526,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2014J,26c81cf7c15af81946a091dc,2.0,0.1538461595773697,0.0,-0.25456345081329346,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,2579794974656923,Panel A
e5415bc274f2297a59193c50c839b912,oulad,423985,1eae4b9eae54fc2b48b8f038,20pct,0,0.6459016601244608,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2013B,1eae4b9eae54fc2b48b8f038,0.0,0.2708333432674408,4.025351524353027,-0.10378585010766983,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,5773892698962358,Panel A
0f9bccd1500862b8450c23d7a5d8fecc,oulad,28418,987df6d40b961f479b477020,20pct,0,0.6588998238245646,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,CCC,2014B,987df6d40b961f479b477020,0.0,0.2083333283662796,0.6931471824645996,-0.512644350528717,0.5,1.0,0.20000000298023224,46.0,True,phase7.oulad.cutoff_safe.v1,Borderline,8040908069864383,Panel A
6e5b79dc3d6364e8c6f5f1b89252c893,oulad,642413,aeefd577f2a5c7f79fefe2ec,20pct,0,0.3714901606241862,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2014J,aeefd577f2a5c7f79fefe2ec,0.0,0.4615384638309479,4.094344615936279,0.06846737116575241,1.0,0.0,0.20000000298023224,29.0,True,phase7.oulad.cutoff_safe.v1,Borderline,16514304799999387,Panel A
1126162a2a0acef230f379310b8188af,oulad,415818,20327781ee2f0cf3a181b595,20pct,0,0.38976456721623737,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,GGG,2014B,20327781ee2f0cf3a181b595,3.0,0.0416666679084301,0.0,-0.32619884610176086,0.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,16570659820142024,Panel A
fb8624316ad3d943e9775c88b3ed3d21,oulad,614761,c6fb35d66966621830f0af0c,20pct,0,0.577959269285202,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,CCC,2014J,c6fb35d66966621830f0af0c,1.0,0.37735849618911743,0.0,-0.5345352292060852,1.0,0.0,0.20000000298023224,128.0,True,phase7.oulad.cutoff_safe.v1,Borderline,18702656406723961,Panel A
806e5c52a41f1e2d98c80a230e2d9150,oulad,627295,8061b636ba8967d84ae41f3c,20pct,0,0.49270472923914593,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,DDD,2014J,8061b636ba8967d84ae41f3c,0.0,0.5,2.6390573978424072,0.2250792533159256,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,21802694409669156,Panel A
23fa66068a2d85832367055f7750cd02,oulad,514903,c630a201776d5e4767bd302f,20pct,0,0.3862615426381429,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2013B,c630a201776d5e4767bd302f,0.0,0.7916666865348816,4.174387454986572,-0.053396787494421005,1.0,0.0,0.20000000298023224,25.0,True,phase7.oulad.cutoff_safe.v1,Borderline,27031064583909400,Panel A
98cfe202cd070576ec4f07b31c25273b,oulad,629120,9f3cf5c168a4d7d137afaddb,20pct,0,0.6598409215609232,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014B,9f3cf5c168a4d7d137afaddb,0.0,0.1666666716337204,2.397895336151123,-0.4588833749294281,1.0,0.0,0.20000000298023224,30.0,True,phase7.oulad.cutoff_safe.v1,Borderline,27140080089132075,Panel A
2f1c1d4c2031bc4e22a0ca4c05203ab4,oulad,628511,28ffa0c77c4a5dccd09eb04b,20pct,0,0.5009795924027761,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2014B,28ffa0c77c4a5dccd09eb04b,0.0,0.19565217196941376,2.1972246170043945,-0.3103160560131073,1.0,0.0,0.20000000298023224,18.0,True,phase7.oulad.cutoff_safe.v1,Borderline,34359711862473230,Panel A
