attribute,group,stage,n,n_pos,prevalence,ap,fn_rate
gender,F,20pct,7990,3243,0.40588235294117647,0.7174836669223738,0.19210607462226334
gender,M,20pct,9797,4325,0.44146167194038993,0.7850451618912073,0.20809248554913296
gender,F,35pct,7710,2962,0.38417639429312583,0.7852585073388441,0.2802160702228224
gender,M,35pct,9356,3883,0.4150277896536982,0.823432115592994,0.255472572753026
gender,F,50pct,7424,2676,0.3604525862068966,0.8300462608386276,0.30829596412556054
gender,M,50pct,8970,3497,0.3898550724637681,0.8592780987960136,0.2765227337718044
gender,F,75pct,7009,2261,0.3225852475388786,0.8763976485109148,0.3348076072534277
gender,M,75pct,8429,2956,0.3506940325068217,0.8973668379310404,0.2912719891745602
imd_band,0-10%,20pct,1694,925,0.5460448642266824,0.8229797711121357,0.11891891891891893
imd_band,10-20,20pct,1860,934,0.5021505376344086,0.7881567280563585,0.16488222698072805
imd_band,20-30%,20pct,1935,923,0.47700258397932815,0.7894107003866293,0.17551462621885158
imd_band,30-40%,20pct,1930,826,0.42797927461139895,0.7562378917308754,0.19854721549636803
imd_band,40-50%,20pct,1743,749,0.42971887550200805,0.7668175869018232,0.19759679572763686
imd_band,50-60%,20pct,1737,739,0.4254461715601612,0.7459184155844962,0.19215155615696888
imd_band,60-70%,20pct,1609,633,0.39341205717837163,0.7137130264977509,0.23222748815165878
imd_band,70-80%,20pct,1622,635,0.3914919852034525,0.6989553561924848,0.2346456692913386
imd_band,80-90%,20pct,1537,553,0.3597918022121015,0.6937301954417976,0.2694394213381555
imd_band,90-100%,20pct,1451,478,0.3294279807029635,0.7123213760813905,0.2803347280334728
imd_band,0-10%,35pct,1597,828,0.5184721352536005,0.8657155594962171,0.17632850241545894
imd_band,10-20,35pct,1776,850,0.4786036036036036,0.8312157151162878,0.2211764705882353
imd_band,20-30%,35pct,1837,825,0.4491017964071856,0.8439895172747337,0.23272727272727273
imd_band,30-40%,35pct,1858,754,0.4058127018299246,0.8103261315343768,0.26525198938992045
imd_band,40-50%,35pct,1666,672,0.40336134453781514,0.8053788134367488,0.28422619047619047
imd_band,50-60%,35pct,1671,673,0.402752842609216,0.8079700509455592,0.274888558692422
imd_band,60-70%,35pct,1547,571,0.3691014867485456,0.7639040797077218,0.30472854640980734
imd_band,70-80%,35pct,1575,588,0.37333333333333335,0.7669013599923903,0.28741496598639454
imd_band,80-90%,35pct,1492,507,0.3398123324396783,0.7501145323844143,0.34122287968441817
imd_band,90-100%,35pct,1396,423,0.3030085959885387,0.7762692816572432,0.3380614657210402
imd_band,0-10%,50pct,1530,761,0.4973856209150327,0.8898814402067105,0.2102496714848883
imd_band,10-20,50pct,1697,771,0.4543311726576311,0.8627331032791059,0.2490272373540856
imd_band,20-30%,50pct,1738,726,0.4177215189873418,0.8669701985812792,0.256198347107438
imd_band,30-40%,50pct,1785,681,0.3815126050420168,0.8508675708677802,0.28928046989721
imd_band,40-50%,50pct,1603,609,0.3799126637554585,0.8570413368002148,0.2955665024630542
imd_band,50-60%,50pct,1613,615,0.38127712337259767,0.8490720377847257,0.2959349593495935
imd_band,60-70%,50pct,1482,506,0.34143049932523617,0.8029414707210532,0.36561264822134387
imd_band,70-80%,50pct,1521,534,0.3510848126232742,0.8204423256408205,0.3089887640449438
imd_band,80-90%,50pct,1454,469,0.32255845942228334,0.8106456551159686,0.3347547974413646
imd_band,90-100%,50pct,1338,365,0.27279521674140506,0.82666055474886,0.33972602739726027
imd_band,0-10%,75pct,1429,660,0.46186144156752973,0.9268815923655733,0.23787878787878788
imd_band,10-20,75pct,1592,666,0.4183417085427136,0.9014493445173506,0.28378378378378377
imd_band,20-30%,75pct,1617,605,0.3741496598639456,0.9065103942001034,0.29421487603305785
imd_band,30-40%,75pct,1681,577,0.34324806662700774,0.8902017895264132,0.29982668977469673
imd_band,40-50%,75pct,1513,519,0.34302709847984136,0.8977279952636735,0.3044315992292871
imd_band,50-60%,75pct,1513,515,0.34038334434897555,0.887465187156599,0.29902912621359223
imd_band,60-70%,75pct,1385,409,0.29530685920577615,0.8513439532151128,0.37163814180929094
imd_band,70-80%,75pct,1453,466,0.32071576049552647,0.8775167302419048,0.3261802575107296
imd_band,80-90%,75pct,1368,383,0.27997076023391815,0.8531238063092783,0.3838120104438642
imd_band,90-100%,75pct,1280,307,0.23984375,0.856496103955458,0.36156351791530944
disability,N,20pct,16114,6679,0.41448429936701003,0.7476543968160473,0.21530169187004042
disability,Y,20pct,1673,889,0.5313807531380753,0.8077165469159655,0.09561304836895389
disability,N,35pct,15494,6057,0.39092551955595717,0.8019806849866463,0.27786032689450224
disability,Y,35pct,1572,788,0.5012722646310432,0.8433983823275653,0.17639593908629442
disability,N,50pct,14914,5477,0.3672388359930267,0.8441897603076601,0.29687785283914553
disability,Y,50pct,1480,696,0.4702702702702703,0.8650215225479654,0.23850574712643677
disability,N,75pct,14097,4660,0.3305667872597006,0.8869425198356475,0.31244635193133047
disability,Y,75pct,1341,557,0.4153616703952274,0.8986410559668601,0.29084380610412924
code_module,AAA,20pct,477,125,0.2620545073375262,0.5444014520374234,0.448
code_module,BBB,20pct,4139,1658,0.40057985020536363,0.7492971539024627,0.22979493365500603
code_module,CCC,20pct,2149,1072,0.4988366682177757,0.790309067150289,0.13805970149253732
code_module,DDD,20pct,3410,1685,0.4941348973607038,0.8071036531304074,0.12937685459940654
code_module,EEE,20pct,1684,585,0.3473871733966746,0.7524731448286321,0.37094017094017095
code_module,FFF,20pct,4289,1841,0.4292375845185358,0.7896497950659953,0.2558392178164041
code_module,GGG,20pct,1639,602,0.36729713239780354,0.5513308734906351,0.053156146179401995
code_module,AAA,35pct,465,113,0.24301075268817204,0.615863123319992,0.415929203539823
code_module,BBB,35pct,4015,1534,0.3820672478206725,0.7894432379997003,0.2940026075619296
code_module,CCC,35pct,2008,931,0.4636454183266932,0.807030904717865,0.1933404940923738
code_module,DDD,35pct,3233,1506,0.4658212186823384,0.8384876810440747,0.21381142098273573
code_module,EEE,35pct,1625,526,0.32369230769230767,0.8098678180894959,0.3726235741444867
code_module,FFF,35pct,4100,1652,0.4029268292682927,0.8238236283818879,0.2736077481840194
code_module,GGG,35pct,1620,583,0.35987654320987655,0.7400724346143643,0.29845626072041165
code_module,AAA,50pct,454,102,0.22466960352422907,0.6054110063269315,0.6568627450980392
code_module,BBB,50pct,3886,1405,0.3615542974781266,0.8329004226642924,0.31316725978647686
code_module,CCC,50pct,1880,803,0.4271276595744681,0.8322323087705822,0.29514321295143214
code_module,DDD,50pct,3091,1364,0.4412811387900356,0.8505583538261768,0.2719941348973607
code_module,EEE,50pct,1580,481,0.30443037974683546,0.8665022705481247,0.3264033264033264
code_module,FFF,50pct,3914,1466,0.37455288707204903,0.8726098047651738,0.24556616643929058
code_module,GGG,50pct,1589,552,0.3473882945248584,0.8312900791990121,0.2898550724637681
code_module,AAA,75pct,432,80,0.18518518518518517,0.6298661101973585,0.675
code_module,BBB,75pct,3706,1225,0.33054506206152184,0.8902639071995189,0.2987755102040816
code_module,CCC,75pct,1708,631,0.3694379391100703,0.8704644327849879,0.3438985736925515
code_module,DDD,75pct,2843,1116,0.3925430882870207,0.8674282263280316,0.34139784946236557
code_module,EEE,75pct,1521,422,0.2774490466798159,0.9178680382370834,0.24881516587677724
code_module,FFF,75pct,3677,1229,0.3342398694587979,0.9084376142537202,0.2660699755899105
code_module,GGG,75pct,1551,514,0.33139909735654416,0.898319075859587,0.32684824902723736
