split,column,rho,p
all_n1044_exploratory,G1,-0.6277095945874746,1.801040791401876e-115
all_n1044_exploratory,G2,-0.6749947529892911,9.31103510231154e-140
all_n1044_exploratory,G3,-0.7215916940536858,1.3591296597154958e-168
all_n1044_exploratory,failures,0.37617879895116363,1.9541198286445334e-36
all_n1044_exploratory,age,0.12768478874706707,3.5091777721358695e-05
all_n1044_exploratory,absences,0.052309348885963135,0.09116221867703751
all_n1044_exploratory,Medu,-0.10851134471231645,0.00044427263454922686
all_n1044_exploratory,Fedu,-0.1104743809102853,0.0003486092665721479
all_n1044_exploratory,traveltime,0.03282574840859352,0.28930506856023586
all_n1044_exploratory,studytime,-0.11044706735305253,0.0003497968939711282
all_n1044_exploratory,famrel,-0.024078825018612478,0.4370459221289088
all_n1044_exploratory,freetime,0.06792026077177454,0.02820119130317591
all_n1044_exploratory,goout,0.10970684165324543,0.0003834586823966403
all_n1044_exploratory,Dalc,0.09649179204073076,0.0018005696757381457
all_n1044_exploratory,Walc,0.07178655727454879,0.02035661185737483
all_n1044_exploratory,health,0.03472874716974214,0.2622393091003726
FIT_fold0,G1,-0.6376004973196179,5.219018064616897e-51
FIT_fold0,G2,-0.6661609471698159,4.037701710067714e-57
FIT_fold0,G3,-0.719391111784986,1.5780842524219217e-70
FIT_fold0,failures,0.4018937046498979,2.5741315338556637e-18
FIT_fold0,age,0.1947069682116841,4.342745618129423e-05
FIT_fold0,absences,0.05987882101956693,0.21261868996931066
FIT_fold0,Medu,-0.10406554004140535,0.02999859852513846
FIT_fold0,Fedu,-0.0991309643142786,0.03876393835920503
FIT_fold0,traveltime,0.06282790557454736,0.19090660584485095
FIT_fold0,studytime,-0.16318020256713184,0.0006342528415986897
FIT_fold0,famrel,0.0025175644907401078,0.9582442611267463
FIT_fold0,freetime,0.10717908169256929,0.02539060626038557
FIT_fold0,goout,0.11703204186376667,0.01459517352171995
FIT_fold0,Dalc,0.17908527063886898,0.00017350083507759918
FIT_fold0,Walc,0.15367106332505592,0.001304635120875035
FIT_fold0,health,0.08442038514991596,0.07861126932978649
FIT_fold1,G1,-0.6361654182712367,9.762879855157906e-52
FIT_fold1,G2,-0.6751104670845897,2.2680113456914598e-60
FIT_fold1,G3,-0.7191844680454237,6.738623378862623e-72
FIT_fold1,failures,0.3621745258473437,3.2988367342409927e-15
FIT_fold1,age,0.14448390948902667,0.002273892439901898
FIT_fold1,absences,0.021696873331252163,0.648428532157987
FIT_fold1,Medu,-0.057857827587364324,0.22370970140765595
FIT_fold1,Fedu,-0.10815194488981471,0.02265710198477272
FIT_fold1,traveltime,0.019420921523920255,0.6831935705159198
FIT_fold1,studytime,-0.15291874558503277,0.0012286513990538092
FIT_fold1,famrel,-0.050973015495007414,0.2838381149657218
FIT_fold1,freetime,0.1483977433305916,0.001715628168688568
FIT_fold1,goout,0.15807360960365738,0.000830374846559235
FIT_fold1,Dalc,0.13621833797541952,0.004032319526393651
FIT_fold1,Walc,0.10325618351907595,0.029598118931249383
FIT_fold1,health,0.07375686028286077,0.1206893299737133
FIT_fold2,G1,-0.6270049366433624,6.974887550583459e-50
FIT_fold2,G2,-0.6646845618961758,6.2335610476749206e-58
FIT_fold2,G3,-0.7221112443988441,9.649327529028207e-73
FIT_fold2,failures,0.43365066068208385,8.777029160845432e-22
FIT_fold2,age,0.1482750238514061,0.0017310277324669827
FIT_fold2,absences,0.02061523942449807,0.664861082449064
FIT_fold2,Medu,-0.14777377082962206,0.0017952523170655778
FIT_fold2,Fedu,-0.14759724649635625,0.0018183847802097132
FIT_fold2,traveltime,0.09347375728426574,0.049025088923040055
FIT_fold2,studytime,-0.11904110055514729,0.012065859392102155
FIT_fold2,famrel,0.01701579621604574,0.7206724407834025
FIT_fold2,freetime,0.12083767367630037,0.010822622915636564
FIT_fold2,goout,0.10414051095480452,0.028223912401144895
FIT_fold2,Dalc,0.09407549273731465,0.04757993780719175
FIT_fold2,Walc,0.059999779899986255,0.20700387285588298
FIT_fold2,health,0.10813534568660539,0.022678019327974825
FIT_mean_3fold,G1,-0.6335902840780724,
FIT_mean_3fold,G2,-0.6686519920501938,
FIT_mean_3fold,G3,-0.7202289414097512,
FIT_mean_3fold,failures,0.3992396303931085,
FIT_mean_3fold,age,0.16248863385070564,
FIT_mean_3fold,absences,0.03406364459177239,
FIT_mean_3fold,Medu,-0.10323237948613058,
FIT_mean_3fold,Fedu,-0.11829338523348319,
FIT_mean_3fold,traveltime,0.05857419479424445,
FIT_mean_3fold,studytime,-0.1450466829024373,
FIT_mean_3fold,famrel,-0.01047988492940719,
FIT_mean_3fold,freetime,0.1254714995664871,
FIT_mean_3fold,goout,0.12641538747407619,
FIT_mean_3fold,Dalc,0.13645970045053438,
FIT_mean_3fold,Walc,0.10564234224803937,
FIT_mean_3fold,health,0.0887708637064607,
