candidate_id,seed,raw_g3,records,error_rate
A1,42,9,21,0.23809523809523808
A1,42,10,45,0.37777777777777777
A1,42,14,20,0.25
A1,42,15,28,0.21428571428571427
A1,123,9,21,0.6190476190476191
A1,123,10,45,0.35555555555555557
A1,123,14,20,0.15
A1,123,15,28,0.39285714285714285
A1,155,9,21,0.6190476190476191
A1,155,10,45,0.4
A1,155,14,20,0.2
A1,155,15,28,0.39285714285714285
A2,42,9,21,0.5714285714285714
A2,42,10,45,0.35555555555555557
A2,42,14,20,0.15
A2,42,15,28,0.25
A2,123,9,21,0.6190476190476191
A2,123,10,45,0.24444444444444444
A2,123,14,20,0.3
A2,123,15,28,0.21428571428571427
A2,155,9,21,0.6190476190476191
A2,155,10,45,0.26666666666666666
A2,155,14,20,0.25
A2,155,15,28,0.21428571428571427
M1,42,9,21,0.3333333333333333
M1,42,10,45,0.26666666666666666
M1,42,14,20,0.05
M1,42,15,28,0.21428571428571427
M1,123,9,21,0.3333333333333333
M1,123,10,45,0.26666666666666666
M1,123,14,20,0.05
M1,123,15,28,0.21428571428571427
M1,155,9,21,0.3333333333333333
M1,155,10,45,0.26666666666666666
M1,155,14,20,0.05
M1,155,15,28,0.21428571428571427
M2,42,9,21,0.47619047619047616
M2,42,10,45,0.26666666666666666
M2,42,14,20,0.05
M2,42,15,28,0.25
M2,123,9,21,0.47619047619047616
M2,123,10,45,0.26666666666666666
M2,123,14,20,0.05
M2,123,15,28,0.25
M2,155,9,21,0.47619047619047616
M2,155,10,45,0.26666666666666666
M2,155,14,20,0.05
M2,155,15,28,0.25
N0,42,9,21,0.3333333333333333
N0,42,10,45,0.26666666666666666
N0,42,14,20,0.2
N0,42,15,28,0.25
N0,123,9,21,0.5238095238095238
N0,123,10,45,0.37777777777777777
N0,123,14,20,0.25
N0,123,15,28,0.2857142857142857
N0,155,9,21,0.47619047619047616
N0,155,10,45,0.4
N0,155,14,20,0.25
N0,155,15,28,0.21428571428571427
N1,42,9,21,0.19047619047619047
N1,42,10,45,0.6888888888888889
N1,42,14,20,0.4
N1,42,15,28,0.14285714285714285
N1,123,9,21,0.19047619047619047
N1,123,10,45,0.5111111111111111
N1,123,14,20,0.3
N1,123,15,28,0.17857142857142858
N1,155,9,21,0.42857142857142855
N1,155,10,45,0.35555555555555557
N1,155,14,20,0.5
N1,155,15,28,0.10714285714285714
N2,42,9,21,0.6190476190476191
N2,42,10,45,0.2222222222222222
N2,42,14,20,0.35
N2,42,15,28,0.21428571428571427
N2,123,9,21,0.42857142857142855
N2,123,10,45,0.3333333333333333
N2,123,14,20,0.55
N2,123,15,28,0.17857142857142858
N2,155,9,21,0.6666666666666666
N2,155,10,45,0.3333333333333333
N2,155,14,20,0.25
N2,155,15,28,0.35714285714285715
N3,42,9,21,0.38095238095238093
N3,42,10,45,0.5333333333333333
N3,42,14,20,0.65
N3,42,15,28,0.2857142857142857
N3,123,9,21,0.19047619047619047
N3,123,10,45,0.5111111111111111
N3,123,14,20,0.55
N3,123,15,28,0.10714285714285714
N3,155,9,21,0.09523809523809523
N3,155,10,45,0.7111111111111111
N3,155,14,20,0.65
N3,155,15,28,0.25
R0,42,9,21,0.23809523809523808
R0,42,10,45,0.35555555555555557
R0,42,14,20,0.05
R0,42,15,28,0.25
R0,123,9,21,0.23809523809523808
R0,123,10,45,0.35555555555555557
R0,123,14,20,0.05
R0,123,15,28,0.25
R0,155,9,21,0.23809523809523808
R0,155,10,45,0.35555555555555557
R0,155,14,20,0.05
R0,155,15,28,0.25
