candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
N0,0,42,51,39,39,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N0,0,123,28,16,16,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N0,0,155,29,17,17,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N1,0,42,80,31,31,True,252,True,True,True,"{""learning_rate"": 0.009860425844086054, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N1,0,123,48,31,31,False,252,True,True,True,"{""learning_rate"": 0.009860425844086054, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N1,0,155,40,30,30,False,252,True,True,True,"{""learning_rate"": 0.009860425844086054, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N2,0,42,40,23,23,True,252,True,True,True,"{""learning_rate"": 0.003570813535501082, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N2,0,123,40,33,33,True,252,True,True,True,"{""learning_rate"": 0.003570813535501082, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N2,0,155,29,19,19,False,252,True,True,True,"{""learning_rate"": 0.003570813535501082, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N3,0,42,80,72,72,True,252,True,True,True,"{""learning_rate"": 0.006168756916040813, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N3,0,123,51,41,41,False,252,True,True,True,"{""learning_rate"": 0.006168756916040813, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N3,0,155,42,32,32,False,252,True,True,True,"{""learning_rate"": 0.006168756916040813, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
A1,0,42,37,27,27,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A1,0,123,60,41,41,True,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A1,0,155,60,39,39,True,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A2,0,42,46,28,28,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A2,0,123,60,50,50,True,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A2,0,155,57,47,47,False,252,True,True,True,"{""learning_rate"": 0.006983393298257698, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N0,1,42,33,23,23,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,1,123,46,28,28,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,1,155,60,9,9,True,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,1,42,40,13,13,True,253,True,True,True,"{""learning_rate"": 0.009818051378408217, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,1,123,40,32,32,True,253,True,True,True,"{""learning_rate"": 0.009818051378408217, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,1,155,39,29,29,False,253,True,True,True,"{""learning_rate"": 0.009818051378408217, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N2,1,42,16,6,6,False,253,True,True,True,"{""learning_rate"": 0.003676824692264202, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,1,123,80,10,10,True,253,True,True,True,"{""learning_rate"": 0.003676824692264202, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N2,1,155,18,8,8,False,253,True,True,True,"{""learning_rate"": 0.003676824692264202, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,1,42,11,1,1,False,253,True,True,True,"{""learning_rate"": 0.009149025233215792, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,1,123,60,48,48,True,253,True,True,True,"{""learning_rate"": 0.009149025233215792, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
N3,1,155,11,1,1,False,253,True,True,True,"{""learning_rate"": 0.009149025233215792, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",0
A1,1,42,42,32,32,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A1,1,123,12,2,2,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A1,1,155,35,8,8,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A2,1,42,25,15,15,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,1,123,60,54,54,True,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,1,155,34,21,21,False,253,True,True,True,"{""learning_rate"": 0.004768518768930611, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
