candidate_id,seed,outer_fold,actual,predicted,count
A1,42,0,0,0,20
A1,42,0,0,1,1
A1,42,0,0,2,0
A1,42,0,1,0,7
A1,42,0,1,1,24
A1,42,0,1,2,0
A1,42,0,2,0,0
A1,42,0,2,1,2
A1,42,0,2,2,10
A1,42,1,0,0,21
A1,42,1,0,1,0
A1,42,1,0,2,0
A1,42,1,1,0,3
A1,42,1,1,1,25
A1,42,1,1,2,2
A1,42,1,2,0,0
A1,42,1,2,1,2
A1,42,1,2,2,10
A1,42,2,0,0,17
A1,42,2,0,1,4
A1,42,2,0,2,0
A1,42,2,1,0,3
A1,42,2,1,1,27
A1,42,2,1,2,1
A1,42,2,2,0,0
A1,42,2,2,1,0
A1,42,2,2,2,11
A1,42,3,0,0,21
A1,42,3,0,1,0
A1,42,3,0,2,0
A1,42,3,1,0,4
A1,42,3,1,1,27
A1,42,3,1,2,0
A1,42,3,2,0,0
A1,42,3,2,1,2
A1,42,3,2,2,9
A1,42,4,0,0,16
A1,42,4,0,1,4
A1,42,4,0,2,0
A1,42,4,1,0,3
A1,42,4,1,1,24
A1,42,4,1,2,4
A1,42,4,2,0,0
A1,42,4,2,1,0
A1,42,4,2,2,12
A1,123,0,0,0,17
A1,123,0,0,1,4
A1,123,0,0,2,0
A1,123,0,1,0,5
A1,123,0,1,1,26
A1,123,0,1,2,0
A1,123,0,2,0,0
A1,123,0,2,1,2
A1,123,0,2,2,10
A1,123,1,0,0,3
A1,123,1,0,1,18
A1,123,1,0,2,0
A1,123,1,1,0,0
A1,123,1,1,1,30
A1,123,1,1,2,0
A1,123,1,2,0,0
A1,123,1,2,1,12
A1,123,1,2,2,0
A1,123,2,0,0,16
A1,123,2,0,1,5
A1,123,2,0,2,0
A1,123,2,1,0,4
A1,123,2,1,1,26
A1,123,2,1,2,1
A1,123,2,2,0,0
A1,123,2,2,1,1
A1,123,2,2,2,10
A1,123,3,0,0,20
A1,123,3,0,1,1
A1,123,3,0,2,0
A1,123,3,1,0,3
A1,123,3,1,1,28
A1,123,3,1,2,0
A1,123,3,2,0,0
A1,123,3,2,1,2
A1,123,3,2,2,9
A1,123,4,0,0,19
A1,123,4,0,1,1
A1,123,4,0,2,0
A1,123,4,1,0,5
A1,123,4,1,1,22
A1,123,4,1,2,4
A1,123,4,2,0,0
A1,123,4,2,1,0
A1,123,4,2,2,12
A1,155,0,0,0,17
A1,155,0,0,1,4
A1,155,0,0,2,0
A1,155,0,1,0,5
A1,155,0,1,1,26
A1,155,0,1,2,0
A1,155,0,2,0,0
A1,155,0,2,1,2
A1,155,0,2,2,10
A1,155,1,0,0,15
A1,155,1,0,1,6
A1,155,1,0,2,0
A1,155,1,1,0,3
A1,155,1,1,1,27
A1,155,1,1,2,0
A1,155,1,2,0,0
A1,155,1,2,1,12
A1,155,1,2,2,0
A1,155,2,0,0,18
A1,155,2,0,1,3
A1,155,2,0,2,0
A1,155,2,1,0,3
A1,155,2,1,1,26
A1,155,2,1,2,2
A1,155,2,2,0,0
A1,155,2,2,1,0
A1,155,2,2,2,11
A1,155,3,0,0,20
A1,155,3,0,1,1
A1,155,3,0,2,0
A1,155,3,1,0,5
A1,155,3,1,1,26
A1,155,3,1,2,0
A1,155,3,2,0,0
A1,155,3,2,1,4
A1,155,3,2,2,7
A1,155,4,0,0,18
A1,155,4,0,1,2
A1,155,4,0,2,0
A1,155,4,1,0,4
A1,155,4,1,1,24
A1,155,4,1,2,3
A1,155,4,2,0,0
A1,155,4,2,1,0
A1,155,4,2,2,12
A2,42,0,0,0,16
A2,42,0,0,1,5
A2,42,0,0,2,0
A2,42,0,1,0,5
A2,42,0,1,1,26
A2,42,0,1,2,0
A2,42,0,2,0,0
A2,42,0,2,1,1
A2,42,0,2,2,11
A2,42,1,0,0,18
A2,42,1,0,1,3
A2,42,1,0,2,0
A2,42,1,1,0,5
A2,42,1,1,1,23
A2,42,1,1,2,2
A2,42,1,2,0,0
A2,42,1,2,1,2
A2,42,1,2,2,10
A2,42,2,0,0,17
A2,42,2,0,1,4
A2,42,2,0,2,0
A2,42,2,1,0,3
A2,42,2,1,1,27
A2,42,2,1,2,1
A2,42,2,2,0,0
A2,42,2,2,1,1
A2,42,2,2,2,10
A2,42,3,0,0,20
A2,42,3,0,1,1
A2,42,3,0,2,0
A2,42,3,1,0,3
A2,42,3,1,1,28
A2,42,3,1,2,0
A2,42,3,2,0,0
A2,42,3,2,1,2
A2,42,3,2,2,9
A2,42,4,0,0,16
A2,42,4,0,1,4
A2,42,4,0,2,0
A2,42,4,1,0,3
A2,42,4,1,1,28
A2,42,4,1,2,0
A2,42,4,2,0,0
A2,42,4,2,1,1
A2,42,4,2,2,11
A2,123,0,0,0,16
A2,123,0,0,1,5
A2,123,0,0,2,0
