dataset_version_id,source_record_identity,source_row_number,outer_fold,seed,role
1,student-mat:dataset-version:1:source-row:5,5,0,42,early_stop
1,student-mat:dataset-version:1:source-row:10,10,0,42,early_stop
1,student-mat:dataset-version:1:source-row:11,11,0,42,early_stop
1,student-mat:dataset-version:1:source-row:18,18,0,42,early_stop
1,student-mat:dataset-version:1:source-row:22,22,0,42,early_stop
1,student-mat:dataset-version:1:source-row:38,38,0,42,early_stop
1,student-mat:dataset-version:1:source-row:39,39,0,42,early_stop
1,student-mat:dataset-version:1:source-row:41,41,0,42,early_stop
1,student-mat:dataset-version:1:source-row:50,50,0,42,early_stop
1,student-mat:dataset-version:1:source-row:100,100,0,42,early_stop
1,student-mat:dataset-version:1:source-row:111,111,0,42,early_stop
1,student-mat:dataset-version:1:source-row:113,113,0,42,early_stop
1,student-mat:dataset-version:1:source-row:128,128,0,42,early_stop
1,student-mat:dataset-version:1:source-row:131,131,0,42,early_stop
1,student-mat:dataset-version:1:source-row:137,137,0,42,early_stop
1,student-mat:dataset-version:1:source-row:152,152,0,42,early_stop
1,student-mat:dataset-version:1:source-row:163,163,0,42,early_stop
1,student-mat:dataset-version:1:source-row:171,171,0,42,early_stop
1,student-mat:dataset-version:1:source-row:208,208,0,42,early_stop
1,student-mat:dataset-version:1:source-row:227,227,0,42,early_stop
1,student-mat:dataset-version:1:source-row:231,231,0,42,early_stop
1,student-mat:dataset-version:1:source-row:243,243,0,42,early_stop
1,student-mat:dataset-version:1:source-row:244,244,0,42,early_stop
1,student-mat:dataset-version:1:source-row:247,247,0,42,early_stop
1,student-mat:dataset-version:1:source-row:249,249,0,42,early_stop
1,student-mat:dataset-version:1:source-row:273,273,0,42,early_stop
1,student-mat:dataset-version:1:source-row:276,276,0,42,early_stop
1,student-mat:dataset-version:1:source-row:298,298,0,42,early_stop
1,student-mat:dataset-version:1:source-row:300,300,0,42,early_stop
1,student-mat:dataset-version:1:source-row:343,343,0,42,early_stop
1,student-mat:dataset-version:1:source-row:345,345,0,42,early_stop
1,student-mat:dataset-version:1:source-row:346,346,0,42,early_stop
1,student-mat:dataset-version:1:source-row:349,349,0,42,early_stop
1,student-mat:dataset-version:1:source-row:351,351,0,42,early_stop
1,student-mat:dataset-version:1:source-row:353,353,0,42,early_stop
1,student-mat:dataset-version:1:source-row:359,359,0,42,early_stop
1,student-mat:dataset-version:1:source-row:361,361,0,42,early_stop
1,student-mat:dataset-version:1:source-row:381,381,0,42,early_stop
1,student-mat:dataset-version:1:source-row:0,0,0,42,model_train
1,student-mat:dataset-version:1:source-row:3,3,0,42,model_train
1,student-mat:dataset-version:1:source-row:8,8,0,42,model_train
1,student-mat:dataset-version:1:source-row:14,14,0,42,model_train
1,student-mat:dataset-version:1:source-row:15,15,0,42,model_train
1,student-mat:dataset-version:1:source-row:16,16,0,42,model_train
1,student-mat:dataset-version:1:source-row:17,17,0,42,model_train
1,student-mat:dataset-version:1:source-row:19,19,0,42,model_train
1,student-mat:dataset-version:1:source-row:20,20,0,42,model_train
1,student-mat:dataset-version:1:source-row:24,24,0,42,model_train
1,student-mat:dataset-version:1:source-row:25,25,0,42,model_train
1,student-mat:dataset-version:1:source-row:29,29,0,42,model_train
1,student-mat:dataset-version:1:source-row:31,31,0,42,model_train
1,student-mat:dataset-version:1:source-row:32,32,0,42,model_train
1,student-mat:dataset-version:1:source-row:33,33,0,42,model_train
1,student-mat:dataset-version:1:source-row:34,34,0,42,model_train
1,student-mat:dataset-version:1:source-row:35,35,0,42,model_train
1,student-mat:dataset-version:1:source-row:37,37,0,42,model_train
1,student-mat:dataset-version:1:source-row:40,40,0,42,model_train
1,student-mat:dataset-version:1:source-row:42,42,0,42,model_train
1,student-mat:dataset-version:1:source-row:43,43,0,42,model_train
1,student-mat:dataset-version:1:source-row:44,44,0,42,model_train
1,student-mat:dataset-version:1:source-row:45,45,0,42,model_train
1,student-mat:dataset-version:1:source-row:46,46,0,42,model_train
1,student-mat:dataset-version:1:source-row:47,47,0,42,model_train
1,student-mat:dataset-version:1:source-row:48,48,0,42,model_train
1,student-mat:dataset-version:1:source-row:51,51,0,42,model_train
1,student-mat:dataset-version:1:source-row:52,52,0,42,model_train
1,student-mat:dataset-version:1:source-row:57,57,0,42,model_train
1,student-mat:dataset-version:1:source-row:61,61,0,42,model_train
1,student-mat:dataset-version:1:source-row:63,63,0,42,model_train
1,student-mat:dataset-version:1:source-row:64,64,0,42,model_train
1,student-mat:dataset-version:1:source-row:66,66,0,42,model_train
1,student-mat:dataset-version:1:source-row:68,68,0,42,model_train
1,student-mat:dataset-version:1:source-row:70,70,0,42,model_train
1,student-mat:dataset-version:1:source-row:72,72,0,42,model_train
1,student-mat:dataset-version:1:source-row:76,76,0,42,model_train
1,student-mat:dataset-version:1:source-row:77,77,0,42,model_train
1,student-mat:dataset-version:1:source-row:79,79,0,42,model_train
1,student-mat:dataset-version:1:source-row:83,83,0,42,model_train
1,student-mat:dataset-version:1:source-row:85,85,0,42,model_train
1,student-mat:dataset-version:1:source-row:87,87,0,42,model_train
1,student-mat:dataset-version:1:source-row:90,90,0,42,model_train
1,student-mat:dataset-version:1:source-row:91,91,0,42,model_train
1,student-mat:dataset-version:1:source-row:94,94,0,42,model_train
1,student-mat:dataset-version:1:source-row:96,96,0,42,model_train
1,student-mat:dataset-version:1:source-row:97,97,0,42,model_train
1,student-mat:dataset-version:1:source-row:98,98,0,42,model_train
1,student-mat:dataset-version:1:source-row:102,102,0,42,model_train
1,student-mat:dataset-version:1:source-row:103,103,0,42,model_train
1,student-mat:dataset-version:1:source-row:106,106,0,42,model_train
1,student-mat:dataset-version:1:source-row:108,108,0,42,model_train
1,student-mat:dataset-version:1:source-row:109,109,0,42,model_train
1,student-mat:dataset-version:1:source-row:112,112,0,42,model_train
1,student-mat:dataset-version:1:source-row:114,114,0,42,model_train
1,student-mat:dataset-version:1:source-row:115,115,0,42,model_train
1,student-mat:dataset-version:1:source-row:116,116,0,42,model_train
1,student-mat:dataset-version:1:source-row:117,117,0,42,model_train
1,student-mat:dataset-version:1:source-row:119,119,0,42,model_train
1,student-mat:dataset-version:1:source-row:120,120,0,42,model_train
1,student-mat:dataset-version:1:source-row:121,121,0,42,model_train
1,student-mat:dataset-version:1:source-row:122,122,0,42,model_train
1,student-mat:dataset-version:1:source-row:124,124,0,42,model_train
1,student-mat:dataset-version:1:source-row:125,125,0,42,model_train
1,student-mat:dataset-version:1:source-row:127,127,0,42,model_train
1,student-mat:dataset-version:1:source-row:133,133,0,42,model_train
1,student-mat:dataset-version:1:source-row:134,134,0,42,model_train
1,student-mat:dataset-version:1:source-row:139,139,0,42,model_train
1,student-mat:dataset-version:1:source-row:141,141,0,42,model_train
1,student-mat:dataset-version:1:source-row:143,143,0,42,model_train
1,student-mat:dataset-version:1:source-row:144,144,0,42,model_train
1,student-mat:dataset-version:1:source-row:145,145,0,42,model_train
1,student-mat:dataset-version:1:source-row:146,146,0,42,model_train
1,student-mat:dataset-version:1:source-row:147,147,0,42,model_train
1,student-mat:dataset-version:1:source-row:148,148,0,42,model_train
1,student-mat:dataset-version:1:source-row:149,149,0,42,model_train
1,student-mat:dataset-version:1:source-row:153,153,0,42,model_train
1,student-mat:dataset-version:1:source-row:154,154,0,42,model_train
1,student-mat:dataset-version:1:source-row:155,155,0,42,model_train
1,student-mat:dataset-version:1:source-row:156,156,0,42,model_train
1,student-mat:dataset-version:1:source-row:158,158,0,42,model_train
1,student-mat:dataset-version:1:source-row:159,159,0,42,model_train
1,student-mat:dataset-version:1:source-row:160,160,0,42,model_train
1,student-mat:dataset-version:1:source-row:161,161,0,42,model_train
1,student-mat:dataset-version:1:source-row:164,164,0,42,model_train
1,student-mat:dataset-version:1:source-row:166,166,0,42,model_train
1,student-mat:dataset-version:1:source-row:167,167,0,42,model_train
1,student-mat:dataset-version:1:source-row:168,168,0,42,model_train
1,student-mat:dataset-version:1:source-row:169,169,0,42,model_train
1,student-mat:dataset-version:1:source-row:172,172,0,42,model_train
1,student-mat:dataset-version:1:source-row:174,174,0,42,model_train
1,student-mat:dataset-version:1:source-row:175,175,0,42,model_train
1,student-mat:dataset-version:1:source-row:177,177,0,42,model_train
1,student-mat:dataset-version:1:source-row:178,178,0,42,model_train
1,student-mat:dataset-version:1:source-row:181,181,0,42,model_train
1,student-mat:dataset-version:1:source-row:183,183,0,42,model_train
1,student-mat:dataset-version:1:source-row:184,184,0,42,model_train
1,student-mat:dataset-version:1:source-row:186,186,0,42,model_train
1,student-mat:dataset-version:1:source-row:187,187,0,42,model_train
1,student-mat:dataset-version:1:source-row:189,189,0,42,model_train
1,student-mat:dataset-version:1:source-row:190,190,0,42,model_train
1,student-mat:dataset-version:1:source-row:191,191,0,42,model_train
1,student-mat:dataset-version:1:source-row:192,192,0,42,model_train
1,student-mat:dataset-version:1:source-row:194,194,0,42,model_train
1,student-mat:dataset-version:1:source-row:196,196,0,42,model_train
1,student-mat:dataset-version:1:source-row:197,197,0,42,model_train
1,student-mat:dataset-version:1:source-row:199,199,0,42,model_train
1,student-mat:dataset-version:1:source-row:200,200,0,42,model_train
1,student-mat:dataset-version:1:source-row:201,201,0,42,model_train
1,student-mat:dataset-version:1:source-row:202,202,0,42,model_train
1,student-mat:dataset-version:1:source-row:203,203,0,42,model_train
1,student-mat:dataset-version:1:source-row:206,206,0,42,model_train
1,student-mat:dataset-version:1:source-row:207,207,0,42,model_train
1,student-mat:dataset-version:1:source-row:212,212,0,42,model_train
1,student-mat:dataset-version:1:source-row:213,213,0,42,model_train
