left,right,macro_f1_delta_left_minus_right,paired_outer_fold_delta_mean,paired_outer_fold_delta_sd,record_bootstrap_ci_low,record_bootstrap_ci_high,practical_tie,bootstrap_interpretation
N1,N0,-0.017097568516978374,-0.013500640696805743,0.06551063736316365,-0.03789429858521314,0.004357423632821196,True,descriptive_not_absolute_significance
N1,N3,0.050616730431165734,0.0757242937550808,0.21734584358875816,0.026581736139986822,0.07433389858350159,False,descriptive_not_absolute_significance
N0,N2,0.018172047787096985,0.02057842215486492,0.06057316258309472,-0.0034084905241614514,0.04050005614273851,True,descriptive_not_absolute_significance
N0,A1,0.03246103495874153,0.04965172651064543,0.16503457952111983,0.007356648190976557,0.05720087987670496,False,descriptive_not_absolute_significance
N0,A2,-0.005944064892898744,-0.008901707657254251,0.06518436325118421,-0.023892191915073184,0.011512562178427868,True,descriptive_not_absolute_significance
N0,R0,-0.04589799380487233,-0.047896107676047545,0.054001167843735404,-0.06582155319335375,-0.02616933900756889,False,descriptive_not_absolute_significance
N0,M1,-0.0468277620182341,-0.04742711309104836,0.052452843238544315,-0.06695794712310871,-0.026823702114356203,False,descriptive_not_absolute_significance
N0,M2,-0.037163912524112074,-0.03899181191489542,0.0523445684579407,-0.05645545742108454,-0.018419038157040497,False,descriptive_not_absolute_significance
M1,R0,0.0009297682133617702,-0.0004689945849991828,0.009060496577692504,-0.008943293518983111,0.011054031626868556,True,descriptive_not_absolute_significance
M1,M2,0.009663849494122023,0.008435301176152942,0.026385006536826707,-0.0035476544667169077,0.023045230428615712,True,descriptive_not_absolute_significance
M1,N0,0.0468277620182341,0.04742711309104836,0.052452843238544315,0.028125274772762263,0.06790672657296724,False,descriptive_not_absolute_significance
M1,N1,0.06392533053521247,0.0609277537878541,0.048683906605582375,0.04210219614312214,0.08641089142854601,False,descriptive_not_absolute_significance
M1,N2,0.06499980980533109,0.06800553524591327,0.05216756432496289,0.04336746770277899,0.0861208751891768,False,descriptive_not_absolute_significance
M1,N3,0.1145420609663782,0.1366520475429349,0.2533847702202511,0.08967729938895172,0.14158363067950624,False,descriptive_not_absolute_significance
