left,right,macro_f1_delta_left_minus_right,paired_outer_fold_delta_mean,paired_outer_fold_delta_sd,paired_outer_fold_deltas,record_bootstrap_ci_low,record_bootstrap_ci_high,practical_tie,bootstrap_interpretation
N1,N0,-0.017097568516978374,-0.013500640696805743,0.02715181576278824,"[-0.013428294413813657, -0.04159419303290538, 0.019929076616919006, 0.0064607106944954236, -0.038870503348724106]",-0.03789429858521314,0.004357423632821196,True,descriptive_not_absolute_significance
N1,N3,0.050616730431165734,0.0757242937550808,0.1910283256454834,"[-0.009670661812174611, 0.41565983797166606, 0.0074886898557677455, -0.04096477469475179, 0.0061083774548966]",0.026581736139986822,0.07433389858350159,False,descriptive_not_absolute_significance
N0,N2,0.018172047787096985,0.02057842215486492,0.026857883591917073,"[0.00458992434551279, 0.033833542444580623, -0.005222909117098884, 0.06112533010221011, 0.008566222999119947]",-0.0034084905241614514,0.04050005614273851,True,descriptive_not_absolute_significance
N0,A1,0.03246103495874153,0.049651726510645436,0.12967464060171618,"[0.04024517581923226, 0.2759266404093991, -0.03192260053196235, -0.027122746354193577, -0.008867836789248296]",0.007356648190976557,0.05720087987670496,False,descriptive_not_absolute_significance
N0,A2,-0.005944064892898744,-0.008901707657254251,0.02448486346495417,"[0.010975715172036918, 0.012640680212122057, -0.013698962528737368, -0.047770566778045, -0.0066554043636478655]",-0.023892191915073184,0.011512562178427868,True,descriptive_not_absolute_significance
N0,R0,-0.04589799380487233,-0.047896107676047545,0.026947117601878273,"[-0.020530862487579443, -0.08221539893692216, -0.02104217949806179, -0.05242469839761358, -0.06326739906006074]",-0.06582155319335375,-0.02616933900756889,False,descriptive_not_absolute_significance
N0,M1,-0.0468277620182341,-0.047427113091048356,0.023105213443206922,"[-0.03316868236409402, -0.08221539893692216, -0.02104217949806179, -0.05242469839761358, -0.048284606258550244]",-0.06695794712310871,-0.026823702114356203,False,descriptive_not_absolute_significance
N0,M2,-0.037163912524112074,-0.03899181191489542,0.02281694148442501,"[-0.020530862487579443, -0.026703302746859798, -0.02012642858231099, -0.06519891238351676, -0.062399553374210104]",-0.05645545742108454,-0.018419038157040497,False,descriptive_not_absolute_significance
M1,R0,0.0009297682133617702,-0.0004689945849991828,0.009786454819806159,"[0.012637819876514578, 0.0, 0.0, 0.0, -0.014982792801510492]",-0.008943293518983111,0.011054031626868556,True,descriptive_not_absolute_significance
M1,M2,0.009663849494122023,0.008435301176152942,0.028499064281828378,"[0.012637819876514578, 0.055512096190062366, 0.0009157509157508015, -0.012774213985903171, -0.01411494711565986]",-0.0035476544667169077,0.023045230428615712,True,descriptive_not_absolute_significance
M1,N0,0.0468277620182341,0.047427113091048356,0.023105213443206922,"[0.03316868236409402, 0.08221539893692216, 0.02104217949806179, 0.05242469839761358, 0.048284606258550244]",0.028125274772762263,0.06790672657296724,False,descriptive_not_absolute_significance
M1,N1,0.06392533053521247,0.0609277537878541,0.046500208856148195,"[0.046596976777907674, 0.12380959196982755, 0.0011131028811427839, 0.04596398770311816, 0.08715510960727435]",0.04210219614312214,0.08641089142854601,False,descriptive_not_absolute_significance
M1,N2,0.06499980980533109,0.06800553524591328,0.0451253258464247,"[0.03775860670960681, 0.11604894138150279, 0.015819270380962907, 0.1135500284998237, 0.05685082925767019]",0.04336746770277899,0.0861208751891768,False,descriptive_not_absolute_significance
M1,N3,0.1145420609663782,0.1366520475429349,0.22793582927983994,"[0.036926314965733065, 0.5394694299414936, 0.00860179273691053, 0.0049992130083663655, 0.09326348706217095]",0.08967729938895172,0.14158363067950624,False,descriptive_not_absolute_significance
