prediction_snapshot_id,prediction_timestamp,model_bundle_id,model_candidate_id,model_version,policy_version,student_source_reference,input_snapshot_timestamp,predicted_class,class_scores,ensemble_seed_predictions,ensemble_seed_disagreement,predictive_entropy,max_model_score,r0_reference_class,n0_r0_agreement,feature_contract_hash,preprocessor_hash,checkpoint_bundle_hash,r0,g1_g2_feature_snapshot_hash
fd8d194441f6bd2deb2c1515,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:0,2026-07-14T17:56:07.790870+00:00,0,"[0.968025385922112, 0.03180690208575858, 0.00016771199212933715]","[[0.9700775918669288, 0.0298973103825755, 2.5097750495707705e-05], [0.9358699485351472, 0.0638409159743551, 0.0002891354904975], [0.9778877961563914, 0.0217869278845675, 0.0003252759590409], [0.9784312339252852, 0.0215190470287334, 4.9719045981277945e-05], [0.9778603591268072, 0.0219903091585614, 0.0001493317146313]]",0.0,0.1425883407074591,0.968025385922112,0,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",3adb6880f3e6f80d8b5a5345f187655a7ecf489ba7d9e550380ee51192e49498
b799fc8a548982f25f759190,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:3,2026-07-14T17:56:07.790870+00:00,2,"[0.00463841302630652, 0.3897211982601026, 0.6056403887135908]","[[0.0011973146165089, 0.2628655495469972, 0.7359371358364939], [0.0010209748772907, 0.175186264770275, 0.8237927603524342], [0.0041030791578808, 0.4532308187165248, 0.5426661021255943], [0.0018900754264662, 0.5283292029409249, 0.4697807216326088], [0.014980621053386, 0.5289941553257907, 0.4560252236208232]]",0.4,0.6958772918323262,0.6056403887135908,1,False,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",57f810cce16f0307e163a3c4fa5fe3fde16bd8c34c596c03e7fe9663b67f0633
478b8b693beaf1f3f46ab308,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:4,2026-07-14T17:56:07.790870+00:00,1,"[0.4689176021418319, 0.5298137809340618, 0.00126861692410624]","[[0.1085131496175128, 0.8896310558857636, 0.0018557944967235], [0.8153974342203575, 0.1839018596936261, 0.0007007060860163], [0.3362460774344311, 0.6620035253970857, 0.0017503971684831], [0.5357512512355297, 0.462779822183858, 0.0014689265806122], [0.5486800982013285, 0.4507526415099754, 0.0005672602886961]]",0.6,0.7001394313072715,0.5298137809340618,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",249f4ca53f748563285a4bc6bb88546128a814c76f7ff961eda00ecfa0ac746f
99c86c3246d35e4a86f4b79d,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:5,2026-07-14T17:56:07.790870+00:00,2,"[0.0007857741803449801, 0.06946151999939978, 0.929752705820255]","[[0.0009704934971253, 0.1214317332186918, 0.8775977732841828], [0.0005480815133368, 0.0637136826568773, 0.9357382358297858], [0.0011471348695404, 0.0641974848557149, 0.9346553802747446], [0.0009349552152972, 0.0787659748792057, 0.920299069905497], [0.0003282058064252, 0.0191987243865092, 0.9804730698070656]]",0.0,0.2585900818478668,0.929752705820255,2,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",9ade62512954666b582fee2e3268c01290488dfdcaf0fa8bd4a7afce600b7e31
d27c025f6019917d9dc23f44,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:6,2026-07-14T17:56:07.790870+00:00,1,"[0.02087505809587836, 0.962933643143262, 0.0161912987608595]","[[0.0028125439638109, 0.989820091230341, 0.0073673648058479], [0.0603190595520883, 0.925048127515072, 0.0146328129328394], [0.0049781683715282, 0.986891795371875, 0.0081300362565967], [0.0161645730600186, 0.9415090171760788, 0.0423264097639025], [0.0201009455319458, 0.971399184422943, 0.008499870045111]]",0.0,0.18390180969260642,0.962933643143262,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",0a4e0bb392cd96702a44e5c5aa48fe83f2e505fc252c9470d44e6f8195ee57ba
4315306d15a280ad166686a3,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:8,2026-07-14T17:56:07.790870+00:00,2,"[0.00040328115608336, 0.0226924082158412, 0.9769043106280753]","[[0.0003394324680252, 0.0419942243708784, 0.9576663431610964], [0.0002601208983374, 0.019689373696076, 0.9800505054055864], [0.000773053795093, 0.0175813567845072, 0.9816455894203996], [0.0004325060922095, 0.0284807479882847, 0.9710867459195056], [0.0002112925267517, 0.0057163382394597, 0.9940723692337886]]",0.0,0.11188611608382976,0.9769043106280753,2,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",2e93d0b1380ec4a5dc9addf1d41e12d9713206619178c6c67b50b7b6169d4163
fe4ead08f98117cdb25bb9cb,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:10,2026-07-14T17:56:07.790870+00:00,0,"[0.8696732686145575, 0.127231841259336, 0.0030948901261064797]","[[0.857149130731337, 0.1406762461742191, 0.0021746230944438], [0.8454396606594371, 0.1476812491051678, 0.006879090235395], [0.8797090356696716, 0.118342716599517, 0.0019482477308112], [0.9465012672661852, 0.0528065382807429, 0.0006921944530719], [0.8195672487461562, 0.1766524561370332, 0.0037802951168105]]",0.0,0.4016409793129723,0.8696732686145575,0,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",3304b1448df02eec839f884e7a3b599522d813186b552956f93a2545c2b2932d
2f118d9b84e67cc23c99e136,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:11,2026-07-14T17:56:07.790870+00:00,1,"[0.027635612907438684, 0.9645762914696288, 0.0077880956229323586]","[[0.0315508817850499, 0.95516453038163, 0.01328458783332], [0.0340249485305361, 0.9582188731802384, 0.0077561782892253], [0.0196185245115201, 0.9760262771376538, 0.004355198350826], [0.0404593207404443, 0.9500812477913744, 0.0094594314681813], [0.012524388969643, 0.9833905288572478, 0.0040850821731092]]",0.0,0.17177573094698284,0.9645762914696288,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",b114763b919001858ecfe2585cc675e23fe9920d4816266bf1e2747f0a77f058
679b7552d7a9114c9ac1aaca,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:13,2026-07-14T17:56:07.790870+00:00,1,"[0.22614455659540447, 0.7710965291186582, 0.00275891428593724]","[[0.0917978475208284, 0.9060120236626892, 0.0021901288164823], [0.4973933725698931, 0.5000479846497066, 0.0025586427804003], [0.159668491703319, 0.8379429056872219, 0.002388602609459], [0.1621362167753963, 0.8327680306551437, 0.0050957525694599], [0.2197268544075856, 0.7787117009385297, 0.0015614446538847]]",0.0,0.5528803766412443,0.7710965291186582,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",3ee19e9a343ffd8ad4e860f4d69749a5ad49924394e44e9e21f4b35860481c96
ff5c6b78820f2e6b396d25a6,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:14,2026-07-14T17:56:07.790870+00:00,2,"[0.00340369551087528, 0.15136329769031334, 0.8452330067988113]","[[0.000113990111007, 0.0146154179817275, 0.9852705919072654], [0.0002288817931443, 0.0204901658770825, 0.9792809523297732], [0.0025239130505583, 0.2161978932248409, 0.7812781937246008], [0.0001522803927104, 0.0186597293397503, 0.9811879902675392], [0.0139994122069564, 0.4868532820281655, 0.499147305764878]]",0.0,0.4472476663160495,0.8452330067988113,2,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",6c250ab165577cbf8beceffc7662f52c15444938c74284776864f385a907c0f2
3a3f211c748c99379251a6d9,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:15,2026-07-14T17:56:07.790870+00:00,1,"[0.00591802537357682, 0.5708440669163063, 0.4232379077101168]","[[0.0014997007984256, 0.4661886309360356, 0.5323116682655388], [0.001625151207273, 0.4105864637549687, 0.5877883850377582], [0.0054880538086435, 0.6754807722911489, 0.3190311739002075], [0.0019912848121867, 0.6811677929305585, 0.3168409222572547], [0.0189859362413553, 0.6207966746688198, 0.3602173890898247]]",0.4,0.714304331296555,0.5708440669163063,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",9d7e0ea36354ab3055997f909ca3deb2f0cd4db8372ae3b8309864d202e75aee
e171b140b1b9c95bf67740a6,2026-07-14T17:56:07.790870+00:00,phase_e_prediction_9007144,N0,N0_five_seed_development_frozen,strategy_b_governed_learning_path_v1,student-mat:development:16,2026-07-14T17:56:07.790870+00:00,1,"[0.01717292365863354, 0.8652157801646521, 0.11761129617671431]","[[0.0131879876909302, 0.8577787245022885, 0.1290332878067812], [0.0242334328026213, 0.8605007641455258, 0.1152658030518528], [0.0142415162717957, 0.8677287503839564, 0.1180297333442479], [0.017038103002629, 0.8743740222486777, 0.1085878747486933], [0.0171635785251915, 0.8656966395428122, 0.1171397819319963]]",0.0,0.4467924894482198,0.8652157801646521,1,True,8ee61fc73cd4d50a02433174ff16f13cd8ad267c56d06d8dba53830aa32ad2d3,3cfa27f77420e86f0c5e2707c1f05cb455d616d009192380a6fb76b460d14503,1411dae4774542f0db333954ab97949f971afb6d7ed211350016657e14669b11,"{'probability_available': False, 'uncertainty_available': False, 'deterministic_rule': True}",30e024444379ee18d16461f0b58b8cd1c3f9cf4bb6cd5140ad5a6b032fd7b1d0
