left,right,macro_f1_delta,records
B-RF0,B-S0,0.003919425872846993,649
B-RF0,B-H0,0.006995304141462655,649
B-RF0,B-H1,0.022844215162542647,649
B-RF0,B-L0,0.024880579036906103,649
B-RF0,B-R0,0.053170179977489185,649
B-RF0,B-L1,0.07403335102252384,649
B-RF0,B-M0,0.465082392188681,649
B-RF0,B-O0,0.5090510246957252,649
B-RF0,B-C0,0.6086370539412007,649
B-S0,B-H0,0.0030758782686156616,649
B-S0,B-H1,0.018924789289695654,649
B-S0,B-L0,0.02096115316405911,649
B-S0,B-R0,0.04925075410464219,649
B-S0,B-L1,0.07011392514967685,649
B-S0,B-M0,0.46116296631583403,649
B-S0,B-O0,0.5051315988228782,649
B-S0,B-C0,0.6047176280683537,649
B-H0,B-H1,0.015848911021079992,649
B-H0,B-L0,0.017885274895443448,649
B-H0,B-R0,0.04617487583602653,649
B-H0,B-L1,0.06703804688106119,649
B-H0,B-M0,0.45808708804721837,649
B-H0,B-O0,0.5020557205542624,649
B-H0,B-C0,0.601641749799738,649
B-H1,B-L0,0.002036363874363456,649
B-H1,B-R0,0.030325964814946538,649
B-H1,B-L1,0.051189135859981194,649
B-H1,B-M0,0.4422381770261384,649
B-H1,B-O0,0.48620680953318246,649
B-H1,B-C0,0.585792838778658,649
B-L0,B-R0,0.02828960094058308,649
B-L0,B-L1,0.04915277198561774,649
B-L0,B-M0,0.4402018131517749,649
B-L0,B-O0,0.484170445658819,649
B-L0,B-C0,0.5837564749042945,649
B-R0,B-L1,0.020863171045034656,649
B-R0,B-M0,0.41191221221119184,649
B-R0,B-O0,0.4558808447182359,649
B-R0,B-C0,0.5554668739637114,649
B-L1,B-M0,0.3910490411661572,649
B-L1,B-O0,0.43501767367320127,649
B-L1,B-C0,0.5346037029186768,649
B-M0,B-O0,0.04396863250704408,649
B-M0,B-C0,0.14355466175251963,649
B-O0,B-C0,0.09958602924547555,649
