school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Predicted_Class,Confidence,Predicted_Label,Recommendation
MS,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0,11,12,1,1,0.86549616,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,yes,yes,no,yes,yes,no,3,2,4,1,4,2,4,15,14,1,2,0.7951536,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11,11,1,1,0.78293145,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,0,0,0.61595166,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,1,0,0.5489146,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,2,2,0.9038841,2,Sinh viên có thành tích xuất sắc. Khuyến khích tham gia các hoạt động học thuật/nghiên cứu hoặc hỗ trợ bạn bè.
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,0,0,0.7249459,0,CẢNH BÁO: Sinh viên có nguy cơ điểm thấp/trượt môn cao. Cần ngay lập tức ôn tập lại kiến thức nền tảng và liên hệ giảng viên/cố vấn để được hỗ trợ.
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,1,1,0.7895199,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,4,3,3,1,2,4,2,12,10,1,1,0.7052953,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,1,1,0.6380625,1,Sinh viên ở mức trung bình khá. Cần duy trì phong độ và thử thách thêm các bài tập nâng cao để bứt phá.
