sample_idx,original_class,original_conf,desired_classes,new_class,new_conf,changed_features,num_changes
0,1,0.554443895816803,[2],2,0.5108497142791748,{'raisedhands': 0.9200000524520874},1
1,0,0.47394776344299316,"[1, 2]",1,0.5108098387718201,{'raisedhands': 0.2700000017881393},1
5,1,0.5528284311294556,[2],2,0.5188456773757935,{'raisedhands': 0.35},1
13,1,0.5141353607177734,[2],2,0.5096203684806824,{'raisedhands': 0.9299999833106994},1
25,1,0.5342499613761902,[2],2,0.5017870664596558,"{'raisedhands': 0.9999999761581421, 'VisITedResources': 0.9686868548393249}",2
37,1,0.5122079849243164,[2],2,0.5048764944076538,{'raisedhands': 0.8200000286102295},1
43,1,0.5178900361061096,[2],2,0.5071572661399841,{'raisedhands': 0.7200000047683716},1
45,1,0.49004489183425903,[2],2,0.48018643260002136,"{'raisedhands': 0.9999999761581421, 'VisITedResources': 0.8070707082748413}",2
57,1,0.5069937705993652,[2],2,0.5044825673103333,{'raisedhands': 0.7000000238418579},1
61,0,0.541183590888977,"[1, 2]",1,0.454462468624115,{'raisedhands': 0.35},1
64,0,0.5933017134666443,"[1, 2]",1,0.5104480385780334,{'raisedhands': 0.5699999988079071},1
67,0,0.5740100145339966,"[1, 2]",1,0.4202427268028259,{'raisedhands': 0.8500000596046448},1
75,1,0.5909653902053833,[2],2,0.5021483302116394,{'raisedhands': 0.4499999940395355},1
79,1,0.47977414727211,[2],2,0.5004002451896667,{'raisedhands': 0.6},1
81,1,0.5741493701934814,[2],2,0.5181398987770081,{'raisedhands': 0.48999998569488523},1
86,0,0.5913205742835999,"[1, 2]",1,0.5077791213989258,{'raisedhands': 0.9000000119209289},1
90,0,0.5883035659790039,"[1, 2]",1,0.5121102929115295,{'raisedhands': 0.5399999976158142},1
94,0,0.5288324952125549,"[1, 2]",1,0.5112416744232178,{'raisedhands': 0.40000001192092893},1
