dataset,left,right,records,groups,replicates,metric_a,metric_b,delta_a_minus_b,ci95_lower,ci95_upper,probability_delta_positive,verdict
student_mat,cnn_bilstm_v5_1_transfer_selected_ensemble,decision_tree_ensemble,395,395,5000,0.9014601961315334,0.9066544140712939,-0.005194217939760493,-0.02219867151695978,0.012310994450025623,0.2692,PRACTICAL_TIE_OR_UNCERTAIN
student_mat,cnn_bilstm_v5_1_transfer_selected_ensemble,cnn_only_v5_1_ensemble,395,395,5000,0.9014601961315334,0.8707924528301887,0.030667743301344697,0.0054831735449361605,0.05818930964627405,0.9898,A_SUPERIOR
student_mat,cnn_bilstm_v5_1_transfer_selected_ensemble,bilstm_only_v5_1_ensemble,395,395,5000,0.9014601961315334,0.8397186892906668,0.061741506840866545,0.028425778850493612,0.09598125859412895,1.0,A_SUPERIOR
student_por,cnn_bilstm_v5_1_ensemble,random_forest_ensemble,649,649,5000,0.8622587167738002,0.8692436817866236,-0.006984965012823419,-0.029430794728323103,0.014580031073421176,0.2756,PRACTICAL_TIE_OR_UNCERTAIN
student_por,cnn_bilstm_v5_1_ensemble,cnn_only_v5_1_ensemble,649,649,5000,0.8622587167738002,0.8468079089978452,0.015450807775954978,0.0025053002825482507,0.029519700421432538,0.9896,A_SUPERIOR
student_por,cnn_bilstm_v5_1_ensemble,bilstm_only_v5_1_ensemble,649,649,5000,0.8622587167738002,0.784278331756525,0.07798038501727522,0.051832156652413995,0.1057952405192502,1.0,A_SUPERIOR
oulad,cnn_bilstm_full_ensemble,V4-XGB-ENS,15378,14687,5000,0.8274221016780947,0.8283814220319712,-0.0009593203538764694,-0.00471266433382399,0.002702320802456721,0.294,PRACTICAL_TIE_OR_UNCERTAIN
oulad,cnn_bilstm_full_ensemble,v5_cnn_bilstm_ensemble,15378,14687,5000,0.8274221016780947,0.828002638861856,-0.0005805371837612761,-0.0038144924047379984,0.002667844803848457,0.3664,PRACTICAL_TIE_OR_UNCERTAIN
oulad,cnn_bilstm_full_ensemble,cnn_only_ensemble,15378,14687,5000,0.8274221016780947,0.820397911139563,0.0070241905385317605,0.003326703006745355,0.010693788717671763,0.9996,A_SUPERIOR
oulad,cnn_bilstm_full_ensemble,bilstm_only_ensemble,15378,14687,5000,0.8274221016780947,0.8272623138314418,0.00015978784665293677,-0.003175093992743519,0.0033591754029247477,0.5274,PRACTICAL_TIE_OR_UNCERTAIN
