dataset,trial,seed,epochs,val_accuracy,val_f1_macro,best_epoch,case_params
student-mat,0,42,40,0.7627118644067796,0.6838404364720153,16,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.2, ""feature_set"": ""paper_engineered"", ""kernel_size"": 3, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.0003476649150592621, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_0"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""none"", ""patience"": 5, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 0.0007025166339242157}"
student-mat,1,42,40,0.7796610169491526,0.7107423271799149,23,"{""batch_size"": 16, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.25, ""feature_set"": ""paper"", ""kernel_size"": 5, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.0002516607127550297, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_1"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 3.9459088110999995e-06}"
student-mat,2,42,40,0.7627118644067796,0.6910170917002036,13,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00014433402406338895, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_2"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 0.00041151130495610907}"
student-mat,3,42,40,0.7457627118644068,0.6827989657401423,35,"{""batch_size"": 64, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 32, ""datasets"": [""student-mat""], ""dense_hidden"": 64, ""dropout"": 0.30000000000000004, ""feature_set"": ""paper_engineered"", ""kernel_size"": 5, ""label_smoothing"": 0.05, ""loss"": ""class_weight"", ""lr"": 0.00027824908605603307, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_3"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""none"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 0.00015298506868937454}"
student-mat,4,42,40,0.6779661016949152,0.6262515262515262,9,"{""batch_size"": 16, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 64, ""dropout"": 0.45000000000000007, ""feature_set"": ""paper_engineered"", ""kernel_size"": 5, ""label_smoothing"": 0.1, ""loss"": ""class_weight"", ""lr"": 0.000660843951593475, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_4"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 3, ""oversampling"": ""none"", ""patience"": 5, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 0.0004912819179585587}"
student-mat,5,42,40,0.7288135593220338,0.6724363795844527,4,"{""batch_size"": 16, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 64, ""dropout"": 0.2, ""feature_set"": ""paper_engineered"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00022929906728696718, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_5"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 20, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": true, ""use_residual"": false, ""weight_decay"": 0.0007274208264938345}"
student-mat,6,42,40,0.1016949152542373,0.036923076923076927,1,"{""batch_size"": 64, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 64, ""datasets"": [""student-mat""], ""dense_hidden"": 64, ""dropout"": 0.25, ""feature_set"": ""paper_engineered"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""class_weight"", ""lr"": 0.00027143806667599414, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_6"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 5, ""oversampling"": ""none"", ""patience"": 5, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 0.0002439933603572919}"
student-mat,7,42,40,0.7457627118644068,0.6827989657401423,9,"{""batch_size"": 16, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.30000000000000004, ""feature_set"": ""paper"", ""kernel_size"": 5, ""label_smoothing"": 0.0, ""loss"": ""ce"", ""lr"": 0.000299947930966314, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_7"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""smote"", ""patience"": 20, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 3.3104189563245155e-06}"
student-mat,8,42,40,0.7457627118644068,0.6731436434222811,19,"{""batch_size"": 16, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 32, ""datasets"": [""student-mat""], ""dense_hidden"": 64, ""dropout"": 0.25, ""feature_set"": ""deep_engineered"", ""kernel_size"": 5, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.0008122416764542915, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_8"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""smote"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 8.457808244979336e-05}"
student-mat,9,42,40,0.7457627118644068,0.6819981325863679,12,"{""batch_size"": 32, ""bilstm_hidden"": 64, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 64, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.35, ""feature_set"": ""paper_engineered"", ""kernel_size"": 3, ""label_smoothing"": 0.0, ""loss"": ""class_weight"", ""lr"": 0.001977573171298517, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_9"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 5, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": true, ""use_residual"": true, ""weight_decay"": 0.00018349685376940476}"
student-mat,10,42,40,0.3220338983050847,0.09743589743589744,4,"{""batch_size"": 16, ""bilstm_hidden"": 64, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.5, ""feature_set"": ""paper"", ""kernel_size"": 5, ""label_smoothing"": 0.0, ""loss"": ""ce"", ""lr"": 0.00010427617451793614, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_10"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 3.562562828147055e-06}"
student-mat,11,42,40,0.7457627118644068,0.6783911772184084,30,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00011210124205357184, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_11"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 1.5587357822927143e-05}"
student-mat,12,42,40,0.7627118644067796,0.6910170917002036,13,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0001628859846554107, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_12"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.0432319631151146e-06}"
student-mat,13,42,40,0.7627118644067796,0.6854039709767263,27,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.15000000000000002, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.0001542885951479182, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_13"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 2.564246231282868e-05}"
student-mat,14,42,40,0.7627118644067796,0.6910170917002036,14,"{""batch_size"": 64, ""bilstm_hidden"": 64, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.4, ""feature_set"": ""deep_engineered"", ""kernel_size"": 3, ""label_smoothing"": 0.0, ""loss"": ""ce"", ""lr"": 0.00044481741975873896, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_14"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 9.106510479529123e-06}"
student-mat,15,42,40,0.7627118644067796,0.6893388184079849,8,"{""batch_size"": 16, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.15000000000000002, ""feature_set"": ""paper"", ""kernel_size"": 5, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.0011446717939159017, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_15"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 4.8717146779942504e-05}"
student-mat,16,42,40,0.7457627118644068,0.6783911772184084,36,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 64, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.2, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.00016091942978919665, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_16"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 6.638636593708061e-06}"
student-mat,17,42,40,0.7288135593220338,0.6833333333333333,15,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 32, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.35, ""feature_set"": ""paper"", ""kernel_size"": 5, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00045737459862202036, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_17"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""none"", ""patience"": 20, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": true, ""use_residual"": true, ""weight_decay"": 1.1007600886647216e-06}"
student-mat,18,42,40,0.7457627118644068,0.6731436434222811,12,"{""batch_size"": 16, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 96, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""deep_engineered"", ""kernel_size"": 7, ""label_smoothing"": 0.0, ""loss"": ""class_weight"", ""lr"": 0.00020244967477720517, ""model_variant"": ""exact"", ""name"": ""strict_optuna_trial_18"", ""num_bilstm_layers"": 2, ""num_conv_layers"": 3, ""oversampling"": ""none"", ""patience"": 15, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 3.849355902628695e-05}"
student-mat,19,42,40,0.7288135593220338,0.6742222222222223,20,"{""batch_size"": 64, ""bilstm_hidden"": 64, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 192, ""dropout"": 0.15000000000000002, ""feature_set"": ""paper"", ""kernel_size"": 3, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0011189944393246627, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_19"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 4, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": false, ""weight_decay"": 2.2368402449655034e-06}"
student-mat,20,42,40,0.7457627118644068,0.6731436434222811,16,"{""batch_size"": 32, ""bilstm_hidden"": 96, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.25, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00013551239377519985, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_20"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""none"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": false, ""use_batchnorm"": true, ""use_residual"": true, ""weight_decay"": 1.4059763936272707e-05}"
student-mat,21,42,40,0.7627118644067796,0.6910170917002036,13,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.00018728138179837327, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_21"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.281464348309433e-06}"
student-mat,22,42,40,0.7627118644067796,0.6981933075720718,22,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.1, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.1, ""loss"": ""ce"", ""lr"": 0.0001339359057356413, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_22"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 1.8682259347157285e-06}"
student-mat,23,42,40,0.7288135593220338,0.6675209500376783,17,"{""batch_size"": 32, ""bilstm_hidden"": 128, ""binning_key"": ""H1_portuguese_scale"", ""conv_filters"": 128, ""datasets"": [""student-mat""], ""dense_hidden"": 128, ""dropout"": 0.15000000000000002, ""feature_set"": ""paper"", ""kernel_size"": 7, ""label_smoothing"": 0.05, ""loss"": ""ce"", ""lr"": 0.00010077867495486387, ""model_variant"": ""improved"", ""name"": ""strict_optuna_trial_23"", ""num_bilstm_layers"": 1, ""num_conv_layers"": 3, ""oversampling"": ""smote"", ""patience"": 10, ""selection_metric"": ""f1_macro"", ""split_policy"": ""clean_train_only"", ""use_attention"": true, ""use_batchnorm"": false, ""use_residual"": true, ""weight_decay"": 4.298661809827094e-06}"
